subject,time,pair_id,mean_median_delta_loglik,mean_frac_thresholds_pl_better,min_frac_thresholds_pl_better,n_replicates
1,1,1_1,0.4449431314786695,1.0,1.0,2
1,2,1_2,0.333463363834426,1.0,1.0,2
1,3,1_3,0.351692212527416,1.0,1.0,2
1,4,1_4,0.39965264665088573,1.0,1.0,2
1,5,1_5,0.378484627813667,1.0,1.0,2
1,6,1_6,0.46267367313694463,1.0,1.0,2
2,1,2_1,0.4005565732345761,1.0,1.0,2
2,2,2_2,0.4366331406912877,1.0,1.0,2
2,3,2_3,0.4426011645103106,1.0,1.0,2
2,4,2_4,0.42466601274225513,1.0,1.0,2
2,5,2_5,0.3670973636445146,1.0,1.0,2
2,6,2_6,0.3364902380285031,1.0,1.0,2
3,1,3_1,0.36063292348826564,1.0,1.0,2
3,2,3_2,0.402872585671303,1.0,1.0,2
3,3,3_3,0.4609423996108402,1.0,1.0,2
3,4,3_4,0.3520763356055802,1.0,1.0,2
3,5,3_5,0.4630068831607283,1.0,1.0,2
3,6,3_6,0.3625808790555514,1.0,1.0,2
4,1,4_1,0.41026458129814813,1.0,1.0,2
4,2,4_2,0.5036722185534735,1.0,1.0,2
4,3,4_3,0.570414051993041,1.0,1.0,2
4,4,4_4,0.45162188920709745,1.0,1.0,2
4,5,4_5,0.42407132784361107,1.0,1.0,2
4,6,4_6,0.5206571400531885,1.0,1.0,2
5,1,5_1,0.4449431314786695,1.0,1.0,2
5,2,5_2,0.333463363834426,1.0,1.0,2
5,3,5_3,0.351692212527416,1.0,1.0,2
5,4,5_4,0.39965264665088573,1.0,1.0,2
5,5,5_5,0.378484627813667,1.0,1.0,2
5,6,5_6,0.46267367313694463,1.0,1.0,2
6,1,6_1,0.49875765735527827,1.0,1.0,2
6,2,6_2,0.4842925620041928,1.0,1.0,2
6,3,6_3,0.5385536229221992,1.0,1.0,2
6,4,6_4,0.4267982720907181,1.0,1.0,2
6,5,6_5,0.4884957537557832,1.0,1.0,2
6,6,6_6,0.5135534526005733,1.0,1.0,2
7,1,7_1,0.41833848198023293,1.0,1.0,2
7,2,7_2,0.34578375667450545,1.0,1.0,2
7,4,7_4,0.438360043944235,1.0,1.0,2
7,5,7_5,0.4079352063750541,1.0,1.0,2
7,6,7_6,0.4054954860233264,1.0,1.0,2
8,1,8_1,0.4630611507371706,1.0,1.0,2
8,2,8_2,0.32540948608110787,1.0,1.0,2
8,3,8_3,0.26767762962747416,1.0,1.0,2
8,4,8_4,0.3646214269140189,1.0,1.0,2
8,5,8_5,0.46425358498617486,1.0,1.0,2
8,6,8_6,0.45685043396711156,1.0,1.0,2
9,2,9_2,0.3430818315222442,1.0,1.0,2
9,3,9_3,0.4756245029565642,1.0,1.0,2
9,4,9_4,0.43293386163652786,1.0,1.0,2
9,5,9_5,0.3731352954194943,1.0,1.0,2
9,6,9_6,0.38364583695563115,1.0,1.0,2
10,1,10_1,0.4454121262795695,1.0,1.0,2
10,2,10_2,0.4122587656050435,1.0,1.0,2
10,3,10_3,0.4235900657688114,1.0,1.0,2
10,4,10_4,0.47216096938881613,1.0,1.0,2
10,5,10_5,0.46494156257649577,1.0,1.0,2
10,6,10_6,0.4896111041335939,1.0,1.0,2
