subject,time,pair_id,file_rep1,file_rep2,fit_success_rep1,fit_success_rep2,depth_rep1,depth_rep2,depth_ratio,gamma_rep1,gamma_rep2,delta_gamma,gamma_mean,xmin_rep1,xmin_rep2,delta_xmin,ks_rep1,ks_rep2,n_tail_rep1,n_tail_rep2,tail_fraction_rep1,tail_fraction_rep2,QC_traffic,QC_reason,z_delta_gamma,gamma_outlier,QC_pass_main,QC_pass
1,1,1_1,1_1-1,1_1-2,True,True,382160,288900,1.322810661128418,1.8084342519005008,1.7985056836938977,0.009928568206603039,1.8034699677971993,0.0003401716558509525,0.0003322949117341641,7.8767441167884e-06,0.05210015467096174,0.046935806293069926,71,72,0.0024361789733735933,0.0028672693242005496,PASS,pass,-1.006238402987228,False,True,True
1,2,1_2,1_2-1,1_2-2,True,True,2551174,2731364,1.070630227495263,3.0235018934649376,3.014611958963956,0.008889934500981411,3.019056926214447,2.9006253591483763e-05,2.9289395335078005e-05,2.831417435942421e-07,0.05093010655589669,0.04701166180758017,5537,5488,0.09938969664333154,0.0979248077369163,PASS,pass,-1.0346079285144323,False,True,True
1,3,1_3,1_3-1,1_3-2,True,True,1206214,1130042,1.067406344188977,3.419163890553987,3.3300769085064976,0.08908698204748955,3.3746203995302424,5.30585783285553e-05,5.840490884409606e-05,5.346330515540764e-06,0.07081666678593002,0.07708072938831484,2698,2083,0.07398875634169752,0.057195419973090966,PASS,pass,1.1559161949207646,False,True,True
1,4,1_4,1_4-1,1_4-2,True,True,1000988,994738,1.0062830614694522,1.8517527363676112,1.9657683116274591,0.11401557525984796,1.9087605239975352,0.0001938085171850212,0.0001608463736179778,3.2962143567043386e-05,0.08657003894557125,0.08768194381008182,102,139,0.001673393050497096,0.0023551338529312097,PASS,pass,1.836822618106809,False,True,True
1,5,1_5,1_5-1,1_5-2,True,True,1211810,1165250,1.0399570907530573,2.603021068596598,2.540211057812296,0.06281001078430215,2.571616063204447,5.281355988149958e-05,6.35056854752199e-05,1.0692125593720325e-05,0.0558088778634485,0.06405030209369605,1193,865,0.01724810964766435,0.013063899838400315,PASS,pass,0.43817980432053893,False,True,True
1,6,1_6,1_6-1,1_6-2,True,True,424670,422160,1.005945613037711,2.452077938386539,2.5090989999824935,0.057021061595954325,2.480588469184516,9.890032260343326e-05,8.527572484366117e-05,1.362459775977209e-05,0.07437822922258153,0.0824011383786859,658,789,0.016587259572966296,0.019005636652695477,PASS,pass,0.28005886054062484,False,True,True
2,1,2_1,2_1-1,2_1-2,True,True,247006,153920,1.604768711018711,2.472552324496709,2.434251126736227,0.03830119776048191,2.4534017256164677,0.00034007271078435343,0.0004158004158004158,7.572770501606239e-05,0.028876213732735523,0.043799415299350164,158,141,0.0053257828563724,0.007324294841826399,PASS,pass,-0.23126062781390516,False,True,True
2,2,2_2,2_2-1,2_2-2,True,True,335728,263484,1.2741874269405353,2.700534078825476,2.8405635603813835,0.14002948155590733,2.77054881960343,0.00019063051041319162,0.00019735543714229328,6.72492672910166e-06,0.048484848484848485,0.04918032786885246,165,183,0.004185798726502448,0.005539243878076096,PASS,pass,2.5473735801388515,False,True,True
2,3,2_3,2_3-1,2_3-2,True,True,343774,703646,2.0468272760592714,2.6562243653300124,2.3863933594240385,0.26983100590597386,2.5213088623770252,0.00030252433284657943,0.00010232418005644884,0.00020020015279013058,0.03377425466800982,0.03675465289159452,212,619,0.00610616665226533,0.009871306233753808,FAIL,fail:delta_gamma,6.0928079701341975,True,False,False
2,4,2_4,2_4-1,2_4-2,True,True,395454,604832,1.5294623394882843,2.395718633693173,2.420186333458108,0.024467699764934903,2.4079524835756407,0.00017195426016679562,0.00018186868419660336,9.91442402980774e-06,0.029545454545454545,0.022851496598553456,440,361,0.010845452304658615,0.006385086136757579,PASS,pass,-0.6091125811936723,False,True,True
2,5,2_5,2_5-1,2_5-2,True,True,174730,210734,1.2060550563726893,2.2826054401819453,2.2822978436392587,0.00030759654268663894,2.282451641910602,0.0003662794025067247,0.00037013486195867776,3.8554594519530825e-06,0.039738431357418835,0.03611168968476974,210,191,0.011065444198545684,0.008396711654284081,PASS,pass,-1.2690282582929795,False,True,True
2,6,2_6,2_6-1,2_6-2,True,True,205914,186502,1.1040846746951776,2.6974250697053477,2.6290823116888795,0.06834275801646816,2.663253690697114,0.0003010965742980079,0.00025736989415663103,4.3726680141376875e-05,0.030438220589467716,0.04827586206896552,227,290,0.009169123884153977,0.012800141242937853,PASS,pass,0.5893027776931,False,True,True
3,1,3_1,3_1-1,3_1-2,True,True,3730574,2539492,1.4690237260050436,2.33132613236267,2.3128745440351954,0.01845158832747451,2.3221003381989327,4.1816621249169696e-05,6.851764053598121e-05,2.6701019286811515e-05,0.01817999666615977,0.017589418809069196,1519,808,0.00823739310097992,0.005133809439093196,PASS,pass,-0.7734382968677923,False,True,True
3,2,3_2,3_2-1,3_2-2,True,True,1611790,1104340,1.459505224840176,2.357997617749175,2.359381937549956,0.0013843198007807977,2.3586897776495652,8.065566854242798e-05,0.00010504011445750403,2.4384445915076052e-05,0.021495967069985245,0.022990465790738823,720,538,0.0061272424005174115,0.005767890645939426,PASS,pass,-1.2396183442964424,False,True,True
3,3,3_3,3_3-1,3_3-2,True,True,884588,954024,1.078495299506663,2.357404071039255,2.363537569897119,0.0061334988578636285,2.360470820468187,7.008912623729918e-05,0.00011110831593335178,4.10191896960526e-05,0.03009510057537418,0.02381319927899339,710,373,0.007823001829039864,0.0038730310361655956,PASS,pass,-1.1098979666850333,False,True,True
3,4,3_4,3_4-1,3_4-2,True,True,2429228,2861578,1.1779783536168693,2.3206323051075,2.3699272833008873,0.04929497819338735,2.3452797942041936,8.974044428929684e-05,5.3117545633912475e-05,3.662289865538437e-05,0.02209100804483277,0.019421972626115558,506,1057,0.003919199429934629,0.007722712959106883,PASS,pass,0.06902650223366194,False,True,True
3,5,3_5,3_5-1,3_5-2,True,True,779344,873870,1.1212891868032602,2.305740028607511,2.3135431480363464,0.00780311942883527,2.309641588321929,0.00012318052105360407,0.00016936157552038632,4.618105446678225e-05,0.02603910199962378,0.018863763383752064,533,340,0.007082115333510497,0.004028436018957346,PASS,pass,-1.064293493084231,False,True,True
3,6,3_6,3_6-1,3_6-2,True,True,1643682,666806,2.465007813367006,2.396677984248905,2.405862652391846,0.009184668142940833,2.4012703183203756,8.03075047363176e-05,0.00017396364159890583,9.365613686258822e-05,0.016574585635359115,0.021613357472270278,905,333,0.01182929220312398,0.006540183832194202,PASS,pass,-1.0265574930875467,False,True,True
4,1,4_1,4_1-1,4_1-2,True,True,2892374,3072662,1.0623321880227108,2.110094390069895,2.0726775809514084,0.03741680911848677,2.0913859855106516,7.398766549554103e-05,8.266447790222289e-05,8.676812406681854e-06,0.025304653178419678,0.025727344681170217,465,399,0.0024029765903570877,0.0020064770487186706,PASS,pass,-0.255417061423995,False,True,True
4,2,4_2,4_2-1,4_2-2,True,True,1196370,1033302,1.1578125272185673,2.1225212800790123,2.0884291998076536,0.03409208027135868,2.105475239943333,0.00015045512675844429,0.00012387472394324216,2.6580402815202126e-05,0.020321349149000453,0.02741998316867067,303,373,0.002458078804546229,0.003442166072977612,PASS,pass,-0.3462296158299592,False,True,True
4,3,4_3,4_3-1,4_3-2,True,True,460128,469054,1.019398949857431,2.194165651041696,2.2044607441425557,0.010295093100859631,2.199313197592126,0.00016082481396480978,0.0001279170415346634,3.290777243014639e-05,0.03627789466234854,0.036985413751073615,208,274,0.003424150135813647,0.004466032077193897,PASS,pass,-0.9962270416307767,False,True,True
4,4,4_4,4_4-1,4_4-2,True,True,1945374,1876560,1.036670290318455,2.1185061658469673,2.1084873355075997,0.010018830339367568,2.1134967506772835,8.224639580872367e-05,7.993349533188388e-05,2.312900476839796e-06,0.021700343391079735,0.022421968487355504,332,343,0.0021096108022239874,0.0022417275026632767,PASS,pass,-1.0037729583692232,False,True,True
4,5,4_5,4_5-1,4_5-2,True,True,2195374,2649688,1.2069415051831716,2.1464172921767366,2.180077053351743,0.03365976117500624,2.1632471727642395,0.00010567675484905988,0.00013963908203531888,3.3962327186259e-05,0.021117120156301683,0.03101540348907461,299,218,0.0016517329385378572,0.0010893355053417416,PASS,pass,-0.35803809804412723,False,True,True
4,6,4_6,4_6-1,4_6-2,True,True,1122462,1256118,1.1190739641965608,2.1740960719011015,2.1827721741613306,0.00867610226022908,2.178434123031216,0.00013719840849846143,0.00012737656812496914,9.821840373492284e-06,0.02549068733077231,0.025679736376155393,289,308,0.002360590392642146,0.0023182646133465806,PASS,pass,-1.040448600909068,False,True,True
5,1,5_1,5_1-1,5_1-2,True,True,382160,288900,1.322810661128418,1.8084342519005008,1.7985056836938977,0.009928568206603039,1.8034699677971993,0.0003401716558509525,0.0003322949117341641,7.8767441167884e-06,0.05210015467096174,0.046935806293069926,71,72,0.0024361789733735933,0.0028672693242005496,PASS,pass,-1.006238402987228,False,True,True
5,2,5_2,5_2-1,5_2-2,True,True,2551174,2731364,1.070630227495263,3.0235018934649376,3.014611958963956,0.008889934500981411,3.019056926214447,2.9006253591483763e-05,2.9289395335078005e-05,2.831417435942421e-07,0.05093010655589669,0.04701166180758017,5537,5488,0.09938969664333154,0.0979248077369163,PASS,pass,-1.0346079285144323,False,True,True
5,3,5_3,5_3-1,5_3-2,True,True,1206214,1130042,1.067406344188977,3.419163890553987,3.3300769085064976,0.08908698204748955,3.3746203995302424,5.30585783285553e-05,5.840490884409606e-05,5.346330515540764e-06,0.07081666678593002,0.07708072938831484,2698,2083,0.07398875634169752,0.057195419973090966,PASS,pass,1.1559161949207646,False,True,True
5,4,5_4,5_4-1,5_4-2,True,True,1000988,994738,1.0062830614694522,1.8517527363676112,1.9657683116274591,0.11401557525984796,1.9087605239975352,0.0001938085171850212,0.0001608463736179778,3.2962143567043386e-05,0.08657003894557125,0.08768194381008182,102,139,0.001673393050497096,0.0023551338529312097,PASS,pass,1.836822618106809,False,True,True
5,5,5_5,5_5-1,5_5-2,True,True,1211810,1165250,1.0399570907530573,2.603021068596598,2.540211057812296,0.06281001078430215,2.571616063204447,5.281355988149958e-05,6.35056854752199e-05,1.0692125593720325e-05,0.0558088778634485,0.06405030209369605,1193,865,0.01724810964766435,0.013063899838400315,PASS,pass,0.43817980432053893,False,True,True
5,6,5_6,5_6-1,5_6-2,True,True,424670,422160,1.005945613037711,2.452077938386539,2.5090989999824935,0.057021061595954325,2.480588469184516,9.890032260343326e-05,8.527572484366117e-05,1.362459775977209e-05,0.07437822922258153,0.0824011383786859,658,789,0.016587259572966296,0.019005636652695477,PASS,pass,0.28005886054062484,False,True,True
6,1,6_1,6_1-1,6_1-2,True,True,239810,198272,1.209500080697224,2.118181996372833,2.129364181153809,0.011182184780976101,2.123773088763321,0.0004253367249072182,0.0005043576500968367,7.90209251896185e-05,0.053599046683264095,0.05171553904683546,123,108,0.0045810055865921784,0.004863112391930836,PASS,pass,-0.9719967764970524,False,True,True
6,2,6_2,6_2-1,6_2-2,True,True,783464,713800,1.0975959652563743,2.1286846215270705,2.0904846109162882,0.038200010610782265,2.1095846162216794,0.00011742722065085314,0.0001597086018492575,4.2281381198404355e-05,0.03486303808589619,0.0479567093567278,262,185,0.0035465313028764807,0.0027145204836248387,PASS,pass,-0.23402448133694387,False,True,True
6,3,6_3,6_3-1,6_3-2,True,True,161408,199182,1.2340280531324346,2.021231637296988,1.8611659118492987,0.16006572544768916,1.9411987745731434,0.0002478191911181602,0.0007530800975991806,0.0005052609064810205,0.04763989964933346,0.0497196498597694,241,61,0.015005292323018492,0.0029985744482131445,PASS,pass,3.0946490339206933,False,True,True
