subject,n_pairs,n_pass,n_fail,median_delta_gamma,median_delta_xmin,median_depth_ratio,median_gamma_mean
1,6,6,0,0.05991553619012824,9.284434855254363e-06,1.0536817174710171,2.5261022661944814
2,6,5,1,0.053321977888475036,2.6820552085592307e-05,1.4018248832144098,2.4873552939967465
3,6,6,0,0.008493893785888051,3.882104417571849e-05,1.3187417892285227,2.3519847859268794
4,6,6,0,0.021977427137932937,1.8201121594347205e-05,1.090703076109636,2.1383719617207615
5,6,6,0,0.05991553619012824,9.284434855254363e-06,1.0536817174710171,2.5261022661944814
6,6,6,0,0.03837535524726099,8.125452024000935e-05,1.1444681989742798,2.110349913256713
7,5,3,2,0.17192845840296744,2.5369825036915204e-05,1.2298872644485284,2.520063092450075
8,6,6,0,0.0561027718789604,7.349243011624926e-05,1.3101232383733086,2.2298301508577127
9,5,5,0,0.050391284285079774,4.70515002712941e-05,1.774508994710475,2.4374066553381177
10,6,6,0,0.06624554544861083,1.3474072193378246e-05,1.2184155133806893,2.4621201371379264
