subject,gamma,fmin,k,N_total_mean,N_total_min,N_total_max,log_likelihood
1,0.46204406184642577,9.291060720790574e-07,3.054131277644647,1082995.5,1062390.0,1103601.0,-452100.91580469813
2,0.926061444292852,4.988451734235245e-06,0.5078126923107691,200463.0,186502.0,247006.0,-210776.8855717886
3,0.5513612011253575,8.009798898576107e-07,1.3231246053642867,1256654.5,994464.0,1627736.0,-854294.9395776152
4,0.6869404231686345,6.820665424313631e-07,0.7453689370130296,1550128.5,1499511.0,1600746.0,-1232993.9090129812
5,0.46204406184642577,9.291060720790574e-07,3.054131277644647,1082995.5,1062390.0,1103601.0,-452100.91580469813
6,0.9911068098264746,3.7368254834333316e-06,0.48381705984228063,281442.5,261163.0,301722.0,-258678.97859182465
7,0.6506615886040905,8.585879833743023e-07,0.9674437424512916,1164703.0,1024914.0,1304492.0,-1018641.1588106508
8,0.5908243180635512,8.24621286487783e-07,1.763125830088939,1215935.0,1006121.0,1425749.0,-778766.9654039075
9,0.5517934381027769,5.042243919558058e-07,1.3317171150442986,1983244.0,1280020.0,2536870.0,-652075.9345705274
10,0.7189369590296473,9.430752347307206e-07,0.7819321953875247,1087418.5,973204.0,1175707.0,-874380.6378574912
