subject,time,QC_pass
1,1,True
1,2,True
1,3,True
1,4,True
1,5,True
1,6,True
2,1,True
2,2,True
2,4,True
2,5,True
2,6,True
3,1,True
3,2,True
3,3,True
3,4,True
3,5,True
3,6,True
4,1,True
4,2,True
4,3,True
4,4,True
4,5,True
4,6,True
5,1,True
5,2,True
5,3,True
5,4,True
5,5,True
5,6,True
6,1,True
6,2,True
6,3,True
6,4,True
6,5,True
6,6,True
7,1,True
7,2,True
7,4,True
8,1,True
8,2,True
8,3,True
8,4,True
8,5,True
8,6,True
9,2,True
9,3,True
9,4,True
9,5,True
9,6,True
10,1,True
10,2,True
10,3,True
10,4,True
10,5,True
10,6,True
