subject,time,file_rep1,file_rep2,depth_rep1,depth_rep2,depth_ratio,n_clones_rep1,n_clones_rep2,overlap_jaccard,success,message,log_likelihood,QC_pass,gamma,k,fmin,N_total_mean,N_total_min,N_total_max
1,1,1_1-1,1_1-2,382160,288900,1.322810661128418,29144,25111,0.5022843693756057,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,-260731.41112866777,True,0.42683644423322525,11.568044474402798,2.9803594313474205e-06,335530.0,288900.0,382160.0
1,2,1_2-1,1_2-2,2551174,2731364,1.070630227495263,55710,56043,0.916236560983556,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,-549272.1797076786,True,0.29728395041739847,13.718646561267514,3.786058898203856e-07,2641269.0,2551174.0,2731364.0
1,3,1_3-1,1_3-2,1206214,1130042,1.067406344188977,36465,36419,0.8273536417199449,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,-354929.65190171765,True,0.341471871320129,5.285852845801822,8.560705676090292e-07,1168128.0,1130042.0,1206214.0
1,4,1_4-1,1_4-2,1000988,994738,1.0062830614694522,60954,59020,0.5176976597090449,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,-568214.9450102046,True,0.5047775026931678,0.7646213287822407,1.0021415765490855e-06,997863.0,994738.0,1000988.0
1,5,1_5-1,1_5-2,1211810,1165250,1.0399570907530573,69167,66213,0.5358783822111294,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,-640238.7529515715,True,0.4972516794596263,0.8224097094874728,8.413754806357433e-07,1188530.0,1165250.0,1211810.0
1,6,1_6-1,1_6-2,424670,422160,1.005945613037711,39669,41514,0.22922597056507782,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,-354322.139437616,True,0.8654054823882014,0.4980315625241248,2.361749111391897e-06,423415.0,422160.0,424670.0
2,1,2_1-1,2_1-2,247006,153920,1.604768711018711,29667,19251,0.17112760354321283,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,-210776.8855717886,True,0.9653905415542187,0.5078126923107691,4.988451734235245e-06,200463.0,153920.0,247006.0
2,2,2_2-1,2_2-2,335728,263484,1.2741874269405353,39419,33037,0.30049897691783034,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,-314932.39988469507,True,0.7880037968167026,0.5605975807533325,3.3377168681535082e-06,299606.0,263484.0,335728.0
2,4,2_4-1,2_4-2,395454,604832,1.5294623394882843,40570,56538,0.25321666860247527,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,-431082.6504968922,True,0.7916087105284942,0.5214665702273207,1.999428163545226e-06,500143.0,395454.0,604832.0
2,5,2_5-1,2_5-2,174730,210734,1.2060550563726893,18978,22747,0.17840600994125622,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,-181962.35333084952,True,0.9260614442928521,0.495806373919857,5.188551978913725e-06,192732.0,174730.0,210734.0
2,6,2_6-1,2_6-2,205914,186502,1.1040846746951776,24757,22656,0.15921371115620644,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,-206109.07119632856,True,0.9672372741145054,0.4743856578846127,5.096632145478268e-06,196208.0,186502.0,205914.0
3,1,3_1-1,3_1-2,3730574,2539492,1.4690237260050436,184403,157388,0.6557876582922363,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,-1523918.793108901,True,0.4828776970397303,1.9040437028880741,3.189759087065431e-07,3135033.0,2539492.0,3730574.0
3,2,3_2-1,3_2-2,1611790,1104340,1.459505224840176,117508,93275,0.4944167546987884,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,-916340.7246826182,True,0.6080259820984075,1.0119901465933592,7.363417804007909e-07,1358065.0,1104340.0,1611790.0
3,3,3_3-1,3_3-2,884588,954024,1.078495299506663,90758,96307,0.4264744010126737,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,-792249.1544726123,True,0.7049369305576487,0.813165771942029,1.0877770840177264e-06,919306.0,884588.0,954024.0
3,4,3_4-1,3_4-2,2429228,2861578,1.1779783536168693,129108,136869,0.7696289445845337,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,-1172913.5181621844,True,0.4333992907225516,3.976026928768331,3.780142382842992e-07,2645403.0,2429228.0,2861578.0
3,5,3_5-1,3_5-2,779344,873870,1.1212891868032602,75260,84400,0.2821933649745826,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,-681999.2587211096,True,0.8420018885318413,0.6025780664175929,1.2097647370515855e-06,826607.0,779344.0,873870.0
3,6,3_6-1,3_6-2,1643682,666806,2.465007813367006,76505,50916,0.574050969104767,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,-576265.5845089597,True,0.49469642015230747,1.6342590641352142,8.656179993144306e-07,1155244.0,666806.0,1643682.0
4,1,4_1-1,4_1-2,2892374,3072662,1.0623321880227108,193510,198856,0.542980286364834,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,-1785455.171384706,True,0.5325254579859696,0.9347269449031587,3.3528716339683447e-07,2982518.0,2892374.0,3072662.0
4,2,4_2-1,4_2-2,1196370,1033302,1.1578125272185673,123267,108362,0.2777839072343524,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,-982423.9282074423,True,0.8640730248000388,0.5964451526855069,8.969929209318681e-07,1114836.0,1033302.0,1196370.0
4,3,4_3-1,4_3-2,460128,469054,1.019398949857431,60745,61352,0.26043419463399026,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,-510867.48536055756,True,0.9268275601731711,0.5723443950452032,2.152430847777938e-06,464591.0,460128.0,469054.0
4,4,4_4-1,4_4-2,1945374,1876560,1.036670290318455,157375,153007,0.4923359489191476,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,-1388533.138587983,True,0.5820133347727303,0.8152642959548366,5.232952740680504e-07,1910967.0,1876560.0,1945374.0
4,5,4_5-1,4_5-2,2195374,2649688,1.2069415051831716,181022,200122,0.5762779156327543,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,-1640655.4510526618,True,0.5664372638141918,1.3006036664987073,4.1279141525949514e-07,2422531.0,2195374.0,2649688.0
4,6,4_6-1,4_6-2,1122462,1256118,1.1190739641965608,122427,132858,0.3471219604863222,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,-1077454.6794379791,True,0.7918675115645386,0.6754735780712225,8.408378107946758e-07,1189290.0,1122462.0,1256118.0
5,1,5_1-1,5_1-2,382160,288900,1.322810661128418,29144,25111,0.5022843693756057,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,-260731.41112866777,True,0.42683644423322525,11.568044474402798,2.9803594313474205e-06,335530.0,288900.0,382160.0
5,2,5_2-1,5_2-2,2551174,2731364,1.070630227495263,55710,56043,0.916236560983556,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,-549272.1797076786,True,0.29728395041739847,13.718646561267514,3.786058898203856e-07,2641269.0,2551174.0,2731364.0
5,3,5_3-1,5_3-2,1206214,1130042,1.067406344188977,36465,36419,0.8273536417199449,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,-354929.65190171765,True,0.341471871320129,5.285852845801822,8.560705676090292e-07,1168128.0,1130042.0,1206214.0
5,4,5_4-1,5_4-2,1000988,994738,1.0062830614694522,60954,59020,0.5176976597090449,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,-568214.9450102046,True,0.5047775026931678,0.7646213287822407,1.0021415765490855e-06,997863.0,994738.0,1000988.0
5,5,5_5-1,5_5-2,1211810,1165250,1.0399570907530573,69167,66213,0.5358783822111294,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,-640238.7529515715,True,0.4972516794596263,0.8224097094874728,8.413754806357433e-07,1188530.0,1165250.0,1211810.0
5,6,5_6-1,5_6-2,424670,422160,1.005945613037711,39669,41514,0.22922597056507782,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,-354322.139437616,True,0.8654054823882014,0.4980315625241248,2.361749111391897e-06,423415.0,422160.0,424670.0
6,1,6_1-1,6_1-2,239810,198272,1.209500080697224,26850,22208,0.1510288355505502,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,-210576.75495643122,True,1.0254910161995106,0.46997185888724397,4.565355344433234e-06,219041.0,198272.0,239810.0
6,2,6_2-1,6_2-2,783464,713800,1.0975959652563743,73875,68152,0.36170314762082817,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,-623641.4695476296,True,0.709823880825055,0.6068681948051464,1.3357697774073243e-06,748632.0,713800.0,783464.0
6,3,6_3-1,6_3-2,161408,199182,1.2340280531324346,16061,20343,0.14864481115703784,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,-155139.98067913117,True,1.0502205382562715,0.4826581886293815,5.546465514850661e-06,180295.0,161408.0,199182.0
6,4,6_4-1,6_4-2,207814,190324,1.0918959248439504,21008,20454,0.16531759415401912,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,-178737.05697071928,True,0.9834388674972059,0.4849759310551797,5.02338385183027e-06,199069.0,190324.0,207814.0
6,5,6_5-1,6_5-2,363634,324054,1.1221401371376376,37091,34081,0.15858700960442781,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,-306781.20222721813,True,0.9987747521557431,0.4725746375843908,2.908295622433429e-06,343844.0,324054.0,363634.0
6,6,6_6-1,6_6-2,1046858,1221470,1.166796260810922,93461,109950,0.2290397815158546,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,-884905.9128868749,True,0.8725104287952353,0.5076393962563915,8.817067020289835e-07,1134164.0,1046858.0,1221470.0
7,1,7_1-1,7_1-2,810900,993552,1.2252460229374769,75963,86710,0.482984328990911,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,-690603.1999184577,True,0.6506615886040905,0.9674437424512915,1.1083697432794e-06,902226.0,810900.0,993552.0
7,2,7_2-1,7_2-2,1928464,2209326,1.145640260850086,130561,138895,0.6665594616659657,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,-1174306.202764018,True,0.4990651935460925,2.076389753129776,4.833498075059392e-07,2068895.0,1928464.0,2209326.0
7,4,7_4-1,7_4-2,1024914,1304492,1.272781911457937,109464,131642,0.3818625737194734,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,-1018641.1588106509,True,0.7491363207647872,0.7532635868401022,8.585879833743023e-07,1164703.0,1024914.0,1304492.0
8,1,8_1-1,8_1-2,890416,667162,1.3346323681504642,90571,72817,0.35895068659497137,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,-693378.4613931855,True,0.7642952544306706,0.7097499758420514,1.2840448439821311e-06,778789.0,667162.0,890416.0
8,2,8_2-1,8_2-2,2363346,1933962,1.222022976666553,118694,111790,0.7533033615554896,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,-1030728.7940460948,True,0.4319572778591437,3.2645688462500635,4.6540764590296996e-07,2148654.0,1933962.0,2363346.0
8,3,8_3-1,8_3-2,1467560,1090174,1.3461704278399595,49773,46846,0.8197724789995103,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,-456425.6164034303,True,0.35964063376388783,6.1158652530231645,7.819421409732208e-07,1278867.0,1090174.0,1467560.0
8,4,8_4-1,8_4-2,1930202,1518104,1.271455710544205,97377,89653,0.7265795206971678,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,-832809.0123835949,True,0.4478778349673897,2.7931203590890012,5.799949308443044e-07,1724153.0,1518104.0,1930202.0
8,5,8_5-1,8_5-2,883672,687354,1.2856141085961528,92992,77876,0.35224242040535303,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,-724724.9184242199,True,0.7737982814958811,0.6912422203714138,1.2730534058634294e-06,785513.0,687354.0,883672.0
8,6,8_6-1,8_6-2,1383938,922068,1.500906657643471,122012,90845,0.3683449260083056,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,-912296.2944229117,True,0.7337708011597127,0.7331313010888766,8.673004320023451e-07,1153003.0,922068.0,1383938.0
9,2,9_2-1,9_2-2,1429618,2536870,1.774508994710475,65773,74935,0.8245095369613983,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,-652075.9345705274,True,0.3627861625775492,7.844451582173299,5.042243919558058e-07,1983244.0,1429618.0,2536870.0
9,3,9_3-1,9_3-2,310242,672998,2.169267861862675,38955,72546,0.29174679672837645,True,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH,-472568.4660105542,True,0.8154080774084362,0.727020100163318,2.0340913713844025e-06,491620.0,310242.0,672998.0
