subject,n_clonotypes,frac_observable_clonotypes,median_n_times_observable,mean_n_times_observable,alpha
1,305105,0.007453171858868258,0.0,0.011848380065878959,0.01
2,207120,0.006928350714561607,0.0,0.01212823483970645,0.01
3,669509,0.004477908437377242,0.0,0.012459877313075702,0.01
4,953998,0.0056572445644540136,0.0,0.012274658856727162,0.01
5,305105,0.007453171858868258,0.0,0.011848380065878959,0.01
6,375093,0.006478393358447105,0.0,0.0117490862266158,0.01
7,390684,0.006744581298440683,0.0,0.011410756519335319,0.01
8,565275,0.005793640263588519,0.0,0.012294900712042811,0.01
9,654380,0.006045417035972982,0.0,0.012031235673461902,0.01
10,658208,0.0055149739899849285,0.0,0.012565936603626817,0.01
1,305105,0.0036839776470395436,0.0,0.006020878058373347,0.005
2,207120,0.0035921205098493627,0.0,0.006064117419853225,0.005
3,669509,0.0021045273476532804,0.0,0.006229938656537851,0.005
4,953998,0.0025272589669999308,0.0,0.006140474089044212,0.005
5,305105,0.0036839776470395436,0.0,0.006020878058373347,0.005
6,375093,0.003329840866131866,0.0,0.005875876116056551,0.005
7,390684,0.003158562930654954,0.0,0.005702818646271667,0.005
8,565275,0.0025916589270708946,0.0,0.0061474503560214055,0.005
9,654380,0.0028255753537699806,0.0,0.0060194382468901865,0.005
10,658208,0.002520479848315426,0.0,0.006280689386941514,0.005
1,305105,0.0007046754396027597,0.0,0.0012028645876009899,0.001
2,207120,0.0007821552723059096,0.0,0.0012118578601776747,0.001
3,669509,0.0003704207112973836,0.0,0.0012456890049274917,0.001
4,953998,0.0003920343648519179,0.0,0.0012274658856727162,0.001
5,305105,0.0007046754396027597,0.0,0.0012028645876009899,0.001
6,375093,0.0006958274347961705,0.0,0.001175708424310771,0.001
7,390684,0.0005451976533464386,0.0,0.0011390279612167379,0.001
8,565275,0.0004210340099951351,0.0,0.0012294900712042812,0.001
9,654380,0.0005287447660380819,0.0,0.0012026651181270822,0.001
10,658208,0.0004299552724974476,0.0,0.0012564417327045553,0.001
