alpha_label,alpha_float,design,x0_bin_label,x0_bin_order,obs_class,n,n_total,prop
p_005,0.005,all_transitions,< -5.0,0,FF,988583,990113,0.9984547218347805
p_005,0.005,all_transitions,< -5.0,0,FT,1408,990113,0.001422059906293524
p_005,0.005,all_transitions,< -5.0,0,TF,122,990113,0.00012321825892600138
p_005,0.005,all_transitions,< -5.0,0,TT,0,990113,0.0
p_005,0.005,all_transitions,"[-5.0, -4.0)",1,FF,831721,881130,0.9439254139570779
p_005,0.005,all_transitions,"[-5.0, -4.0)",1,FT,20549,881130,0.023321189835779056
p_005,0.005,all_transitions,"[-5.0, -4.0)",1,TF,19116,881130,0.02169486908855674
p_005,0.005,all_transitions,"[-5.0, -4.0)",1,TT,9744,881130,0.011058527118586362
p_005,0.005,all_transitions,"[-4.0, -3.0)",2,FF,15059,52404,0.2873635600335852
p_005,0.005,all_transitions,"[-4.0, -3.0)",2,FT,4757,52404,0.09077551331959392
p_005,0.005,all_transitions,"[-4.0, -3.0)",2,TF,8606,52404,0.16422410503015036
p_005,0.005,all_transitions,"[-4.0, -3.0)",2,TT,23982,52404,0.45763682161667046
p_005,0.005,all_transitions,"[-3.0, -2.0)",3,FF,3,2893,0.0010369858278603526
p_005,0.005,all_transitions,"[-3.0, -2.0)",3,FT,8,2893,0.00276529554096094
p_005,0.005,all_transitions,"[-3.0, -2.0)",3,TF,197,2893,0.06809540269616315
p_005,0.005,all_transitions,"[-3.0, -2.0)",3,TT,2685,2893,0.9281023159350156
p_005,0.005,all_transitions,>= -2.0,4,FF,0,387,0.0
p_005,0.005,all_transitions,>= -2.0,4,FT,0,387,0.0
p_005,0.005,all_transitions,>= -2.0,4,TF,4,387,0.0103359173126615
p_005,0.005,all_transitions,>= -2.0,4,TT,383,387,0.9896640826873385
p_01,0.01,all_transitions,< -5.0,0,FF,983221,990113,0.9930391783564099
p_01,0.01,all_transitions,< -5.0,0,FT,6644,990113,0.0067103451828225665
p_01,0.01,all_transitions,< -5.0,0,TF,244,990113,0.00024643651785200276
p_01,0.01,all_transitions,< -5.0,0,TT,4,990113,4.039942915606603e-06
p_01,0.01,all_transitions,"[-5.0, -4.0)",1,FF,753880,881130,0.8555831716091836
p_01,0.01,all_transitions,"[-5.0, -4.0)",1,FT,43318,881130,0.0491618716874922
p_01,0.01,all_transitions,"[-5.0, -4.0)",1,TF,51349,881130,0.05827630429108077
p_01,0.01,all_transitions,"[-5.0, -4.0)",1,TT,32583,881130,0.03697865241224337
