subject,obs_class,dt,n
1,FF,1,37809
1,FF,2,26736
1,FF,3,19748
1,FF,4,14256
1,FF,5,5676
1,FT,1,630
1,FT,2,454
1,FT,3,434
1,FT,4,342
1,FT,5,192
1,TF,1,466
1,TF,2,265
1,TF,3,160
1,TF,4,167
1,TF,5,11
1,TT,1,568
1,TT,2,399
1,TT,3,298
1,TT,4,195
1,TT,5,32
2,FF,1,22210
2,FF,2,16776
2,FF,3,13993
2,FF,4,12836
2,FF,5,7094
2,FT,1,155
2,FT,2,214
2,FT,3,155
2,FT,4,130
2,FT,5,71
2,TF,1,487
2,TF,2,281
2,TF,3,104
2,TF,4,121
2,TF,5,58
2,TT,1,312
2,TT,2,224
2,TT,3,197
2,TT,4,177
2,TT,5,126
3,FF,1,100665
3,FF,2,78333
3,FF,3,60800
3,FF,4,41490
3,FF,5,19115
3,FT,1,634
3,FT,2,636
3,FT,3,422
3,FT,4,134
3,FT,5,22
3,TF,1,1402
3,TF,2,1333
3,TF,3,845
3,TF,4,835
3,TF,5,779
3,TT,1,2315
3,TT,2,1633
3,TT,3,1441
3,TT,4,1049
3,TT,5,419
4,FF,1,119534
4,FF,2,85035
4,FF,3,73507
4,FF,4,59562
4,FF,5,29575
4,FT,1,1294
4,FT,2,1177
4,FT,3,960
4,FT,4,362
4,FT,5,128
4,TF,1,2157
4,TF,2,1960
4,TF,3,1252
4,TF,4,1094
4,TF,5,804
4,TT,1,2677
4,TT,2,1694
4,TT,3,1601
4,TT,4,1462
4,TT,5,718
5,FF,1,37809
5,FF,2,26736
5,FF,3,19748
5,FF,4,14256
5,FF,5,5676
5,FT,1,630
5,FT,2,454
5,FT,3,434
5,FT,4,342
5,FT,5,192
5,TF,1,466
5,TF,2,265
5,TF,3,160
5,TF,4,167
5,TF,5,11
5,TT,1,568
5,TT,2,399
5,TT,3,298
5,TT,4,195
5,TT,5,32
6,FF,1,36112
6,FF,2,23674
6,FF,3,20759
6,FF,4,21512
6,FF,5,9683
6,FT,1,760
6,FT,2,717
6,FT,3,627
6,FT,4,503
6,FT,5,457
6,TF,1,391
6,TF,2,364
6,TF,3,195
6,TF,4,52
6,TF,5,3
6,TT,1,760
6,TT,2,431
6,TT,3,411
6,TT,4,422
6,TT,5,196
7,FF,1,19427
7,FF,2,25534
7,FF,3,20366
7,FT,1,444
7,FT,2,258
7,FT,3,385
7,TF,1,138
7,TF,2,322
7,TF,3,144
7,TT,1,410
7,TT,2,536
7,TT,3,403
8,FF,1,70153
8,FF,2,49699
8,FF,3,42547
8,FF,4,38005
8,FF,5,21103
8,FT,1,1225
8,FT,2,980
8,FT,3,905
8,FT,4,575
8,FT,5,428
8,TF,1,945
8,TF,2,736
8,TF,3,444
8,TF,4,343
8,TF,5,97
8,TT,1,1441
8,TT,2,1089
8,TT,3,873
8,TT,4,775
8,TT,5,434
9,FF,1,71512
9,FF,2,74868
9,FF,3,31653
9,FF,4,19419
9,FT,1,2084
9,FT,2,1288
9,FT,3,1226
9,FT,4,961
9,TF,1,1197
9,TF,2,390
9,TF,3,294
9,TF,4,75
9,TT,1,1140
9,TT,2,1683
9,TT,3,536
9,TT,4,489
10,FF,1,99137
10,FF,2,81396
10,FF,3,57607
10,FF,4,33685
10,FF,5,18540
10,FT,1,1002
10,FT,2,724
10,FT,3,370
10,FT,4,161
10,FT,5,44
10,TF,1,1672
10,TF,2,1594
10,TF,3,1333
10,TF,4,987
10,TF,5,679
10,TT,1,2016
10,TT,2,1625
10,TT,3,1144
10,TT,4,635
10,TT,5,316
