alpha_label,alpha_float,design,obs_class,n,n_total,prop
p_005,0.005,all_transitions,FF,1835366,1926927,0.9524834101136161
p_005,0.005,all_transitions,FT,26722,1926927,0.013867676357225779
p_005,0.005,all_transitions,TF,28045,1926927,0.014554261785734489
p_005,0.005,all_transitions,TT,36794,1926927,0.019094651743423598
p_01,0.01,all_transitions,FF,1745527,1926927,0.9058604711024341
p_01,0.01,all_transitions,FT,53942,1926927,0.027993795302053478
p_01,0.01,all_transitions,TF,59700,1926927,0.030981972851073236
p_01,0.01,all_transitions,TT,67758,1926927,0.0351637607444392
p_02,0.02,all_transitions,FF,1595082,1926927,0.8277853805567102
p_02,0.02,all_transitions,FT,99179,1926927,0.05147003493126621
p_02,0.02,all_transitions,TF,114616,1926927,0.059481236185906367
p_02,0.02,all_transitions,TT,118050,1926927,0.06126334832611718
p_05,0.05,all_transitions,FF,1308061,1926927,0.6788326698416702
p_05,0.05,all_transitions,FT,182098,1926927,0.09450176368902402
p_05,0.05,all_transitions,TF,213855,1926927,0.11098240877832943
p_05,0.05,all_transitions,TT,222913,1926927,0.11568315769097635
