f_id,dt,f_center,f_lo,f_hi,n,msd,msd_lo,msd_hi
1,1,-12.9375,-13.616,-12.259,98109,0.7399233989068489,0.7327948228800611,0.7468241276491443
1,2,-12.9375,-13.616,-12.259,93925,0.6884618020670982,0.6825887934533699,0.6938544300220928
1,3,-12.9375,-13.616,-12.259,58604,0.7357133446650428,0.7271086353463967,0.7442231739927077
1,4,-12.9375,-13.616,-12.259,48981,0.7136629890628653,0.702910075892044,0.7230008792249795
1,5,-12.9375,-13.616,-12.259,21560,0.8186887113527997,0.8050205688773804,0.8325099435864057
2,1,-12.088000000000001,-12.259,-11.917,107221,0.8020192252534482,0.795218599505737,0.8088184078705876
2,2,-12.088000000000001,-12.259,-11.917,86820,0.8278833482057193,0.8203215542082022,0.8356922360417803
2,3,-12.088000000000001,-12.259,-11.917,62175,0.7929447305643392,0.7847150310499804,0.800974421032445
2,4,-12.088000000000001,-12.259,-11.917,45308,0.7614123396579344,0.7515518978564799,0.7724274873833489
2,5,-12.088000000000001,-12.259,-11.917,19607,0.8052918071402054,0.7893962737983303,0.8200326779158038
3,1,-11.7545,-11.917,-11.592,110034,0.8758058180041571,0.8684842215087043,0.8827707600632699
3,2,-11.7545,-11.917,-11.592,83410,0.8933556747081793,0.8858994648762021,0.9020701489214181
3,3,-11.7545,-11.917,-11.592,64547,0.8711513983153039,0.8634521795230323,0.88093006271356
3,4,-11.7545,-11.917,-11.592,43909,0.8406924137278403,0.829396973640066,0.8521225504866681
3,5,-11.7545,-11.917,-11.592,19254,0.9574343709350459,0.9390313394064186,0.974680715325232
4,1,-11.3905,-11.592,-11.189,111838,0.9390760557382352,0.9311788007914196,0.9457538634600117
4,2,-11.3905,-11.592,-11.189,83477,0.9653637018799818,0.9574722267858159,0.9741181549283773
4,3,-11.3905,-11.592,-11.189,65661,0.974220991371837,0.9644379048680216,0.9843488365618275
4,4,-11.3905,-11.592,-11.189,41468,0.9211608219437974,0.9079174183730477,0.9323000509749859
4,5,-11.3905,-11.592,-11.189,18710,1.0293447228105879,1.0075389551032012,1.0496235575657211
5,1,-10.8905,-11.189,-10.592,108567,0.859822283128327,0.8525098055288497,0.8672588800562807
5,2,-10.8905,-11.189,-10.592,85279,0.9149126380825459,0.9064437574330447,0.9231956289193992
5,3,-10.8905,-11.189,-10.592,64740,0.8895900692331206,0.8812284516081034,0.9004265310540701
5,4,-10.8905,-11.189,-10.592,42204,0.785162832888574,0.7736896511046648,0.7956981494898373
5,5,-10.8905,-11.189,-10.592,20364,0.7856780698978355,0.770402824593461,0.7998323214654711
6,1,-6.806,-10.592,-3.02,108985,0.6091568351562611,0.6022314785327648,0.6166737979780427
6,2,-6.806,-10.592,-3.02,80001,0.683641433921955,0.6744964840126023,0.6938622455447033
6,3,-6.806,-10.592,-3.02,63052,0.6718443128607013,0.6607601686118971,0.6818985349664335
6,4,-6.806,-10.592,-3.02,45901,0.5851758408797386,0.5742390459205199,0.5961212980597076
6,5,-6.806,-10.592,-3.02,23216,0.6153825932825469,0.6020194355030837,0.6298099896901275
