dt,x_id,x_center,x_lo,x_hi,n,msd,msd_lo,msd_hi
1,1,-13.327,-13.747,-12.907,28500,1.7308121627239383,1.709117392545317,1.7513657662038813
1,2,-12.777000000000001,-12.907,-12.647,30363,0.9619433413088232,0.9465044595814581,0.9759676011522201
1,3,-12.5545,-12.647,-12.462,26560,0.9833948043351917,0.9669697907056628,0.999228259651427
1,4,-12.3895,-12.462,-12.317,29872,0.6974996215956978,0.6858848035935193,0.7085266504109667
1,5,-12.248999999999999,-12.317,-12.181,31677,0.6775432222615092,0.6643003062285038,0.689375560975786
1,6,-12.119,-12.181,-12.057,31328,0.5763559767046091,0.5666031983757681,0.5876737323652096
1,7,-11.995000000000001,-12.057,-11.933,34713,0.5500872703566833,0.5414863425224018,0.5581589018440637
1,8,-11.868,-11.933,-11.803,33249,0.5423801809125189,0.5328404875428203,0.5519868171592698
1,9,-11.7375,-11.803,-11.672,34934,0.5726241958769468,0.5633428955967074,0.5825944790410141
1,10,-11.6125,-11.672,-11.553,32296,0.5846081527030313,0.5761993932654378,0.5921950202576279
1,11,-11.484,-11.553,-11.415,35411,0.6342910100809332,0.6248113529738476,0.6421528945329952
1,12,-11.341,-11.415,-11.267,35444,0.6950282517391121,0.6842849937976223,0.7041977395306143
1,13,-11.192,-11.267,-11.117,33393,0.7880682289048376,0.7763331302404215,0.7979324848934223
1,14,-11.0385,-11.117,-10.96,32594,0.8010232184372431,0.7905089684342321,0.811977697153522
1,15,-10.872,-10.96,-10.784,33301,0.8572669421986184,0.8443614423530577,0.868917018459731
1,16,-10.690000000000001,-10.784,-10.596,32206,0.9084586140382586,0.8960012187109319,0.9208060128479856
1,17,-10.4805,-10.596,-10.365,31987,0.9433465873324186,0.9304632355323059,0.9583479571813841
1,18,-10.217500000000001,-10.365,-10.07,31656,0.9598163730061777,0.9439236636656623,0.9756547981834753
1,19,-9.827,-10.07,-9.584,32333,0.9625653130261825,0.9448134424027536,0.9791390634646295
1,20,-6.306,-9.584,-3.028,32937,0.9013340586733322,0.8821650740957545,0.9210264883354146
