bin_type,dt,bin_id,bin_lo,bin_hi,bin_center,n
ln_f0,1,1,-13.747,-12.907,-13.327,28500
ln_f0,1,2,-12.907,-12.647,-12.777000000000001,30363
ln_f0,1,3,-12.647,-12.462,-12.5545,26560
ln_f0,1,4,-12.462,-12.317,-12.3895,29872
ln_f0,1,5,-12.317,-12.181,-12.248999999999999,31677
ln_f0,1,6,-12.181,-12.057,-12.119,31328
ln_f0,1,7,-12.057,-11.933,-11.995000000000001,34713
ln_f0,1,8,-11.933,-11.803,-11.868,33249
ln_f0,1,9,-11.803,-11.672,-11.7375,34934
ln_f0,1,10,-11.672,-11.553,-11.6125,32296
ln_f0,1,11,-11.553,-11.415,-11.484,35411
ln_f0,1,12,-11.415,-11.267,-11.341,35444
ln_f0,1,13,-11.267,-11.117,-11.192,33393
ln_f0,1,14,-11.117,-10.96,-11.0385,32594
ln_f0,1,15,-10.96,-10.784,-10.872,33301
ln_f0,1,16,-10.784,-10.596,-10.690000000000001,32206
ln_f0,1,17,-10.596,-10.365,-10.4805,31987
ln_f0,1,18,-10.365,-10.07,-10.217500000000001,31656
ln_f0,1,19,-10.07,-9.584,-9.827,32333
ln_f0,1,20,-9.584,-3.028,-6.306,32937
ln_f0,2,1,-13.747,-12.907,-13.327,26977
ln_f0,2,2,-12.907,-12.647,-12.777000000000001,29132
ln_f0,2,3,-12.647,-12.462,-12.5545,29592
ln_f0,2,4,-12.462,-12.317,-12.3895,28931
ln_f0,2,5,-12.317,-12.181,-12.248999999999999,24793
ln_f0,2,6,-12.181,-12.057,-12.119,26905
ln_f0,2,7,-12.057,-11.933,-11.995000000000001,25437
ln_f0,2,8,-11.933,-11.803,-11.868,25348
ln_f0,2,9,-11.803,-11.672,-11.7375,27774
ln_f0,2,10,-11.672,-11.553,-11.6125,23667
ln_f0,2,11,-11.553,-11.415,-11.484,24976
ln_f0,2,12,-11.415,-11.267,-11.341,25335
ln_f0,2,13,-11.267,-11.117,-11.192,24307
ln_f0,2,14,-11.117,-10.96,-11.0385,24412
ln_f0,2,15,-10.96,-10.784,-10.872,24794
ln_f0,2,16,-10.784,-10.596,-10.690000000000001,25047
ln_f0,2,17,-10.596,-10.365,-10.4805,24375
ln_f0,2,18,-10.365,-10.07,-10.217500000000001,23479
ln_f0,2,19,-10.07,-9.584,-9.827,24026
ln_f0,2,20,-9.584,-3.028,-6.306,23605
ln_f0,3,1,-13.747,-12.907,-13.327,15027
ln_f0,3,2,-12.907,-12.647,-12.777000000000001,14811
ln_f0,3,3,-12.647,-12.462,-12.5545,21018
ln_f0,3,4,-12.462,-12.317,-12.3895,16638
ln_f0,3,5,-12.317,-12.181,-12.248999999999999,17910
ln_f0,3,6,-12.181,-12.057,-12.119,18664
ln_f0,3,7,-12.057,-11.933,-11.995000000000001,18998
ln_f0,3,8,-11.933,-11.803,-11.868,18070
ln_f0,3,9,-11.803,-11.672,-11.7375,19907
ln_f0,3,10,-11.672,-11.553,-11.6125,20184
ln_f0,3,11,-11.553,-11.415,-11.484,18665
ln_f0,3,12,-11.415,-11.267,-11.341,20510
ln_f0,3,13,-11.267,-11.117,-11.192,19652
ln_f0,3,14,-11.117,-10.96,-11.0385,19857
ln_f0,3,15,-10.96,-10.784,-10.872,19441
ln_f0,3,16,-10.784,-10.596,-10.690000000000001,20206
ln_f0,3,17,-10.596,-10.365,-10.4805,19810
ln_f0,3,18,-10.365,-10.07,-10.217500000000001,20155
ln_f0,3,19,-10.07,-9.584,-9.827,19863
ln_f0,3,20,-9.584,-3.028,-6.306,19393
ln_f0,4,1,-13.747,-12.907,-13.327,15997
ln_f0,4,2,-12.907,-12.647,-12.777000000000001,13410
ln_f0,4,3,-12.647,-12.462,-12.5545,18313
ln_f0,4,4,-12.462,-12.317,-12.3895,11717
ln_f0,4,5,-12.317,-12.181,-12.248999999999999,14704
ln_f0,4,6,-12.181,-12.057,-12.119,14712
ln_f0,4,7,-12.057,-11.933,-11.995000000000001,11748
ln_f0,4,8,-11.933,-11.803,-11.868,13692
ln_f0,4,9,-11.803,-11.672,-11.7375,13757
ln_f0,4,10,-11.672,-11.553,-11.6125,10982
ln_f0,4,11,-11.553,-11.415,-11.484,12551
ln_f0,4,12,-11.415,-11.267,-11.341,13397
ln_f0,4,13,-11.267,-11.117,-11.192,11501
ln_f0,4,14,-11.117,-10.96,-11.0385,13224
ln_f0,4,15,-10.96,-10.784,-10.872,11995
ln_f0,4,16,-10.784,-10.596,-10.690000000000001,13057
ln_f0,4,17,-10.596,-10.365,-10.4805,13143
ln_f0,4,18,-10.365,-10.07,-10.217500000000001,13245
ln_f0,4,19,-10.07,-9.584,-9.827,13351
ln_f0,4,20,-9.584,-3.028,-6.306,13275
ln_f0,5,1,-13.747,-12.907,-13.327,10607
ln_f0,5,2,-12.907,-12.647,-12.777000000000001,7881
ln_f0,5,3,-12.647,-12.462,-12.5545,6081
ln_f0,5,4,-12.462,-12.317,-12.3895,4826
ln_f0,5,5,-12.317,-12.181,-12.248999999999999,6454
ln_f0,5,6,-12.181,-12.057,-12.119,4778
ln_f0,5,7,-12.057,-11.933,-11.995000000000001,5837
ln_f0,5,8,-11.933,-11.803,-11.868,5717
ln_f0,5,9,-11.803,-11.672,-11.7375,4150
ln_f0,5,10,-11.672,-11.553,-11.6125,5103
ln_f0,5,11,-11.553,-11.415,-11.484,4719
ln_f0,5,12,-11.415,-11.267,-11.341,4941
ln_f0,5,13,-11.267,-11.117,-11.192,4514
ln_f0,5,14,-11.117,-10.96,-11.0385,6920
ln_f0,5,15,-10.96,-10.784,-10.872,5637
ln_f0,5,16,-10.784,-10.596,-10.690000000000001,6665
ln_f0,5,17,-10.596,-10.365,-10.4805,6538
ln_f0,5,18,-10.365,-10.07,-10.217500000000001,7434
ln_f0,5,19,-10.07,-9.584,-9.827,6864
ln_f0,5,20,-9.584,-3.028,-6.306,7045
ln_fgeo,1,1,-13.616,-12.259,-12.9375,98109
ln_fgeo,1,2,-12.259,-11.917,-12.088000000000001,107221
ln_fgeo,1,3,-11.917,-11.592,-11.7545,110034
ln_fgeo,1,4,-11.592,-11.189,-11.3905,111838
ln_fgeo,1,5,-11.189,-10.592,-10.8905,108567
ln_fgeo,1,6,-10.592,-3.02,-6.806,108985
ln_fgeo,2,1,-13.616,-12.259,-12.9375,93925
ln_fgeo,2,2,-12.259,-11.917,-12.088000000000001,86820
ln_fgeo,2,3,-11.917,-11.592,-11.7545,83410
ln_fgeo,2,4,-11.592,-11.189,-11.3905,83477
ln_fgeo,2,5,-11.189,-10.592,-10.8905,85279
ln_fgeo,2,6,-10.592,-3.02,-6.806,80001
ln_fgeo,3,1,-13.616,-12.259,-12.9375,58604
ln_fgeo,3,2,-12.259,-11.917,-12.088000000000001,62175
ln_fgeo,3,3,-11.917,-11.592,-11.7545,64547
ln_fgeo,3,4,-11.592,-11.189,-11.3905,65661
ln_fgeo,3,5,-11.189,-10.592,-10.8905,64740
ln_fgeo,3,6,-10.592,-3.02,-6.806,63052
ln_fgeo,4,1,-13.616,-12.259,-12.9375,48981
ln_fgeo,4,2,-12.259,-11.917,-12.088000000000001,45308
ln_fgeo,4,3,-11.917,-11.592,-11.7545,43909
ln_fgeo,4,4,-11.592,-11.189,-11.3905,41468
ln_fgeo,4,5,-11.189,-10.592,-10.8905,42204
ln_fgeo,4,6,-10.592,-3.02,-6.806,45901
ln_fgeo,5,1,-13.616,-12.259,-12.9375,21560
ln_fgeo,5,2,-12.259,-11.917,-12.088000000000001,19607
ln_fgeo,5,3,-11.917,-11.592,-11.7545,19254
ln_fgeo,5,4,-11.592,-11.189,-11.3905,18710
ln_fgeo,5,5,-11.189,-10.592,-10.8905,20364
ln_fgeo,5,6,-10.592,-3.02,-6.806,23216
