f_id,dt,f_center,f_lo,f_hi,n,msd,msd_lo,msd_hi
1,1,-12.9375,-13.616,-12.259,98109,0.7308924137866357,0.7224796514533467,0.7391671488940463
1,2,-12.9375,-13.616,-12.259,93925,0.6460537135089938,0.6379715478829628,0.6519468354556076
1,3,-12.9375,-13.616,-12.259,58604,0.726074493171214,0.7145255406692482,0.7370985613308416
1,4,-12.9375,-13.616,-12.259,48981,0.697532313647396,0.6845472515728757,0.7105342924791925
1,5,-12.9375,-13.616,-12.259,21560,0.7769857166009687,0.7613671449029313,0.7928907377920428
2,1,-12.088000000000001,-12.259,-11.917,107221,0.793986714059816,0.7843717954135211,0.8044218595123821
2,2,-12.088000000000001,-12.259,-11.917,86820,0.7872380168370456,0.777134703890864,0.7966905786724071
2,3,-12.088000000000001,-12.259,-11.917,62175,0.7756821748671325,0.7643697465394766,0.7875267387582329
2,4,-12.088000000000001,-12.259,-11.917,45308,0.7699174392832213,0.7562449096552737,0.7862639923592702
2,5,-12.088000000000001,-12.259,-11.917,19607,0.763914980448424,0.7429466147058692,0.7838864787791182
3,1,-11.7545,-11.917,-11.592,110034,0.9083881711742577,0.899109852257181,0.9188462852785649
3,2,-11.7545,-11.917,-11.592,83410,0.9087937632436139,0.8953594408255688,0.9213848849535554
3,3,-11.7545,-11.917,-11.592,64547,0.8919352804995728,0.8796157965097701,0.9044743673441835
3,4,-11.7545,-11.917,-11.592,43909,0.8803404776929462,0.8611076049599954,0.8973821215746101
3,5,-11.7545,-11.917,-11.592,19254,1.054564160269485,1.0283162448610907,1.079405526993036
4,1,-11.3905,-11.592,-11.189,111838,1.0407092334887755,1.0267234385291015,1.0538958656594772
4,2,-11.3905,-11.592,-11.189,83477,1.0941550129346236,1.0777487435504276,1.1088821449069073
4,3,-11.3905,-11.592,-11.189,65661,1.0826021944303659,1.0663237202205909,1.0991639190416853
4,4,-11.3905,-11.592,-11.189,41468,1.0610242014379219,1.0373600570334944,1.0842112636885002
4,5,-11.3905,-11.592,-11.189,18710,1.2332715675739225,1.1966662080275596,1.27709354194827
5,1,-10.8905,-11.189,-10.592,108567,0.9834329937017582,0.9649523439429074,1.0012481802541624
5,2,-10.8905,-11.189,-10.592,85279,1.0069294078888207,0.9865266165643689,1.026933220818544
5,3,-10.8905,-11.189,-10.592,64740,1.0123525340034285,0.9897705520614654,1.0311766453189772
5,4,-10.8905,-11.189,-10.592,42204,0.8617201279699217,0.8392758532745793,0.8857571510834402
5,5,-10.8905,-11.189,-10.592,20364,0.8044241738565662,0.7788783946839464,0.8293781356247047
6,1,-6.806,-10.592,-3.02,108985,0.684839960190536,0.6586086423832545,0.7083373284973232
6,2,-6.806,-10.592,-3.02,80001,0.6219084720603456,0.6025598408890357,0.6416579438226313
6,3,-6.806,-10.592,-3.02,63052,0.5681608269548606,0.552563908624224,0.5857370594194452
6,4,-6.806,-10.592,-3.02,45901,0.5236706900633843,0.5029639369148542,0.5437383683021199
6,5,-6.806,-10.592,-3.02,23216,0.5451957679847822,0.523076375941194,0.5681364038231592
