dt,x_id,x_center,x_lo,x_hi,n,msd,msd_lo,msd_hi
1,1,-13.327,-13.747,-12.907,28500,1.5551913233696328,1.5286561486314405,1.5812401527070339
1,2,-12.777000000000001,-12.907,-12.647,30363,0.8193211228067924,0.8014700043808545,0.8354318857692695
1,3,-12.5545,-12.647,-12.462,26560,0.8558472294993453,0.8356468538395153,0.8758788090011512
1,4,-12.3895,-12.462,-12.317,29872,0.6018818492021497,0.5879025767418443,0.6160116752911919
1,5,-12.248999999999999,-12.317,-12.181,31677,0.5965175799531406,0.5806829466002675,0.6114879450087096
1,6,-12.119,-12.181,-12.057,31328,0.505035993284357,0.4934776366250342,0.5178479732891189
1,7,-11.995000000000001,-12.057,-11.933,34713,0.5173641376573456,0.5070622831092353,0.5295424114249335
1,8,-11.868,-11.933,-11.803,33249,0.5338809405370735,0.5224960317104186,0.5465772500957595
1,9,-11.7375,-11.803,-11.672,34934,0.5986238508176671,0.584099449451553,0.6171452499816314
1,10,-11.6125,-11.672,-11.553,32296,0.6593463633038146,0.6406456414819083,0.6782055420597001
1,11,-11.484,-11.553,-11.415,35411,0.738178323304629,0.7199488788983753,0.7599292017489608
1,12,-11.341,-11.415,-11.267,35444,0.8364960466682925,0.816801924601546,0.8524697675159896
1,13,-11.192,-11.267,-11.117,33393,0.9864703863661102,0.9632509162454815,1.0055098854891984
1,14,-11.0385,-11.117,-10.96,32594,0.9565129402685363,0.9365344274760079,0.978817457166188
1,15,-10.872,-10.96,-10.784,33301,1.060968933105678,1.032582713502941,1.0825398834581634
1,16,-10.690000000000001,-10.784,-10.596,32206,1.0541259579462614,1.0318257094175145,1.0807543618219606
1,17,-10.4805,-10.596,-10.365,31987,1.042755313375233,1.0191440313469946,1.067514853212413
1,18,-10.217500000000001,-10.365,-10.07,31656,0.9618269154434962,0.9339462691199559,0.986260529967122
1,19,-9.827,-10.07,-9.584,32333,0.8927437372434702,0.8598682474786432,0.920929730230074
1,20,-6.306,-9.584,-3.028,32937,0.9866335536620352,0.9348299424979213,1.030443259467411
2,1,-13.327,-13.747,-12.907,26977,1.4482688104504458,1.4215660258639913,1.4743507575039756
2,2,-12.777000000000001,-12.907,-12.647,29132,0.7875783790559832,0.773748642800207,0.803180786341512
2,3,-12.5545,-12.647,-12.462,29592,0.5898027332679241,0.5776234345173398,0.6021692667614896
2,4,-12.3895,-12.462,-12.317,28931,0.5998370785156546,0.588137531005976,0.6125726155530002
2,5,-12.248999999999999,-12.317,-12.181,24793,0.5901651537978024,0.5723198349045809,0.6078768913306143
2,6,-12.119,-12.181,-12.057,26905,0.4836937583751409,0.4714128206494559,0.4963966546057151
2,7,-11.995000000000001,-12.057,-11.933,25437,0.5596767935390026,0.5458613314987972,0.5752101883427588
2,8,-11.868,-11.933,-11.803,25348,0.5648268445799475,0.5508515466549561,0.5790057193476157
2,9,-11.7375,-11.803,-11.672,27774,0.6221226576281511,0.6077190226649924,0.6375022634292734
2,10,-11.6125,-11.672,-11.553,23667,0.6749056213615049,0.6577247783106137,0.690472862644054
2,11,-11.484,-11.553,-11.415,24976,0.7061006636622095,0.6906409935899647,0.7230228988616902
2,12,-11.341,-11.415,-11.267,25335,0.7729840729044087,0.7531526248668757,0.7930386922056428
2,13,-11.192,-11.267,-11.117,24307,0.8263341830589196,0.808456815427833,0.8454509297357686
2,14,-11.0385,-11.117,-10.96,24412,0.9212711204585973,0.9010327299183765,0.9435281212423007
2,15,-10.872,-10.96,-10.784,24794,0.9148955864136055,0.891459207317955,0.9419455458716034
2,16,-10.690000000000001,-10.784,-10.596,25047,0.9850078189047146,0.9594324591276078,1.0140647554125275
2,17,-10.4805,-10.596,-10.365,24375,1.0318663950608906,0.999519487504477,1.0598166257893091
2,18,-10.217500000000001,-10.365,-10.07,23479,0.9395451858940885,0.907394737653567,0.9700711515303849
2,19,-9.827,-10.07,-9.584,24026,0.9233482491981229,0.892468844023748,0.9547525385189797
2,20,-6.306,-9.584,-3.028,23605,0.9963757231376031,0.9500701465207922,1.049333028894459
3,1,-13.327,-13.747,-12.907,15027,1.2763846359057849,1.2460530270991987,1.3067336583620262
3,2,-12.777000000000001,-12.907,-12.647,14811,0.9429523739992761,0.9211892123815091,0.9656023921681292
3,3,-12.5545,-12.647,-12.462,21018,0.5536481782240772,0.5384171251113051,0.5686406250183316
3,4,-12.3895,-12.462,-12.317,16638,0.5980780556551817,0.5794228662481808,0.6155251245191811
3,5,-12.248999999999999,-12.317,-12.181,17910,0.5261103754042816,0.5093933028911447,0.5415063301662536
3,6,-12.119,-12.181,-12.057,18664,0.4941245464805344,0.48091530686850315,0.5095972675705519
3,7,-11.995000000000001,-12.057,-11.933,18998,0.5264388544949855,0.511654769387732,0.5408498513396183
3,8,-11.868,-11.933,-11.803,18070,0.4534452314986885,0.4349374247834869,0.4714260316491008
3,9,-11.7375,-11.803,-11.672,19907,0.4852241090040322,0.47501775821340725,0.49561785493492166
3,10,-11.6125,-11.672,-11.553,20184,0.7040728400659981,0.6889369006269745,0.7226420218244904
3,11,-11.484,-11.553,-11.415,18665,0.6410443290895623,0.6232096504558757,0.6570375695016126
3,12,-11.341,-11.415,-11.267,20510,0.8504458148734948,0.8297182050190414,0.8712049495232767
3,13,-11.192,-11.267,-11.117,19652,1.1063584981389607,1.0804171351274052,1.1317780023705464
3,14,-11.0385,-11.117,-10.96,19857,0.9033051120324813,0.8769948917159505,0.9314511299149129
3,15,-10.872,-10.96,-10.784,19441,1.2555092834775048,1.2221017109336223,1.2894177036639383
3,16,-10.690000000000001,-10.784,-10.596,20206,1.1767076232136362,1.14475365981141,1.207044399782647
3,17,-10.4805,-10.596,-10.365,19810,1.1748067125294177,1.1411391054189184,1.2052810699601848
3,18,-10.217500000000001,-10.365,-10.07,20155,1.1459396785081095,1.1121745990732055,1.1826781726377602
3,19,-9.827,-10.07,-9.584,19863,0.9757990217104567,0.943805736097081,1.0134615265171225
3,20,-6.306,-9.584,-3.028,19393,0.8004557468182948,0.7526180945127067,0.8437414474512909
4,1,-13.327,-13.747,-12.907,15997,1.3104065586256193,1.2824258479599897,1.3383684235221356
4,2,-12.777000000000001,-12.907,-12.647,13410,0.8980275306436766,0.8718162950295527,0.9228379410113537
4,3,-12.5545,-12.647,-12.462,18313,0.5886372919299397,0.5706282076710991,0.6092761514656776
4,4,-12.3895,-12.462,-12.317,11717,0.6117025208692198,0.5916138893478827,0.635537724141291
4,5,-12.248999999999999,-12.317,-12.181,14704,0.4872672029118906,0.4697301925891915,0.504560791252592
4,6,-12.119,-12.181,-12.057,14712,0.49811159175077335,0.4758430033357225,0.5220322204144334
4,7,-11.995000000000001,-12.057,-11.933,11748,0.45741734315655264,0.43885592453100225,0.4722119906020498
4,8,-11.868,-11.933,-11.803,13692,0.470151710779413,0.4547048156342719,0.4858293614788836
4,9,-11.7375,-11.803,-11.672,13757,0.5108657661413624,0.4935326939599343,0.5292078456410001
4,10,-11.6125,-11.672,-11.553,10982,0.5407675808692598,0.5182938853631802,0.5644533365595307
4,11,-11.484,-11.553,-11.415,12551,0.6969939875143223,0.6524958735197022,0.7572063585533416
4,12,-11.341,-11.415,-11.267,13397,0.830340766745245,0.8026074036627433,0.8605338026475055
4,13,-11.192,-11.267,-11.117,11501,0.9550452830135652,0.9206197152166655,0.9923649810081078
4,14,-11.0385,-11.117,-10.96,13224,0.8635760805857378,0.8335715238178169,0.8961514663397012
4,15,-10.872,-10.96,-10.784,11995,1.0076008465731465,0.9545767369297055,1.0644791884065337
4,16,-10.690000000000001,-10.784,-10.596,13057,1.0170688881122807,0.9815103385167988,1.0491836313775094
