f_id,dt,f_center,f_lo,f_hi,n,msd,msd_lo,msd_hi
1,1,-12.9375,-13.616,-12.259,98109,0.7308924137866357,0.7224796514533468,0.7391671488940462
1,2,-12.9375,-13.616,-12.259,93925,0.6438203044512985,0.6360610513068684,0.6495935768807786
1,3,-12.9375,-13.616,-12.259,58604,0.7247675754186608,0.7132688334661179,0.7360108619825312
1,4,-12.9375,-13.616,-12.259,48981,0.689757829900416,0.6778410445197763,0.7018955195941212
1,5,-12.9375,-13.616,-12.259,21560,0.7769857166009686,0.7613671449029312,0.7928907377920427
2,1,-12.088000000000001,-12.259,-11.917,107221,0.7866572269692235,0.7777602163684122,0.7965873106721454
2,2,-12.088000000000001,-12.259,-11.917,86820,0.7753737111042993,0.7657612252326318,0.784435865428473
2,3,-12.088000000000001,-12.259,-11.917,62175,0.7627450638220135,0.7514441860493801,0.7747597697409986
2,4,-12.088000000000001,-12.259,-11.917,45308,0.7317020899439866,0.7194745424926058,0.7462379159878524
2,5,-12.088000000000001,-12.259,-11.917,19607,0.7523892550389283,0.7337549941843597,0.7727220848078306
3,1,-11.7545,-11.917,-11.592,110034,0.8764780658233925,0.8676525110443936,0.8865224056660329
3,2,-11.7545,-11.917,-11.592,83410,0.8553102701603935,0.8445261769491885,0.8656149976666928
3,3,-11.7545,-11.917,-11.592,64547,0.8616736897349008,0.8495964251790963,0.8733296957292737
3,4,-11.7545,-11.917,-11.592,43909,0.8329539953725401,0.8180326970730353,0.8476480766314153
3,5,-11.7545,-11.917,-11.592,19254,1.0331178667905312,1.0073923156717215,1.0587741906633603
4,1,-11.3905,-11.592,-11.189,111838,0.9658092071771703,0.9547856111058663,0.9762910201618068
4,2,-11.3905,-11.592,-11.189,83477,0.9794928056980728,0.9658439954288216,0.9910517052642882
4,3,-11.3905,-11.592,-11.189,65661,1.017274439285058,1.0041978067410144,1.0319544118008377
4,4,-11.3905,-11.592,-11.189,41468,0.9412353749716728,0.9221631916630386,0.9582673318256081
4,5,-11.3905,-11.592,-11.189,18710,1.1965693270329314,1.1655467159835724,1.2336617838469068
5,1,-10.8905,-11.189,-10.592,108567,0.8807680728004791,0.8684304174166261,0.8935234169702163
5,2,-10.8905,-11.189,-10.592,85279,0.9472136622701535,0.9313884825530186,0.9621171623134698
5,3,-10.8905,-11.189,-10.592,64740,0.917447677247149,0.8993384534819109,0.9341966661120843
5,4,-10.8905,-11.189,-10.592,42204,0.7672760989316872,0.7484583221932558,0.7847429121635905
5,5,-10.8905,-11.189,-10.592,20364,0.8004482094362373,0.7740089638013289,0.824186117145232
6,1,-6.806,-10.592,-3.02,108985,0.8162163881521894,0.78997592457467,0.8386238338503313
6,2,-6.806,-10.592,-3.02,80001,0.8712822494854143,0.8467962449409216,0.897645766561205
6,3,-6.806,-10.592,-3.02,63052,0.7772219610185729,0.7513298058249538,0.801570707549737
6,4,-6.806,-10.592,-3.02,45901,0.6426679647631035,0.6188471715139265,0.6690712685607842
6,5,-6.806,-10.592,-3.02,23216,0.6414709993219706,0.6168588203210763,0.6695082739453373
