dt,x_id,x_center,x_lo,x_hi,n,msd,msd_lo,msd_hi
1,1,-13.327,-13.747,-12.907,28500,1.5133237582855397,1.4906236577561753,1.5343020222185049
1,2,-12.777000000000001,-12.907,-12.647,30363,0.7753754161230422,0.7604113624612608,0.7889908941320722
1,3,-12.5545,-12.647,-12.462,26560,0.8218163009330527,0.8049600394271453,0.8406067279764243
1,4,-12.3895,-12.462,-12.317,29872,0.548452370590601,0.5373002236301296,0.5600192017259649
1,5,-12.248999999999999,-12.317,-12.181,31677,0.5492064626994467,0.5375006360802146,0.5604990769110636
1,6,-12.119,-12.181,-12.057,31328,0.46365408955288806,0.45324276636385125,0.47497522591647406
1,7,-11.995000000000001,-12.057,-11.933,34713,0.4776370035384911,0.4686541579928557,0.4869285612330215
1,8,-11.868,-11.933,-11.803,33249,0.4938231979725147,0.484617770629886,0.5036746238328529
1,9,-11.7375,-11.803,-11.672,34934,0.5599227488256479,0.5491697239207247,0.5720005733155119
1,10,-11.6125,-11.672,-11.553,32296,0.626876438435341,0.6129970817301148,0.6377469764841444
1,11,-11.484,-11.553,-11.415,35411,0.7047552822282427,0.6903350049778308,0.7198186840365131
1,12,-11.341,-11.415,-11.267,35444,0.8228551917841528,0.8046884194855638,0.8380891285269443
1,13,-11.192,-11.267,-11.117,33393,0.9922483238242995,0.9685108405491352,1.0098794866480312
1,14,-11.0385,-11.117,-10.96,32594,0.9693639960895845,0.9500779577155285,0.9899168004835626
1,15,-10.872,-10.96,-10.784,33301,1.119311845458138,1.0924731657873636,1.1411124705829727
1,16,-10.690000000000001,-10.784,-10.596,32206,1.1704649153732536,1.1458779047329077,1.198551413802133
1,17,-10.4805,-10.596,-10.365,31987,1.2683457711165522,1.2379757135079608,1.3007093578801765
1,18,-10.217500000000001,-10.365,-10.07,31656,1.325132379162965,1.289094335445394,1.356912156559446
1,19,-9.827,-10.07,-9.584,32333,1.4242927310389886,1.3793574922792056,1.465048227262127
1,20,-6.306,-9.584,-3.028,32937,1.7638825103006976,1.684442771661284,1.8381763295988185
2,1,-13.327,-13.747,-12.907,26977,1.4038430281585081,1.379503487151112,1.4254450239625265
2,2,-12.777000000000001,-12.907,-12.647,29132,0.7493822314839553,0.7363612606767819,0.7620222426425741
2,3,-12.5545,-12.647,-12.462,29592,0.5480268524460316,0.5388097470644219,0.5575153238073837
2,4,-12.3895,-12.462,-12.317,28931,0.5609573982976478,0.5509509436850907,0.5708753966295029
2,5,-12.248999999999999,-12.317,-12.181,24793,0.5384178473419161,0.5245560790581667,0.5516187607735702
2,6,-12.119,-12.181,-12.057,26905,0.44078317215012,0.43082754896186326,0.4502097645719258
2,7,-11.995000000000001,-12.057,-11.933,25437,0.5210759530528581,0.5093532192034027,0.5323731003440899
2,8,-11.868,-11.933,-11.803,25348,0.5260053982901403,0.5136888745813529,0.537895344796039
2,9,-11.7375,-11.803,-11.672,27774,0.5863902075322937,0.5739094448595727,0.5990827235534689
2,10,-11.6125,-11.672,-11.553,23667,0.6426502401364549,0.6251432191928205,0.6567609756378153
2,11,-11.484,-11.553,-11.415,24976,0.676587654538441,0.6624984072680369,0.6919606633109183
2,12,-11.341,-11.415,-11.267,25335,0.7537016410963038,0.734440500844242,0.7714420185856083
2,13,-11.192,-11.267,-11.117,24307,0.8272890708823527,0.809288514869947,0.8467741631488696
