dt,x_id,x_center,x_lo,x_hi,n,median_dx,median_lo,median_hi,ppos,ppos_lo,ppos_hi
1,1,-11.2845,-11.825999999999999,-10.743,1990,0.5447354673228855,0.5279485732104039,0.5631291399729559,0.9381909547738694,0.9276130653266331,0.9475
1,2,-10.6405,-10.743,-10.538,1784,0.3632359134710317,0.3461852262899505,0.3874233372026943,0.852017937219731,0.8371496636771301,0.867152466367713
1,3,-10.4515,-10.538,-10.365,1760,0.3119763867925549,0.28477057473355294,0.3382515042067608,0.7579545454545454,0.7363636363636363,0.7784090909090909
1,4,-10.293,-10.365,-10.221,1646,0.240077985905593,0.21878436113030417,0.2649324245051836,0.7187120291616039,0.6995291616038882,0.7387910085054678
1,5,-10.161000000000001,-10.221,-10.101,1720,0.2111778002479649,0.18185388885097686,0.23517053000237642,0.6901162790697675,0.6694622093023256,0.7104651162790697
1,6,-10.0475,-10.101,-9.994,1805,0.1303997051930903,0.10472360773126316,0.15049663200494245,0.621606648199446,0.6008171745152354,0.6426592797783933
1,7,-9.9415,-9.994,-9.889,1853,0.0569417236079718,0.02898573439583007,0.08006451945502334,0.5450620615218564,0.5183351322180249,0.5653130059363195
1,8,-9.834,-9.889,-9.779,1919,0.0265097981886555,0.004226935468302336,0.05026988925711218,0.5263157894736842,0.503608650338718,0.5482282438770193
1,9,-9.7265,-9.779,-9.674,1960,0.0221002682128812,0.00350047635932791,0.04714828715282276,0.5244897959183673,0.5025510204081632,0.5459183673469388
1,10,-9.621500000000001,-9.674,-9.569,2035,-0.0525729935402079,-0.0743005561281275,-0.02358315614576543,0.45995085995085994,0.43807125307125305,0.4821130221130221
1,11,-9.5135,-9.569,-9.458,2079,-0.0682128325496282,-0.10229415077265089,-0.0457176992172883,0.44877344877344877,0.42568542568542567,0.4709235209235209
1,12,-9.3975,-9.458,-9.337,2117,-0.1051939247641069,-0.1315336609555579,-0.0740870260602459,0.42654700047236654,0.4078530940009447,0.44922059518186114
