f_id,dt,f_center,f_lo,f_hi,n,msd,msd_lo,msd_hi
1,1,-10.802499999999998,-11.363999999999999,-10.241,5910,0.2682395352332663,0.2576003822373771,0.27853942261168413
1,2,-10.802499999999998,-11.363999999999999,-10.241,5455,0.23184991766942276,0.22277150939989487,0.24300524723396325
1,3,-10.802499999999998,-11.363999999999999,-10.241,3774,0.23949511301754517,0.2289895051038529,0.24892598386933437
1,4,-10.802499999999998,-11.363999999999999,-10.241,3298,0.3004798142401642,0.2875435132147742,0.3156480349896894
1,5,-10.802499999999998,-11.363999999999999,-10.241,1238,0.3914165631002425,0.36573318153669554,0.41700541265913166
2,1,-10.0735,-10.241,-9.906,6204,0.330328563815174,0.3187006096787832,0.3434623638231829
2,2,-10.0735,-10.241,-9.906,5441,0.30855330953925614,0.2943398937668065,0.32090778748238197
2,3,-10.0735,-10.241,-9.906,3688,0.3032767642115475,0.2877806620426401,0.3165328794123074
2,4,-10.0735,-10.241,-9.906,3084,0.3220363543045848,0.3043347537007242,0.34008201457493614
2,5,-10.0735,-10.241,-9.906,1258,0.3806374113544191,0.35030295186821553,0.41353205170849355
3,1,-9.742,-9.906,-9.578,6566,0.3083373614106174,0.2977391292985942,0.31909713850375365
3,2,-9.742,-9.906,-9.578,4981,0.32365650537551083,0.3105614022566642,0.3397760079614144
3,3,-9.742,-9.906,-9.578,4111,0.2936694115147072,0.280153262875776,0.3090495357087798
3,4,-9.742,-9.906,-9.578,2776,0.31410440663655986,0.294299169336367,0.33266909156396435
3,5,-9.742,-9.906,-9.578,1241,0.46039760763801196,0.4226314903872821,0.49905050355045283
4,1,-9.386,-9.578,-9.194,6876,0.3111559970580728,0.30011512078546154,0.3214655662003124
4,2,-9.386,-9.578,-9.194,5034,0.3434998344691669,0.32833437870901105,0.3599797221423999
4,3,-9.386,-9.578,-9.194,3997,0.33491548857034775,0.318062482249531,0.35643008432988843
4,4,-9.386,-9.578,-9.194,2625,0.31367162896939105,0.29273259760899406,0.33225796991367185
4,5,-9.386,-9.578,-9.194,1143,0.41381129334956857,0.378650192976836,0.4498555448115146
5,1,-8.897,-9.194,-8.6,6788,0.31108552639864173,0.2967616098281147,0.32721814782657893
5,2,-8.897,-9.194,-8.6,5219,0.3503590063376606,0.3317150672260508,0.3723284104621965
5,3,-8.897,-9.194,-8.6,3919,0.3137403041266241,0.29801907181233134,0.33018168612494964
5,4,-8.897,-9.194,-8.6,2666,0.3054190995562236,0.2818973857904573,0.32863524966649743
5,5,-8.897,-9.194,-8.6,1083,0.3352852413183505,0.3053838780301266,0.36699643790159425
6,1,-5.81,-8.6,-3.02,6818,0.34656883205401035,0.3158681411556904,0.37968500991498433
6,2,-5.81,-8.6,-3.02,4905,0.3741265030728579,0.3378574694218534,0.41271882314070846
6,3,-5.81,-8.6,-3.02,3853,0.385431174064288,0.3376971639459585,0.4384040641862905
6,4,-5.81,-8.6,-3.02,2791,0.3103151766019313,0.2767305219620902,0.34226298503652935
6,5,-5.81,-8.6,-3.02,1308,0.32591900763227516,0.27756523107580694,0.39637528228004987
