dt,x_id,x_center,x_lo,x_hi,n,msd,msd_lo,msd_hi
1,1,-11.2845,-11.825999999999999,-10.743,1990,0.5060539594478163,0.47824082337851137,0.5421548984967088
1,2,-10.6405,-10.743,-10.538,1784,0.3026948638272094,0.2815900923176614,0.3238630080446109
1,3,-10.4515,-10.538,-10.365,1760,0.30398861288847745,0.2806038278786186,0.32559906705139696
1,4,-10.293,-10.365,-10.221,1646,0.26314080711620536,0.24335559629148792,0.2836974076131498
1,5,-10.161000000000001,-10.221,-10.101,1720,0.2417593561795183,0.2214814640562549,0.2603651297613604
1,6,-10.0475,-10.101,-9.994,1805,0.23875725731424322,0.2017685675695314,0.29262379035373587
1,7,-9.9415,-9.994,-9.889,1853,0.23497365333694267,0.21248912495567462,0.26213904154796336
1,8,-9.834,-9.889,-9.779,1919,0.26122164272321985,0.2452722896827369,0.2785857636582029
1,9,-9.7265,-9.779,-9.674,1960,0.2723147401298325,0.2570097023203638,0.29199722520068605
1,10,-9.621500000000001,-9.674,-9.569,2035,0.2741769131237911,0.25312190858292083,0.29280519867797383
1,11,-9.5135,-9.569,-9.458,2079,0.2702723171188422,0.25380573124526606,0.28609528721478633
1,12,-9.3975,-9.458,-9.337,2117,0.29285121404234626,0.2747540577261329,0.31031303084058254
1,13,-9.272,-9.337,-9.207,2061,0.29214856560572516,0.2728507881507608,0.3099648340960503
1,14,-9.136,-9.207,-9.065,2084,0.3112678574717734,0.29235444941922156,0.33293003957090356
1,15,-8.9845,-9.065,-8.904,2062,0.304065908097328,0.281664239002937,0.32936189503552477
1,16,-8.812000000000001,-8.904,-8.72,2040,0.3073368942558362,0.28761000179436297,0.3283095677942914
1,17,-8.599,-8.72,-8.478,2050,0.3078503609136721,0.2872621570853193,0.3256040011979146
1,18,-8.301,-8.478,-8.124,2097,0.32103162589464274,0.2944400423251972,0.3474222901158887
1,19,-7.8125,-8.124,-7.501,2060,0.3149453708027295,0.2880641065001027,0.34344674207480386
1,20,-5.2645,-7.501,-3.028,2040,0.6094106820752502,0.5284302856207277,0.6859339843241791
2,1,-11.2845,-11.825999999999999,-10.743,1043,0.5412363894424315,0.49772795596383396,0.5910542121094645
2,2,-10.6405,-10.743,-10.538,1755,0.3133419359439537,0.29261620501185487,0.3357610244826824
2,3,-10.4515,-10.538,-10.365,1802,0.285118211188935,0.2661286603013612,0.3089874622035136
2,4,-10.293,-10.365,-10.221,1830,0.24813060504726467,0.23181824975300794,0.26788837596857384
2,5,-10.161000000000001,-10.221,-10.101,1727,0.23879236182472918,0.2191319618732251,0.2622411629386034
2,6,-10.0475,-10.101,-9.994,1603,0.24043532558187983,0.21481025345027485,0.2723338021780426
2,7,-9.9415,-9.994,-9.889,1568,0.2307569523710973,0.21570583467537974,0.24656225890490133
2,8,-9.834,-9.889,-9.779,1572,0.27739424041132765,0.25872960816972035,0.29994040706697567
2,9,-9.7265,-9.779,-9.674,1620,0.28923374093247506,0.27114937129621575,0.3093329327218108
2,10,-9.621500000000001,-9.674,-9.569,1549,0.30118125803675855,0.28137781800485984,0.32640221963472527
2,11,-9.5135,-9.569,-9.458,1479,0.29726956850983394,0.2747963921876837,0.3225436912094467
2,12,-9.3975,-9.458,-9.337,1492,0.3057805839184098,0.2839318998510154,0.32958001138679743
2,13,-9.272,-9.337,-9.207,1547,0.3038022529442309,0.2839761585667984,0.3261099181673293
2,14,-9.136,-9.207,-9.065,1550,0.31267740257976306,0.2890304068806149,0.33580094184769277
2,15,-8.9845,-9.065,-8.904,1569,0.3178237543015139,0.29464708232880715,0.34005661340650234
2,16,-8.812000000000001,-8.904,-8.72,1495,0.30985248604005594,0.28625145080777437,0.33380295244070507
2,17,-8.599,-8.72,-8.478,1428,0.34976755036460283,0.3198007066062399,0.3786374620172465
2,18,-8.301,-8.478,-8.124,1463,0.39384950639755134,0.3538376479499611,0.44419097283563
2,19,-7.8125,-8.124,-7.501,1469,0.39671944960003774,0.3525061924113437,0.44407122404894056
2,20,-5.2645,-7.501,-3.028,1474,0.5865421719281655,0.48619931430629354,0.7157022784352286
3,1,-11.2845,-11.825999999999999,-10.743,1041,0.400954067327573,0.35845735915342564,0.44940647903646663
3,2,-10.6405,-10.743,-10.538,1117,0.3225827659206563,0.2938993074325565,0.35644469549900865
3,3,-10.4515,-10.538,-10.365,1046,0.27334404133778867,0.24574271037277595,0.3036788102468623
3,4,-10.293,-10.365,-10.221,1128,0.2381812338703269,0.21700753696040576,0.25992476040044477
3,5,-10.161000000000001,-10.221,-10.101,1141,0.2405380391756712,0.22357880061016439,0.261770495832349
3,6,-10.0475,-10.101,-9.994,1140,0.2961210687318017,0.23635572845309524,0.4028012270481647
3,7,-9.9415,-9.994,-9.889,1156,0.2448909521279904,0.22343508091982914,0.2655748751373314
3,8,-9.834,-9.889,-9.779,1201,0.24075825172917312,0.2187746622828693,0.2620475282936026
3,9,-9.7265,-9.779,-9.674,1182,0.23496079734620767,0.21509860450994656,0.255132394296125
3,10,-9.621500000000001,-9.674,-9.569,1242,0.27463491966367815,0.2535888094120548,0.2969001806447484
3,11,-9.5135,-9.569,-9.458,1244,0.2794040765249663,0.25670708417306304,0.30572904580919535
3,12,-9.3975,-9.458,-9.337,1232,0.29548970836061805,0.271797800230494,0.3177266279929052
3,13,-9.272,-9.337,-9.207,1220,0.31191046639655623,0.28685645925395536,0.3385044377547219
3,14,-9.136,-9.207,-9.065,1147,0.3569641715413364,0.32143435387473934,0.39723025139081486
3,15,-8.9845,-9.065,-8.904,1190,0.327991701378179,0.3038997672086315,0.35586450700360317
3,16,-8.812000000000001,-8.904,-8.72,1198,0.30923368871813994,0.28233957074032956,0.3394329852327578
3,17,-8.599,-8.72,-8.478,1202,0.34160439018630173,0.3164256585425075,0.3722124838599425
3,18,-8.301,-8.478,-8.124,1189,0.37255792217793626,0.328413806782866,0.42763174233632184
3,19,-7.8125,-8.124,-7.501,1180,0.3494741530294134,0.30764834874683894,0.3868682774006413
3,20,-5.2645,-7.501,-3.028,1146,0.5402815909345853,0.4324470716343305,0.7058572509665582
4,1,-11.2845,-11.825999999999999,-10.743,1113,0.4324341017914839,0.3911761983937429,0.4746892891575946
4,2,-10.6405,-10.743,-10.538,847,0.396047534250796,0.3647744830235649,0.4289545961265801
4,3,-10.4515,-10.538,-10.365,928,0.30554545636655756,0.2689947701168798,0.3448143371853061
4,4,-10.293,-10.365,-10.221,961,0.29351337540114864,0.263745363924196,0.3190925419932413
4,5,-10.161000000000001,-10.221,-10.101,1009,0.24148395311887855,0.2199594661422081,0.25718358608458336
4,6,-10.0475,-10.101,-9.994,979,0.26119172555193704,0.24131438647263523,0.28526712914317987
4,7,-9.9415,-9.994,-9.889,962,0.2762350620559176,0.25167028724872353,0.30171138601968783
4,8,-9.834,-9.889,-9.779,894,0.29542359404658336,0.2616305816779561,0.3265964507226328
4,9,-9.7265,-9.779,-9.674,848,0.29838319694730364,0.27061302240854185,0.3253440764811845
4,10,-9.621500000000001,-9.674,-9.569,814,0.286129256836919,0.2530065041469504,0.31151742628873375
4,11,-9.5135,-9.569,-9.458,802,0.2854676904816564,0.2577472735977696,0.32063987577191705
4,12,-9.3975,-9.458,-9.337,777,0.3066569233639308,0.2767928026951363,0.3430247582882786
4,13,-9.272,-9.337,-9.207,780,0.32921283240605964,0.29191740219973683,0.37383489632927874
4,14,-9.136,-9.207,-9.065,778,0.30103084375596506,0.2677192713034941,0.33633436558859053
4,15,-8.9845,-9.065,-8.904,754,0.32365466209013255,0.28258003506879675,0.3603554885418398
4,16,-8.812000000000001,-8.904,-8.72,781,0.2971284484093783,0.25768207935011433,0.3404073793376338
4,17,-8.599,-8.72,-8.478,810,0.2846452733359157,0.25649190447382286,0.3207830046258447
4,18,-8.301,-8.478,-8.124,784,0.3334213238350108,0.2865963190568142,0.3887635000587125
4,19,-7.8125,-8.124,-7.501,807,0.2501818753382121,0.21637581249460153,0.2907736059673749
4,20,-5.2645,-7.501,-3.028,812,0.4115125741790884,0.31844447721075597,0.5367101958647349
5,1,-11.2845,-11.825999999999999,-10.743,740,0.7757230712012663,0.7150703063390276,0.8517474210794105
5,2,-10.6405,-10.743,-10.538,377,0.5999113434145349,0.5275773344430036,0.6635608538616523
5,3,-10.4515,-10.538,-10.365,367,0.44240587252424174,0.36700485519429593,0.5574020018163836
5,4,-10.293,-10.365,-10.221,336,0.30655803923884406,0.26591074510036244,0.3459922171155133
5,5,-10.161000000000001,-10.221,-10.101,319,0.2684279371706434,0.23385758557981468,0.31341842615434895
5,6,-10.0475,-10.101,-9.994,372,0.23501433958641613,0.19159061259642332,0.278659275880352
5,7,-9.9415,-9.994,-9.889,357,0.19788402104863345,0.16806284560207202,0.2328666797599751
5,8,-9.834,-9.889,-9.779,322,0.22253422443307597,0.18808053480477627,0.2626138718639712
5,9,-9.7265,-9.779,-9.674,286,0.18526594765302473,0.15834049682375778,0.2128917433216702
5,10,-9.621500000000001,-9.674,-9.569,270,0.19950165353833615,0.17131873628051758,0.23600717526022924
5,11,-9.5135,-9.569,-9.458,287,0.1862843748187928,0.1609619094148436,0.2151095067251915
5,12,-9.3975,-9.458,-9.337,286,0.18996775652230108,0.1609223264285662,0.22092458603520432
5,13,-9.272,-9.337,-9.207,294,0.34548992291797537,0.2980261479237413,0.3989532996357825
5,14,-9.136,-9.207,-9.065,343,0.4631705222027411,0.39999388542741066,0.5134953231658228
5,15,-8.9845,-9.065,-8.904,329,0.40096238410894547,0.3399669074367963,0.4740352151297272
5,16,-8.812000000000001,-8.904,-8.72,389,0.43557786582184554,0.3695011841135539,0.5079854336607634
5,17,-8.599,-8.72,-8.478,410,0.38692516861654136,0.3361912929984798,0.4428512786885429
5,18,-8.301,-8.478,-8.124,371,0.39110227048112295,0.3189256145291291,0.4785269523357279
5,19,-7.8125,-8.124,-7.501,385,0.2931739830164476,0.2378745821831874,0.3616021203158639
5,20,-5.2645,-7.501,-3.028,431,0.5178529737650924,0.36853963586316796,0.7483423245784404
