dt,x_id,x_center,x_lo,x_hi,n,median_dx,median_lo,median_hi,ppos,ppos_lo,ppos_hi
1,1,-11.2845,-11.825999999999999,-10.743,1990,0.5632908150617109,0.5350311180768509,0.6008237355016313,0.9303809345092888,0.9070798387830651,0.9475759622189056
1,2,-10.6405,-10.743,-10.538,1784,0.3479469886711914,0.31523211684049507,0.38397960054968855,0.8465842853812076,0.8259473554215133,0.8661423838827287
1,3,-10.4515,-10.538,-10.365,1760,0.2980970588131111,0.2621612631594597,0.337054182582219,0.7438579421065437,0.7114791569021459,0.7702719265475029
1,4,-10.293,-10.365,-10.221,1646,0.2150962790744497,0.17596925900092233,0.24060570707204074,0.6902654867256638,0.6606707024013424,0.7164191429515014
1,5,-10.161000000000001,-10.221,-10.101,1720,0.1064685569577932,0.0578697691120257,0.1495409800997045,0.579201234806097,0.5444994021655357,0.6152800712850592
1,6,-10.0475,-10.101,-9.994,1805,0.077628134072281,0.039646034603738854,0.11923225192082922,0.5638402518197916,0.5329251581459322,0.5991600429957551
1,7,-9.9415,-9.994,-9.889,1853,-0.0290673374576773,-0.07825028026939698,0.025001639812773275,0.4790580968924919,0.4495597474265155,0.507736765462529
1,8,-9.834,-9.889,-9.779,1919,-0.0705928570030334,-0.11552534796336715,-0.0251774022017077,0.45465905033916465,0.42394227842152615,0.48622905608006817
1,9,-9.7265,-9.779,-9.674,1960,-0.0404867161875195,-0.0923771774980419,-0.0034785495013984267,0.4693426624930953,0.44042607181518256,0.4980954990944237
1,10,-9.621500000000001,-9.674,-9.569,2035,-0.1092163509821357,-0.1413678663213499,-0.0628727536588638,0.4171299513551078,0.3876535993792298,0.44259254414774996
1,11,-9.5135,-9.569,-9.458,2079,-0.1529201615491402,-0.17660673937381455,-0.1025336673253463,0.3974154717649142,0.3689238517744193,0.42418794863592996
1,12,-9.3975,-9.458,-9.337,2117,-0.1857961822482998,-0.2209712249970934,-0.14756959890463603,0.3753576838916008,0.3518483670180522,0.40295088566827697
1,13,-9.272,-9.337,-9.207,2061,-0.218451130631788,-0.26065960427456053,-0.16672957978302458,0.35074499058057895,0.32153046222623677,0.3748413281667558
1,14,-9.136,-9.207,-9.065,2084,-0.2081940478242678,-0.2423233694012179,-0.1533251208321519,0.36310055367029825,0.33590668109299116,0.3889816795489766
1,15,-8.9845,-9.065,-8.904,2062,-0.1881438458994928,-0.21997039910051502,-0.1429901057925846,0.36134758195978994,0.33626344929678925,0.38580352902341347
1,16,-8.812000000000001,-8.904,-8.72,2040,-0.2015118030948048,-0.24663389256136825,-0.15800421009365925,0.3403141361256545,0.31891406730399474,0.36440248776462053
1,17,-8.599,-8.72,-8.478,2050,-0.2206547554563513,-0.25900638358367767,-0.1672303333652145,0.34282584884994527,0.32010285311025116,0.3698868410376012
