bin_type,dt,bin_id,bin_lo,bin_hi,bin_center,n
ln_f0,1,1,-11.825999999999999,-10.743,-11.2845,1990
ln_f0,1,2,-10.743,-10.538,-10.6405,1784
ln_f0,1,3,-10.538,-10.365,-10.4515,1760
ln_f0,1,4,-10.365,-10.221,-10.293,1646
ln_f0,1,5,-10.221,-10.101,-10.161000000000001,1720
ln_f0,1,6,-10.101,-9.994,-10.0475,1805
ln_f0,1,7,-9.994,-9.889,-9.9415,1853
ln_f0,1,8,-9.889,-9.779,-9.834,1919
ln_f0,1,9,-9.779,-9.674,-9.7265,1960
ln_f0,1,10,-9.674,-9.569,-9.621500000000001,2035
ln_f0,1,11,-9.569,-9.458,-9.5135,2079
ln_f0,1,12,-9.458,-9.337,-9.3975,2117
ln_f0,1,13,-9.337,-9.207,-9.272,2061
ln_f0,1,14,-9.207,-9.065,-9.136,2084
ln_f0,1,15,-9.065,-8.904,-8.9845,2062
ln_f0,1,16,-8.904,-8.72,-8.812000000000001,2040
ln_f0,1,17,-8.72,-8.478,-8.599,2050
ln_f0,1,18,-8.478,-8.124,-8.301,2097
ln_f0,1,19,-8.124,-7.501,-7.8125,2060
ln_f0,1,20,-7.501,-3.028,-5.2645,2040
ln_f0,2,1,-11.825999999999999,-10.743,-11.2845,1043
ln_f0,2,2,-10.743,-10.538,-10.6405,1755
ln_f0,2,3,-10.538,-10.365,-10.4515,1802
ln_f0,2,4,-10.365,-10.221,-10.293,1830
ln_f0,2,5,-10.221,-10.101,-10.161000000000001,1727
ln_f0,2,6,-10.101,-9.994,-10.0475,1603
ln_f0,2,7,-9.994,-9.889,-9.9415,1568
ln_f0,2,8,-9.889,-9.779,-9.834,1572
ln_f0,2,9,-9.779,-9.674,-9.7265,1620
ln_f0,2,10,-9.674,-9.569,-9.621500000000001,1549
ln_f0,2,11,-9.569,-9.458,-9.5135,1479
ln_f0,2,12,-9.458,-9.337,-9.3975,1492
ln_f0,2,13,-9.337,-9.207,-9.272,1547
ln_f0,2,14,-9.207,-9.065,-9.136,1550
ln_f0,2,15,-9.065,-8.904,-8.9845,1569
ln_f0,2,16,-8.904,-8.72,-8.812000000000001,1495
ln_f0,2,17,-8.72,-8.478,-8.599,1428
ln_f0,2,18,-8.478,-8.124,-8.301,1463
ln_f0,2,19,-8.124,-7.501,-7.8125,1469
ln_f0,2,20,-7.501,-3.028,-5.2645,1474
ln_f0,3,1,-11.825999999999999,-10.743,-11.2845,1041
ln_f0,3,2,-10.743,-10.538,-10.6405,1117
ln_f0,3,3,-10.538,-10.365,-10.4515,1046
ln_f0,3,4,-10.365,-10.221,-10.293,1128
ln_f0,3,5,-10.221,-10.101,-10.161000000000001,1141
ln_f0,3,6,-10.101,-9.994,-10.0475,1140
ln_f0,3,7,-9.994,-9.889,-9.9415,1156
ln_f0,3,8,-9.889,-9.779,-9.834,1201
ln_f0,3,9,-9.779,-9.674,-9.7265,1182
ln_f0,3,10,-9.674,-9.569,-9.621500000000001,1242
ln_f0,3,11,-9.569,-9.458,-9.5135,1244
ln_f0,3,12,-9.458,-9.337,-9.3975,1232
ln_f0,3,13,-9.337,-9.207,-9.272,1220
ln_f0,3,14,-9.207,-9.065,-9.136,1147
ln_f0,3,15,-9.065,-8.904,-8.9845,1190
ln_f0,3,16,-8.904,-8.72,-8.812000000000001,1198
ln_f0,3,17,-8.72,-8.478,-8.599,1202
ln_f0,3,18,-8.478,-8.124,-8.301,1189
ln_f0,3,19,-8.124,-7.501,-7.8125,1180
ln_f0,3,20,-7.501,-3.028,-5.2645,1146
ln_f0,4,1,-11.825999999999999,-10.743,-11.2845,1113
ln_f0,4,2,-10.743,-10.538,-10.6405,847
ln_f0,4,3,-10.538,-10.365,-10.4515,928
ln_f0,4,4,-10.365,-10.221,-10.293,961
ln_f0,4,5,-10.221,-10.101,-10.161000000000001,1009
ln_f0,4,6,-10.101,-9.994,-10.0475,979
ln_f0,4,7,-9.994,-9.889,-9.9415,962
ln_f0,4,8,-9.889,-9.779,-9.834,894
ln_f0,4,9,-9.779,-9.674,-9.7265,848
ln_f0,4,10,-9.674,-9.569,-9.621500000000001,814
ln_f0,4,11,-9.569,-9.458,-9.5135,802
ln_f0,4,12,-9.458,-9.337,-9.3975,777
ln_f0,4,13,-9.337,-9.207,-9.272,780
ln_f0,4,14,-9.207,-9.065,-9.136,778
ln_f0,4,15,-9.065,-8.904,-8.9845,754
ln_f0,4,16,-8.904,-8.72,-8.812000000000001,781
ln_f0,4,17,-8.72,-8.478,-8.599,810
ln_f0,4,18,-8.478,-8.124,-8.301,784
ln_f0,4,19,-8.124,-7.501,-7.8125,807
ln_f0,4,20,-7.501,-3.028,-5.2645,812
ln_f0,5,1,-11.825999999999999,-10.743,-11.2845,740
ln_f0,5,2,-10.743,-10.538,-10.6405,377
ln_f0,5,3,-10.538,-10.365,-10.4515,367
ln_f0,5,4,-10.365,-10.221,-10.293,336
ln_f0,5,5,-10.221,-10.101,-10.161000000000001,319
ln_f0,5,6,-10.101,-9.994,-10.0475,372
ln_f0,5,7,-9.994,-9.889,-9.9415,357
ln_f0,5,8,-9.889,-9.779,-9.834,322
ln_f0,5,9,-9.779,-9.674,-9.7265,286
ln_f0,5,10,-9.674,-9.569,-9.621500000000001,270
ln_f0,5,11,-9.569,-9.458,-9.5135,287
ln_f0,5,12,-9.458,-9.337,-9.3975,286
ln_f0,5,13,-9.337,-9.207,-9.272,294
ln_f0,5,14,-9.207,-9.065,-9.136,343
ln_f0,5,15,-9.065,-8.904,-8.9845,329
ln_f0,5,16,-8.904,-8.72,-8.812000000000001,389
ln_f0,5,17,-8.72,-8.478,-8.599,410
ln_f0,5,18,-8.478,-8.124,-8.301,371
ln_f0,5,19,-8.124,-7.501,-7.8125,385
ln_f0,5,20,-7.501,-3.028,-5.2645,431
ln_fgeo,1,1,-11.363999999999999,-10.241,-10.802499999999998,5910
ln_fgeo,1,2,-10.241,-9.906,-10.0735,6204
ln_fgeo,1,3,-9.906,-9.578,-9.742,6566
ln_fgeo,1,4,-9.578,-9.194,-9.386,6876
ln_fgeo,1,5,-9.194,-8.6,-8.897,6788
ln_fgeo,1,6,-8.6,-3.02,-5.81,6818
ln_fgeo,2,1,-11.363999999999999,-10.241,-10.802499999999998,5455
