f_id,dt,f_center,f_lo,f_hi,n,msd,msd_lo,msd_hi
1,1,-10.802499999999998,-11.363999999999999,-10.241,5910,0.35309898296646325,0.3104128798973005,0.39976219223519366
1,2,-10.802499999999998,-11.363999999999999,-10.241,5455,0.19602065757018589,0.18767475477628034,0.20603677628872843
1,3,-10.802499999999998,-11.363999999999999,-10.241,3774,0.2601496450903121,0.23377815787939027,0.2906652937769735
1,4,-10.802499999999998,-11.363999999999999,-10.241,3298,0.3392884366759841,0.3181584658967122,0.3598670382094046
1,5,-10.802499999999998,-11.363999999999999,-10.241,1238,0.39487886327156696,0.36732428950084045,0.42101834126522386
2,1,-10.0735,-10.241,-9.906,6204,0.3893805426959283,0.3621271722864125,0.4159660696073742
2,2,-10.0735,-10.241,-9.906,5441,0.29662490046038087,0.28029105942824484,0.3103273044377859
2,3,-10.0735,-10.241,-9.906,3688,0.2971784640624069,0.27914008594591805,0.310883889513221
2,4,-10.0735,-10.241,-9.906,3084,0.34681820940821956,0.3246941527379074,0.3695715398886206
2,5,-10.0735,-10.241,-9.906,1258,0.37311355383441713,0.3431465674954346,0.405893680964002
3,1,-9.742,-9.906,-9.578,6566,0.3536104114914958,0.33270242972812386,0.37507576772075946
3,2,-9.742,-9.906,-9.578,4981,0.31976738104045555,0.2982472708388764,0.3535932013152375
3,3,-9.742,-9.906,-9.578,4111,0.31164287369845234,0.29454022015013304,0.33497038976261007
3,4,-9.742,-9.906,-9.578,2776,0.3233154431283563,0.30215945981995773,0.3431364313004678
3,5,-9.742,-9.906,-9.578,1241,0.4766397719092557,0.42854645499769467,0.5319543972995817
4,1,-9.386,-9.578,-9.194,6876,0.3941780479628512,0.35587783947478,0.42912830369702337
4,2,-9.386,-9.578,-9.194,5034,0.397566890660213,0.35863519447018405,0.45217887663793294
4,3,-9.386,-9.578,-9.194,3997,0.3522484461486536,0.32474402089377324,0.3932160372287745
4,4,-9.386,-9.578,-9.194,2625,0.32410242649856946,0.3016410728790825,0.3448138380488031
4,5,-9.386,-9.578,-9.194,1143,0.423102920184608,0.38589533361733236,0.46211175800500554
5,1,-8.897,-9.194,-8.6,6788,0.4621420906394632,0.38916673128526047,0.5556636729519773
5,2,-8.897,-9.194,-8.6,5219,0.38165358248476633,0.33985537939798016,0.438007737283738
5,3,-8.897,-9.194,-8.6,3919,0.3096811759493169,0.29114681623663846,0.33174728282800364
5,4,-8.897,-9.194,-8.6,2666,0.3014254945304695,0.27664927889252766,0.3275685195919461
5,5,-8.897,-9.194,-8.6,1083,0.3252637888707553,0.29192865409268254,0.36022934327033324
6,1,-5.81,-8.6,-3.02,6818,0.6621228819301462,0.5442553881633495,0.7995587766922129
6,2,-5.81,-8.6,-3.02,4905,0.4526951110432674,0.37021336696657037,0.5550420909824141
6,3,-5.81,-8.6,-3.02,3853,0.4408807923311057,0.3568062973038034,0.5447133226891916
6,4,-5.81,-8.6,-3.02,2791,0.33460691816530264,0.2959537958274209,0.3729325431842028
6,5,-5.81,-8.6,-3.02,1308,0.34098528055687094,0.2818685535454008,0.42443772526231627
