dt,x_id,x_center,x_lo,x_hi,n,msd,msd_lo,msd_hi
1,1,-11.2845,-11.825999999999999,-10.743,1990,0.5998140226473334,0.5156257994714735,0.7147989629286093
1,2,-10.6405,-10.743,-10.538,1784,0.322620854352132,0.2859499447096872,0.37032785892804876
1,3,-10.4515,-10.538,-10.365,1760,0.31376611192502646,0.2825566893018727,0.3475789480745785
1,4,-10.293,-10.365,-10.221,1646,0.2699773033537836,0.23570648578042977,0.3168407328423487
1,5,-10.161000000000001,-10.221,-10.101,1720,0.22105622681357426,0.20510148757643243,0.2373991381549361
1,6,-10.0475,-10.101,-9.994,1805,0.2489206455830889,0.20961580141101865,0.29765649218145657
1,7,-9.9415,-9.994,-9.889,1853,0.2588372751269962,0.23374948671697754,0.29016973929574275
1,8,-9.834,-9.889,-9.779,1919,0.32123799575517026,0.2752901703496124,0.3729202359601321
1,9,-9.7265,-9.779,-9.674,1960,0.296152595623775,0.2743927920522049,0.3238792156520684
1,10,-9.621500000000001,-9.674,-9.569,2035,0.3087426130275588,0.2804156619526722,0.34167667799062923
1,11,-9.5135,-9.569,-9.458,2079,0.30093645216670495,0.2794018848404442,0.3206644578689259
1,12,-9.3975,-9.458,-9.337,2117,0.4150828271370482,0.3360621867960064,0.49914777358509904
1,13,-9.272,-9.337,-9.207,2061,0.40549260311833607,0.3296128581783106,0.500345666594365
1,14,-9.136,-9.207,-9.065,2084,0.3989099261053359,0.35273968224597585,0.4405921157192523
1,15,-8.9845,-9.065,-8.904,2062,0.3909617599206904,0.34523891653039845,0.4431397243959444
1,16,-8.812000000000001,-8.904,-8.72,2040,0.38450808246461654,0.333664053550215,0.43100453534789995
1,17,-8.599,-8.72,-8.478,2050,0.42521637253381295,0.35536349287047786,0.5087385433960397
1,18,-8.301,-8.478,-8.124,2097,0.45502346483133754,0.37207578329217117,0.5493655131383147
1,19,-7.8125,-8.124,-7.501,2060,0.48602866995214167,0.39341895686454076,0.5879887904367778
1,20,-5.2645,-7.501,-3.028,2040,1.6530018921461813,1.2921159004249705,2.0236133358236867
2,1,-11.2845,-11.825999999999999,-10.743,1043,0.4008276667649467,0.3641094106252319,0.44335508191010004
2,2,-10.6405,-10.743,-10.538,1755,0.25360015804843705,0.2309032141874589,0.2752995223960262
2,3,-10.4515,-10.538,-10.365,1802,0.2323096260387888,0.21133603026587153,0.2552156376339957
2,4,-10.293,-10.365,-10.221,1830,0.20969747959993165,0.1948408152686811,0.22502207590926576
2,5,-10.161000000000001,-10.221,-10.101,1727,0.20262280193925222,0.18805780523391766,0.2204343754813052
2,6,-10.0475,-10.101,-9.994,1603,0.22365642576008704,0.20296265368877892,0.24996052949582112
2,7,-9.9415,-9.994,-9.889,1568,0.21799776610788577,0.203613188138019,0.23304121191198315
2,8,-9.834,-9.889,-9.779,1572,0.26871603884072653,0.2502639891176421,0.2899636726959906
2,9,-9.7265,-9.779,-9.674,1620,0.2828658195366304,0.2644207437406477,0.3022359163936713
2,10,-9.621500000000001,-9.674,-9.569,1549,0.2959655442724353,0.2730278108384773,0.32291414454362083
2,11,-9.5135,-9.569,-9.458,1479,0.3063478008171889,0.2764421217881745,0.34029475034677065
2,12,-9.3975,-9.458,-9.337,1492,0.3165950504644048,0.2826531880051839,0.3503896926251399
2,13,-9.272,-9.337,-9.207,1547,0.30719970056308543,0.2813641155826604,0.33620296124876026
2,14,-9.136,-9.207,-9.065,1550,0.30907972445442927,0.28575215051629066,0.3373782081245487
2,15,-8.9845,-9.065,-8.904,1569,0.3130158269505779,0.2900744572972425,0.3388519137627199
2,16,-8.812000000000001,-8.904,-8.72,1495,0.35553379856845213,0.2916819146396561,0.46145208147421246
2,17,-8.599,-8.72,-8.478,1428,0.37428217769168515,0.33174354475100587,0.4146257999001988
2,18,-8.301,-8.478,-8.124,1463,0.4793141307492662,0.3966051880041931,0.6120772860622528
2,19,-7.8125,-8.124,-7.501,1469,0.5415468329403883,0.4101707307736078,0.7086149658970611
2,20,-5.2645,-7.501,-3.028,1474,0.9636457567986227,0.6934251254820193,1.3127254584607302
3,1,-11.2845,-11.825999999999999,-10.743,1041,0.4569542372568384,0.3518828926509519,0.5854294325193341
3,2,-10.6405,-10.743,-10.538,1117,0.3218310030121916,0.28943710835181313,0.3593640501292375
3,3,-10.4515,-10.538,-10.365,1046,0.27047054874100046,0.24506059302782182,0.29804482629602336
3,4,-10.293,-10.365,-10.221,1128,0.2218943566250649,0.20163616226555572,0.2445032787408999
3,5,-10.161000000000001,-10.221,-10.101,1141,0.2101467053236683,0.19311812570445466,0.22927708866056373
3,6,-10.0475,-10.101,-9.994,1140,0.2513039334056716,0.2010965021640011,0.33080872899866004
3,7,-9.9415,-9.994,-9.889,1156,0.22236067832210826,0.2031659451442731,0.24020351799225664
3,8,-9.834,-9.889,-9.779,1201,0.22651396458007947,0.2064336906803832,0.2482067634612894
3,9,-9.7265,-9.779,-9.674,1182,0.2235285237339633,0.20606485927024143,0.24205068055463602
3,10,-9.621500000000001,-9.674,-9.569,1242,0.2782723414433679,0.2558538658562036,0.30653491481853284
3,11,-9.5135,-9.569,-9.458,1244,0.29113403559468926,0.26488830258901214,0.32156864646942107
3,12,-9.3975,-9.458,-9.337,1232,0.3103797417015179,0.28407031373507124,0.34046814358598265
3,13,-9.272,-9.337,-9.207,1220,0.3556815009083343,0.31792536356567835,0.3910080963683717
3,14,-9.136,-9.207,-9.065,1147,0.39640055872247637,0.35449752769312237,0.4372649274235331
3,15,-8.9845,-9.065,-8.904,1190,0.3528407779049713,0.31798473172810987,0.39291681332227396
3,16,-8.812000000000001,-8.904,-8.72,1198,0.33065613661310406,0.29955927576033337,0.3649162024579446
3,17,-8.599,-8.72,-8.478,1202,0.38898166998715256,0.3370956933811556,0.46739685011964155
3,18,-8.301,-8.478,-8.124,1189,0.41661313342308753,0.35747219887928233,0.4971046422803036
3,19,-7.8125,-8.124,-7.501,1180,0.38772955277644455,0.3250021296869588,0.45672444565938697
3,20,-5.2645,-7.501,-3.028,1146,0.7255108202496303,0.4907878628974318,1.036619847057215
4,1,-11.2845,-11.825999999999999,-10.743,1113,0.42313533827649147,0.3771120762616505,0.46978021727466995
4,2,-10.6405,-10.743,-10.538,847,0.3864573943435492,0.35567656698230954,0.41715808975860097
4,3,-10.4515,-10.538,-10.365,928,0.29618861587371115,0.2595871422707241,0.33533195120100473
4,4,-10.293,-10.365,-10.221,961,0.2872043782104804,0.2592486681620358,0.3128857103935735
4,5,-10.161000000000001,-10.221,-10.101,1009,0.2425948094535973,0.2223269146012585,0.25927168436316955
4,6,-10.0475,-10.101,-9.994,979,0.2746968852348532,0.2488994403023038,0.30177819417533946
4,7,-9.9415,-9.994,-9.889,962,0.3180008413786976,0.2853083307119136,0.3586275211218304
4,8,-9.834,-9.889,-9.779,894,0.32245753444870456,0.27863429924606625,0.3674426571522008
4,9,-9.7265,-9.779,-9.674,848,0.3302861749997956,0.29885910002387306,0.36752775490511397
4,10,-9.621500000000001,-9.674,-9.569,814,0.31777620049458577,0.27505432954820785,0.350169569979633
4,11,-9.5135,-9.569,-9.458,802,0.32638880477327414,0.28505735443703734,0.37963991781713113
4,12,-9.3975,-9.458,-9.337,777,0.33379576337513334,0.29708687376615567,0.3746971756051286
4,13,-9.272,-9.337,-9.207,780,0.3714597629172935,0.33282410598584855,0.4206306362465411
4,14,-9.136,-9.207,-9.065,778,0.3336967706640408,0.29374179082995433,0.37965105985626485
4,15,-8.9845,-9.065,-8.904,754,0.35631608679800236,0.30712084278225416,0.4087381388643507
4,16,-8.812000000000001,-8.904,-8.72,781,0.3252032807942176,0.27640957124914806,0.38166582398925225
4,17,-8.599,-8.72,-8.478,810,0.30145457460583364,0.26776536096337616,0.3452589304869148
4,18,-8.301,-8.478,-8.124,784,0.3544412769132644,0.29877420357115764,0.4191560147197566
4,19,-7.8125,-8.124,-7.501,807,0.25210299716809537,0.21550775471144862,0.2957281089792943
4,20,-5.2645,-7.501,-3.028,812,0.4536209989039975,0.3418593754423384,0.5992593978431326
5,1,-11.2845,-11.825999999999999,-10.743,740,0.7722380702065703,0.7060889265547955,0.8545744122339164
5,2,-10.6405,-10.743,-10.538,377,0.5829176001341052,0.5146662117946964,0.6468400865298384
5,3,-10.4515,-10.538,-10.365,367,0.4354512044116061,0.3610227111014653,0.5430411875741784
5,4,-10.293,-10.365,-10.221,336,0.3039042469366787,0.26479731146449054,0.34369520714897756
5,5,-10.161000000000001,-10.221,-10.101,319,0.26482180608912137,0.23142891262259419,0.3105909601094433
5,6,-10.0475,-10.101,-9.994,372,0.22217701715087276,0.18051090009570034,0.2662365327454953
5,7,-9.9415,-9.994,-9.889,357,0.190097597397069,0.16287770340728394,0.2234115608141842
5,8,-9.834,-9.889,-9.779,322,0.23130496146062818,0.19086149227400237,0.2863339472838957
5,9,-9.7265,-9.779,-9.674,286,0.18581611223410424,0.15817754375145862,0.21343488104960817
5,10,-9.621500000000001,-9.674,-9.569,270,0.20134955655125306,0.17334880983300843,0.23793974744731336
5,11,-9.5135,-9.569,-9.458,287,0.18580353532199728,0.16125457535279888,0.2153147684023886
5,12,-9.3975,-9.458,-9.337,286,0.19126986715852715,0.16150167752735087,0.22141328183603987
5,13,-9.272,-9.337,-9.207,294,0.36100190213813504,0.30844699894790967,0.42041856682258333
5,14,-9.136,-9.207,-9.065,343,0.4923827898849946,0.419778469210242,0.544984683655519
5,15,-8.9845,-9.065,-8.904,329,0.39157758319517216,0.3305586235971301,0.4646901030018917
5,16,-8.812000000000001,-8.904,-8.72,389,0.4323155681620249,0.36226040840060597,0.5138059410967729
5,17,-8.599,-8.72,-8.478,410,0.36218288105591046,0.3142763896936479,0.41285677810476157
5,18,-8.301,-8.478,-8.124,371,0.38472018851352574,0.30553750007179753,0.4792701544804474
5,19,-7.8125,-8.124,-7.501,385,0.29639500520373346,0.23217415083983314,0.37209346577274105
5,20,-5.2645,-7.501,-3.028,431,0.57240599064347,0.37489536869190204,0.8727195130829637
