f_id,dt,f_center,f_lo,f_hi,n,msd,msd_lo,msd_hi
1,1,-10.802499999999998,-11.363999999999999,-10.241,5910,0.3530989829664632,0.3104128798973005,0.3997621922351937
1,2,-10.802499999999998,-11.363999999999999,-10.241,5455,0.19602065757018594,0.18767475477628034,0.20603677628872843
1,3,-10.802499999999998,-11.363999999999999,-10.241,3774,0.2601496450903122,0.23377815787939032,0.2906652937769736
1,4,-10.802499999999998,-11.363999999999999,-10.241,3298,0.339288436675984,0.31815846589671226,0.35986703820940463
1,5,-10.802499999999998,-11.363999999999999,-10.241,1238,0.394878863271567,0.36732428950084045,0.42101834126522386
2,1,-10.0735,-10.241,-9.906,6204,0.3893805426959284,0.36212717228641256,0.4159660696073742
2,2,-10.0735,-10.241,-9.906,5441,0.29662490046038087,0.28029105942824484,0.31032730443778594
2,3,-10.0735,-10.241,-9.906,3688,0.29717846406240683,0.2791400859459181,0.31088388951322116
2,4,-10.0735,-10.241,-9.906,3084,0.3468182094082195,0.3246941527379074,0.3695715398886207
2,5,-10.0735,-10.241,-9.906,1258,0.37311355383441713,0.3431465674954346,0.4058936809640021
3,1,-9.742,-9.906,-9.578,6566,0.35361041149149575,0.33270242972812386,0.37507576772075946
3,2,-9.742,-9.906,-9.578,4981,0.3197673810404555,0.2982472708388764,0.3535932013152375
3,3,-9.742,-9.906,-9.578,4111,0.3116428736984524,0.2945402201501332,0.3349703897626102
3,4,-9.742,-9.906,-9.578,2776,0.32331544312835625,0.30215945981995773,0.3431364313004678
3,5,-9.742,-9.906,-9.578,1241,0.4766397719092556,0.42854645499769456,0.5319543972995816
4,1,-9.386,-9.578,-9.194,6876,0.39417804796285133,0.35587783947478,0.42912830369702337
4,2,-9.386,-9.578,-9.194,5034,0.39756689066021295,0.35863519447018405,0.4521788766379329
4,3,-9.386,-9.578,-9.194,3997,0.35224844614865364,0.32474402089377336,0.3932160372287747
4,4,-9.386,-9.578,-9.194,2625,0.32410242649856946,0.30164107287908243,0.34481383804880306
4,5,-9.386,-9.578,-9.194,1143,0.423102920184608,0.38589533361733225,0.46211175800500554
5,1,-8.897,-9.194,-8.6,6788,0.4621420906394633,0.3891667312852606,0.5556636729519773
5,2,-8.897,-9.194,-8.6,5219,0.3816535824847664,0.3398553793979801,0.438007737283738
5,3,-8.897,-9.194,-8.6,3919,0.30968117594931693,0.2911468162366385,0.3317472828280037
5,4,-8.897,-9.194,-8.6,2666,0.30142549453046946,0.2766492788925276,0.3275685195919461
5,5,-8.897,-9.194,-8.6,1083,0.3252637888707553,0.2919286540926826,0.3602293432703332
6,1,-5.81,-8.6,-3.02,6818,0.6621228819301465,0.5442553881633495,0.799558776692213
6,2,-5.81,-8.6,-3.02,4905,0.4526951110432674,0.37021336696657037,0.5550420909824142
6,3,-5.81,-8.6,-3.02,3853,0.44088079233110583,0.35680629730380353,0.5447133226891917
6,4,-5.81,-8.6,-3.02,2791,0.3346069181653026,0.2959537958274209,0.3729325431842029
6,5,-5.81,-8.6,-3.02,1308,0.340985280556871,0.28186855354540075,0.42443772526231627
