dt,x_id,x_center,x_lo,x_hi,n,msd,msd_lo,msd_hi
1,1,-11.2845,-11.825999999999999,-10.743,1990,0.5998140226473336,0.5156257994714736,0.7147989629286094
1,2,-10.6405,-10.743,-10.538,1784,0.32262085435213206,0.28594994470968726,0.37032785892804876
1,3,-10.4515,-10.538,-10.365,1760,0.31376611192502646,0.2825566893018727,0.34757894807457856
1,4,-10.293,-10.365,-10.221,1646,0.2699773033537836,0.23570648578042974,0.3168407328423487
1,5,-10.161000000000001,-10.221,-10.101,1720,0.22105622681357423,0.20510148757643248,0.23739913815493607
1,6,-10.0475,-10.101,-9.994,1805,0.24892064558308888,0.20961580141101868,0.2976564921814566
1,7,-9.9415,-9.994,-9.889,1853,0.2588372751269962,0.23374948671697754,0.2901697392957427
1,8,-9.834,-9.889,-9.779,1919,0.32123799575517037,0.2752901703496124,0.3729202359601321
1,9,-9.7265,-9.779,-9.674,1960,0.2961525956237749,0.2743927920522049,0.32387921565206834
1,10,-9.621500000000001,-9.674,-9.569,2035,0.3087426130275588,0.2804156619526722,0.34167667799062934
1,11,-9.5135,-9.569,-9.458,2079,0.30093645216670495,0.27940188484044426,0.3206644578689259
1,12,-9.3975,-9.458,-9.337,2117,0.4150828271370483,0.3360621867960064,0.4991477735850991
1,13,-9.272,-9.337,-9.207,2061,0.4054926031183361,0.32961285817831054,0.5003456665943651
1,14,-9.136,-9.207,-9.065,2084,0.398909926105336,0.35273968224597585,0.4405921157192523
1,15,-8.9845,-9.065,-8.904,2062,0.39096175992069043,0.3452389165303985,0.44313972439594446
1,16,-8.812000000000001,-8.904,-8.72,2040,0.3845080824646165,0.333664053550215,0.4310045353479
1,17,-8.599,-8.72,-8.478,2050,0.42521637253381306,0.35536349287047786,0.5087385433960399
1,18,-8.301,-8.478,-8.124,2097,0.45502346483133765,0.3720757832921712,0.5493655131383147
1,19,-7.8125,-8.124,-7.501,2060,0.48602866995214167,0.3934189568645408,0.5879887904367778
1,20,-5.2645,-7.501,-3.028,2040,1.653001892146182,1.2921159004249707,2.023613335823687
2,1,-11.2845,-11.825999999999999,-10.743,1043,0.4008276667649467,0.36410941062523194,0.44335508191010015
2,2,-10.6405,-10.743,-10.538,1755,0.2536001580484371,0.23090321418745896,0.2752995223960263
2,3,-10.4515,-10.538,-10.365,1802,0.23230962603878882,0.21133603026587156,0.25521563763399574
2,4,-10.293,-10.365,-10.221,1830,0.20969747959993162,0.19484081526868113,0.2250220759092659
2,5,-10.161000000000001,-10.221,-10.101,1727,0.2026228019392522,0.18805780523391766,0.22043437548130526
2,6,-10.0475,-10.101,-9.994,1603,0.22365642576008712,0.202962653688779,0.24996052949582115
2,7,-9.9415,-9.994,-9.889,1568,0.2179977661078858,0.20361318813801907,0.23304121191198324
2,8,-9.834,-9.889,-9.779,1572,0.26871603884072653,0.25026398911764214,0.2899636726959906
2,9,-9.7265,-9.779,-9.674,1620,0.2828658195366304,0.2644207437406478,0.3022359163936714
2,10,-9.621500000000001,-9.674,-9.569,1549,0.2959655442724353,0.2730278108384774,0.3229141445436209
2,11,-9.5135,-9.569,-9.458,1479,0.30634780081718893,0.27644212178817457,0.34029475034677076
2,12,-9.3975,-9.458,-9.337,1492,0.3165950504644049,0.28265318800518396,0.35038969262513997
2,13,-9.272,-9.337,-9.207,1547,0.3071997005630855,0.28136411558266045,0.33620296124876037
2,14,-9.136,-9.207,-9.065,1550,0.3090797244544294,0.28575215051629066,0.3373782081245488
2,15,-8.9845,-9.065,-8.904,1569,0.3130158269505779,0.29007445729724257,0.33885191376272
2,16,-8.812000000000001,-8.904,-8.72,1495,0.35553379856845224,0.2916819146396561,0.4614520814742126
2,17,-8.599,-8.72,-8.478,1428,0.37428217769168515,0.3317435447510059,0.41462579990019893
2,18,-8.301,-8.478,-8.124,1463,0.47931413074926627,0.3966051880041931,0.612077286062253
2,19,-7.8125,-8.124,-7.501,1469,0.5415468329403883,0.41017073077360783,0.7086149658970612
2,20,-5.2645,-7.501,-3.028,1474,0.9636457567986229,0.6934251254820195,1.3127254584607306
