bin,x0_lo,x0_hi,x0_mid,y_med,n,series,dt,obs_class,weight_col
0,-13.745778305127477,-12.851467988763098,-13.08684085701425,1.0595514524251826,32118,dx,1,ALL,unweighted
1,-12.851467988763098,-12.616466174220095,-12.717512813561536,0.694959281771828,31924,dx,1,ALL,unweighted
2,-12.616466174220095,-12.403731537090604,-12.501481883886775,0.6596420945159505,31311,dx,1,ALL,unweighted
3,-12.403731537090604,-12.27907382426767,-12.336658280325969,0.4164976148399848,33554,dx,1,ALL,unweighted
4,-12.27907382426767,-12.12977682455901,-12.18882144650468,0.391504910529072,32232,dx,1,ALL,unweighted
5,-12.12977682455901,-12.017282210422035,-12.056671612243909,0.1955214357800709,31714,dx,1,ALL,unweighted
6,-12.017282210422035,-11.894612166086493,-11.955149926079956,0.1790553340994805,32767,dx,1,ALL,unweighted
7,-11.894612166086493,-11.757940336233895,-11.822248159564992,0.0913191339267047,32240,dx,1,ALL,unweighted
8,-11.757940336233895,-11.642284912965152,-11.688207126531818,-0.0772926248499192,32196,dx,1,ALL,unweighted
9,-11.642284912965152,-11.516584476799252,-11.594290069440897,-0.1248819737433475,32264,dx,1,ALL,unweighted
10,-11.516584476799252,-11.387217733138815,-11.45044903322954,-0.1860609154486354,32292,dx,1,ALL,unweighted
11,-11.387217733138815,-11.258813555880218,-11.325094720585987,-0.31230204473950707,32066,dx,1,ALL,unweighted
12,-11.258813555880218,-11.110992424862156,-11.189085590266348,-0.3717509924480033,32377,dx,1,ALL,unweighted
13,-11.110992424862156,-10.954524827623962,-11.028636069510126,-0.3554514210167179,32132,dx,1,ALL,unweighted
14,-10.954524827623962,-10.785304516739837,-10.86927554014958,-0.3844171345521499,32375,dx,1,ALL,unweighted
15,-10.785304516739837,-10.595842752855896,-10.696443788613934,-0.400729647269836,31639,dx,1,ALL,unweighted
16,-10.595842752855896,-10.363073172549734,-10.486884595272876,-0.42639804817111226,32830,dx,1,ALL,unweighted
17,-10.363073172549734,-10.059158857616866,-10.220654612394164,-0.44202718523856,32243,dx,1,ALL,unweighted
18,-10.059158857616866,-9.568196153530325,-9.853898068977037,-0.43550040230133025,32226,dx,1,ALL,unweighted
19,-9.568196153530325,-3.039465617682323,-9.09410743865783,-0.32007651852755536,32254,dx,1,ALL,unweighted
0,-13.745778305127477,-12.851467988763098,-13.08684085701425,0.3692383160910788,32118,resid_OU_linear,1,ALL,unweighted
1,-12.851467988763098,-12.616466174220095,-12.717512813561536,0.17475758443750244,31924,resid_OU_linear,1,ALL,unweighted
2,-12.616466174220095,-12.403731537090604,-12.501481883886775,0.22771175935332977,31311,resid_OU_linear,1,ALL,unweighted
3,-12.403731537090604,-12.27907382426767,-12.336658280325969,0.04129371857239045,33554,resid_OU_linear,1,ALL,unweighted
4,-12.27907382426767,-12.12977682455901,-12.18882144650468,0.08200886390938411,32232,resid_OU_linear,1,ALL,unweighted
5,-12.12977682455901,-12.017282210422035,-12.056671612243909,-0.06394770437279096,31714,resid_OU_linear,1,ALL,unweighted
6,-12.017282210422035,-11.894612166086493,-11.955149926079956,-0.034423384512368954,32767,resid_OU_linear,1,ALL,unweighted
7,-11.894612166086493,-11.757940336233895,-11.822248159564992,-0.073616828702714,32240,resid_OU_linear,1,ALL,unweighted
8,-11.757940336233895,-11.642284912965152,-11.688207126531818,-0.18917435700384638,32196,resid_OU_linear,1,ALL,unweighted
9,-11.642284912965152,-11.516584476799252,-11.594290069440897,-0.18495535297786242,32264,resid_OU_linear,1,ALL,unweighted
10,-11.516584476799252,-11.387217733138815,-11.45044903322954,-0.2026325729363147,32292,resid_OU_linear,1,ALL,unweighted
11,-11.387217733138815,-11.258813555880218,-11.325094720585987,-0.2779181018000694,32066,resid_OU_linear,1,ALL,unweighted
12,-11.258813555880218,-11.110992424862156,-11.189085590266348,-0.2817462349792334,32377,resid_OU_linear,1,ALL,unweighted
13,-11.110992424862156,-10.954524827623962,-11.028636069510126,-0.20194789171533895,32132,resid_OU_linear,1,ALL,unweighted
14,-10.954524827623962,-10.785304516739837,-10.86927554014958,-0.16535202333840265,32375,resid_OU_linear,1,ALL,unweighted
15,-10.785304516739837,-10.595842752855896,-10.696443788613934,-0.11949606572718707,31639,resid_OU_linear,1,ALL,unweighted
16,-10.595842752855896,-10.363073172549734,-10.486884595272876,-0.047591986416129384,32830,resid_OU_linear,1,ALL,unweighted
17,-10.363073172549734,-10.059158857616866,-10.220654612394164,0.03434881779283305,32243,resid_OU_linear,1,ALL,unweighted
18,-10.059158857616866,-9.568196153530325,-9.853898068977037,0.19448406132463217,32226,resid_OU_linear,1,ALL,unweighted
19,-9.568196153530325,-3.039465617682323,-9.09410743865783,0.6718052436963595,32254,resid_OU_linear,1,ALL,unweighted
0,-13.745778305127477,-12.851467988763098,-13.08684085701425,0.4650547830926135,32118,resid_tanh_saturating,1,ALL,unweighted
1,-12.851467988763098,-12.616466174220095,-12.717512813561536,0.132537364575391,31924,resid_tanh_saturating,1,ALL,unweighted
2,-12.616466174220095,-12.403731537090604,-12.501481883886775,0.15593188310040473,31311,resid_tanh_saturating,1,ALL,unweighted
3,-12.403731537090604,-12.27907382426767,-12.336658280325969,-0.03852852380227162,33554,resid_tanh_saturating,1,ALL,unweighted
4,-12.27907382426767,-12.12977682455901,-12.18882144650468,0.011406538138437283,32232,resid_tanh_saturating,1,ALL,unweighted
5,-12.12977682455901,-12.017282210422035,-12.056671612243909,-0.11381083040484057,31714,resid_tanh_saturating,1,ALL,unweighted
