rep,n,ou_a,ou_b,ou_x_star,ou_tau,ou_sse,ou_aic,ou_bic,tanh_A,tanh_Delta,tanh_x_star,tanh_tau_local,tanh_sse,tanh_aic,tanh_bic,rat_A,rat_Delta,rat_x_star,rat_tau_local,rat_sse,rat_aic,rat_bic,hinge_a,hinge_b,hinge_A,hinge_x_c,hinge_Delta,hinge_tau_from_b,hinge_sse,hinge_aic,hinge_bic,delta_aic_tanh,delta_bic_tanh,delta_aic_rat,delta_bic_rat,delta_aic_hinge,delta_bic_hinge
0,644325,-4.545780896525124,-0.39807652013920464,-11.419364535580987,2.5120798374400652,410269.2460185811,-290837.6139549116,-290814.86203783925,0.628952965330924,0.7506981611321343,-11.674104260812118,1.1935680448491945,389398.192700751,-324476.5890075958,-324442.4611319873,0.6719240302529988,0.7553403402022794,-11.673913144773005,1.1241454482850863,389877.64539918955,-323683.7416388017,-323649.6137631932,-8.507792201572022,-0.7352854450611449,0.36496641373969907,-11.129654861456357,0.57338396678894,1.3600160410041056,374908.60541268723,-348905.5053261279,-348848.6255334471,-33638.975052684196,-33627.59909414803,-32846.12768389011,-32834.75172535394,-58067.891371216334,-58033.763495607825
1,644954,-4.537794698932055,-0.39738697593572936,-11.419082591337787,2.5164387877717793,410143.2724444526,-291948.9091102294,-291926.1552416786,0.626963841926485,0.7482546448276008,-11.67267596403816,1.193457412995976,389243.31597324775,-325679.23170820484,-325645.10090537864,0.669842256180019,0.7530421057215756,-11.672286220214305,1.1242081232916377,389719.5970695178,-324890.54348877945,-324856.41268595326,-8.522388728910336,-0.7361045495761895,0.3584630237742839,-11.102664452567627,0.5764898044523663,1.358502675436183,374891.15352008713,-349905.4520726608,-349848.56740128377,-33730.322597975435,-33718.945663700055,-32941.63437855005,-32930.25744427467,-57956.542962431384,-57922.412159605185
2,644396,-4.580740998548694,-0.4009473107828444,-11.424795416646782,2.4940932963174465,407073.04542423785,-295980.48741785187,-295957.73528040596,0.6329559443702845,0.7634649230320544,-11.672762520428739,1.2061896721605336,387138.919338089,-328332.99763535743,-328298.8694291886,0.677498717272311,0.7715791988109238,-11.672641359865956,1.138864442308307,387599.17453173175,-327567.354012046,-327533.2258058772,-8.320601973114798,-0.7205796384052395,0.3846501315170336,-11.185257969261654,0.5545577161220837,1.3877716586790647,373004.36308328237,-352296.3250959195,-352239.44475230476,-32352.510217505565,-32341.134148782643,-31586.866594194144,-31575.49052547122,-56315.83767806762,-56281.709471898794
3,645301,-4.556344320339471,-0.3989352767657212,-11.42126200841153,2.506672280544546,409688.08754592173,-293169.6449551562,-293146.890010849,0.6277393211849438,0.741089461048599,-11.676522063930044,1.1805688062517596,388509.327569681,-327419.53116368246,-327385.3987472217,0.6703380503647507,0.7449852404856973,-11.676173227462964,1.1113575308463077,388981.86387538566,-326635.14108567755,-326601.00866921677,-8.440200888577108,-0.7298455124782961,0.3789682947370588,-11.164647979131935,0.5420131029493891,1.3701529747087917,374093.5074582097,-351815.260620734,-351758.3732599661,-34249.886208526266,-34238.50873637269,-33465.49613052135,-33454.11865836778,-58645.61566557782,-58611.4832491171
4,645234,-4.546425241461103,-0.3981150137375316,-11.41987889072292,2.5118369453388105,411253.7954871238,-290611.01347015117,-290588.2587335098,0.6318345463721029,0.7511577775097389,-11.673835216140178,1.1888520211861977,389634.0971661873,-325453.2269720713,-325419.0948671092,0.6748677726700126,0.7554817236183469,-11.673416143960559,1.1194514751080753,390120.8418097752,-324647.6809769,-324613.5488719379,-8.69532889299348,-0.7505241222650941,0.3475496389432599,-11.082858741989266,0.6013985870536462,1.3324022111134597,374795.2088305102,-350502.57876001764,-350445.6919184142,-34842.21350192011,-34830.8361335994,-34036.66750674881,-34025.2901384281,-59891.56528986647,-59857.433184904396
5,645113,-4.562170236616505,-0.39945786301170727,-11.420904828910071,2.5033929547925613,409931.81678797124,-292512.587299542,-292489.8329379935,0.6331762771545304,0.7575504109835794,-11.673610790647297,1.1964289224289666,388960.5310347939,-326387.3866032219,-326353.2550608992,0.6768274829681605,0.7633629132028897,-11.673764146020075,1.1278544864272304,389455.6655894563,-325566.7002340903,-325532.56869176764,-8.588381060791901,-0.7423720278505479,0.3621313397276872,-11.126274456198393,0.5930924287634373,1.347033512153447,374325.08228443173,-351125.5680546895,-351068.68215081835,-33874.7993036799,-33863.42212290567,-33054.11293454835,-33042.73575377412,-58612.980755147524,-58578.84921282483
6,644778,-4.53280428195377,-0.39704204595880876,-11.416433922023531,2.5186249420640587,410470.6393495482,-291178.8211196421,-291156.06779694115,0.6305265964303465,0.7582787980830166,-11.670867893674197,1.2026119157794841,389710.24974779,-324641.3722571741,-324607.24227312265,0.6742985363922478,0.7650110583091868,-11.670554107637347,1.134528724327781,390202.41178407625,-323827.60089223046,-323793.470908179,-8.628809393976205,-0.7452686583056354,0.3482033285716153,-11.09319894836762,0.6058224840730259,1.3417980064712436,374935.3101787476,-349558.0475898898,-349501.16428313736,-33462.55113753199,-33451.174476181506,-32648.779772588343,-32637.403111237858,-58379.22647024767,-58345.09648619621
7,644619,-4.524505718886394,-0.39636658576189554,-11.41495242387648,2.522917006431813,409381.26290910563,-292661.10927020846,-292638.3564407613,0.6253843059146492,0.743777981899575,-11.674133349946795,1.189313474714992,388317.1671167125,-326710.75872865366,-326676.6294844829,0.6676073495784511,0.747059726589437,-11.673859836057327,1.1190106386053937,388799.454936653,-325910.6421868274,-325876.51294265664,-8.545870557176483,-0.7383710715858426,0.36163746517980944,-11.140537748424531,0.5630564567257169,1.354332582196431,373221.61514711,-352265.94141728804,-352209.05934367015,-34049.6494584452,-34038.27304372162,-33249.53291661892,-33238.15650189534,-59604.83214707958,-59570.702902908844
8,643993,-4.580821904146102,-0.4010189993457105,-11.422954801692741,2.4936474372325685,409085.08816154895,-292217.2792156622,-292194.52832939127,0.6309565675971769,0.746124684235208,-11.676488619291623,1.182529388792349,388020.06209281593,-326260.6963633839,-326226.5700339775,0.6741781735258551,0.7512959435953137,-11.676063150995384,1.1143878177873126,388520.1192722268,-325431.29081456165,-325397.16448515526,-8.66101787643369,-0.7475013718015809,0.35436349322702215,-11.098343170753456,0.5807879063759929,1.3377901870465638,373203.131136251,-351330.0394823837,-351273.1622667064,-34043.41714772169,-34032.04170458624,-33214.01159889944,-33202.63615576399,-59112.76026672148,-59078.63393731514
9,645358,-4.54103499837149,-0.39765765033830996,-11.419458407271113,2.5147259185111697,410329.4912459528,-292242.96761011385,-292220.21248915273,0.6326080288763042,0.7557776319213624,-11.672730926361103,1.1947012959412533,388566.0336764397,-327411.26707082614,-327377.1343893845,0.6758189996082157,0.7605141694368347,-11.67247967944999,1.1253222680595223,389078.1951953279,-326561.1930420473,-326527.06036060565,-8.824780358869495,-0.7607826883386888,0.32263793368128846,-11.0300634576312,0.6366994884891712,1.3144357979328984,373667.22168907186,-352639.1556535598,-352582.267851157,-35168.2994607123,-35156.92190023174,-34318.225431933475,-34306.84787145292,-60396.18804344593,-60362.05536200426
