bin,x0_lo,x0_hi,x0_mid,n,resid_med,mad,sigma_mad,var_mad,mean_resid2,D_var_mad,D_mean_resid2,D_mad2,model,dt,obs_class,weight_col,weight_cap_q,nbins_diff,min_per_bin_diff
0,-13.745778305127477,-12.851467988763098,-13.08684085701425,32118,0.3692383160910788,0.3764030556326574,0.5580551702809778,0.31142557307733115,0.5437603497661181,0.15571278653866558,0.27188017488305904,0.0708396301448007,OU_linear,1,ALL,unweighted,,20,200
1,-12.851467988763098,-12.616466174220095,-12.717512813561536,31924,0.17475758443750244,0.40616527898313226,0.6021806426203918,0.3626215263467081,0.45953800055003324,0.18131076317335404,0.22976900027501662,0.08248511692572283,OU_linear,1,ALL,unweighted,,20,200
2,-12.616466174220095,-12.403731537090604,-12.501481883886775,31311,0.22771175935332977,0.4471428009789645,0.6629339167314128,0.43948137795285175,0.4790781982833048,0.21974068897642587,0.2395390991416524,0.09996834223365694,OU_linear,1,ALL,unweighted,,20,200
3,-12.403731537090604,-12.27907382426767,-12.336658280325969,33554,0.04129371857239045,0.4365192791558499,0.647183483276463,0.4188464610258559,0.4503382173385247,0.20942323051292794,0.22516910866926235,0.09527454053737142,OU_linear,1,ALL,unweighted,,20,200
4,-12.27907382426767,-12.12977682455901,-12.18882144650468,32232,0.08200886390938411,0.48587432673339537,0.7203572768149319,0.5189146062602245,0.5157988739625581,0.2594573031301122,0.25789943698127904,0.11803693068931512,OU_linear,1,ALL,unweighted,,20,200
5,-12.12977682455901,-12.017282210422035,-12.056671612243909,31714,-0.06394770437279096,0.4735391430894431,0.7020691335444084,0.49290106827579633,0.5036600362847771,0.24645053413789816,0.25183001814238853,0.11211966001894204,OU_linear,1,ALL,unweighted,,20,200
6,-12.017282210422035,-11.894612166086493,-11.955149926079956,32767,-0.034423384512368954,0.5037695481187336,0.7468887320408345,0.5578427780495655,0.5123058729566095,0.27892138902478275,0.2561529364783047,0.12689187880587655,OU_linear,1,ALL,unweighted,,20,200
7,-11.894612166086493,-11.757940336233895,-11.822248159564992,32240,-0.073616828702714,0.4919701890095052,0.7293950022254924,0.532017069271526,0.5305275947058626,0.266008534635763,0.2652637973529313,0.12101733343702413,OU_linear,1,ALL,unweighted,,20,200
8,-11.757940336233895,-11.642284912965152,-11.688207126531818,32196,-0.18917435700384638,0.5288890471196019,0.7841309012595218,0.6148612703100699,0.5901242412205777,0.30743063515503494,0.29506212061028886,0.13986181208154025,OU_linear,1,ALL,unweighted,,20,200
9,-11.642284912965152,-11.516584476799252,-11.594290069440897,32264,-0.18495535297786242,0.5280837192766819,0.7829369221996084,0.6129902241433957,0.6127255257267621,0.30649511207169783,0.30636276286338104,0.13943620728254666,OU_linear,1,ALL,unweighted,,20,200
