bin,x0_lo,x0_hi,x0_mid,y_med,n,series,dt,obs_class,weight_col
0,-13.745778305127477,-12.851467988763098,-13.08684085701425,1.0595514524251826,32118,dx,1,ALL,w_clone
1,-12.851467988763098,-12.616466174220095,-12.717512813561536,0.694959281771828,31924,dx,1,ALL,w_clone
2,-12.616466174220095,-12.403731537090604,-12.501481883886775,0.6596420945159505,31311,dx,1,ALL,w_clone
3,-12.403731537090604,-12.27907382426767,-12.336658280325969,0.4164976148399848,33554,dx,1,ALL,w_clone
4,-12.27907382426767,-12.12977682455901,-12.18882144650468,0.391504910529072,32232,dx,1,ALL,w_clone
5,-12.12977682455901,-12.017282210422035,-12.056671612243909,0.1955214357800709,31714,dx,1,ALL,w_clone
6,-12.017282210422035,-11.894612166086493,-11.955149926079956,0.1790553340994805,32767,dx,1,ALL,w_clone
7,-11.894612166086493,-11.757940336233895,-11.822248159564992,0.0913191339267047,32240,dx,1,ALL,w_clone
8,-11.757940336233895,-11.642284912965152,-11.688207126531818,-0.0772926248499192,32196,dx,1,ALL,w_clone
9,-11.642284912965152,-11.516584476799252,-11.594290069440897,-0.1248819737433475,32264,dx,1,ALL,w_clone
10,-11.516584476799252,-11.387217733138815,-11.45044903322954,-0.1860609154486354,32292,dx,1,ALL,w_clone
11,-11.387217733138815,-11.258813555880218,-11.325094720585987,-0.31230204473950707,32066,dx,1,ALL,w_clone
12,-11.258813555880218,-11.110992424862156,-11.189085590266348,-0.3717509924480033,32377,dx,1,ALL,w_clone
13,-11.110992424862156,-10.954524827623962,-11.028636069510126,-0.3554514210167179,32132,dx,1,ALL,w_clone
14,-10.954524827623962,-10.785304516739837,-10.86927554014958,-0.3844171345521499,32375,dx,1,ALL,w_clone
15,-10.785304516739837,-10.595842752855896,-10.696443788613934,-0.400729647269836,31639,dx,1,ALL,w_clone
16,-10.595842752855896,-10.363073172549734,-10.486884595272876,-0.42639804817111226,32830,dx,1,ALL,w_clone
17,-10.363073172549734,-10.059158857616866,-10.220654612394164,-0.44202718523856,32243,dx,1,ALL,w_clone
18,-10.059158857616866,-9.568196153530325,-9.853898068977037,-0.43550040230133025,32226,dx,1,ALL,w_clone
19,-9.568196153530325,-3.039465617682323,-9.09410743865783,-0.32007651852755536,32254,dx,1,ALL,w_clone
0,-13.745778305127477,-12.851467988763098,-13.08684085701425,0.2921702866331196,32118,resid_OU_linear,1,ALL,w_clone
1,-12.851467988763098,-12.616466174220095,-12.717512813561536,0.15320575961810956,31924,resid_OU_linear,1,ALL,w_clone
2,-12.616466174220095,-12.403731537090604,-12.501481883886775,0.2506200018781213,31311,resid_OU_linear,1,ALL,w_clone
3,-12.403731537090604,-12.27907382426767,-12.336658280325969,0.08393825663892945,33554,resid_OU_linear,1,ALL,w_clone
4,-12.27907382426767,-12.12977682455901,-12.18882144650468,0.15626820699780009,32232,resid_OU_linear,1,ALL,w_clone
5,-12.12977682455901,-12.017282210422035,-12.056671612243909,0.029678269473465413,31714,resid_OU_linear,1,ALL,w_clone
6,-12.017282210422035,-11.894612166086493,-11.955149926079956,0.0822002135778179,32767,resid_OU_linear,1,ALL,w_clone
7,-11.894612166086493,-11.757940336233895,-11.822248159564992,0.06638138734510418,32240,resid_OU_linear,1,ALL,w_clone
8,-11.757940336233895,-11.642284912965152,-11.688207126531818,-0.02881682208526376,32196,resid_OU_linear,1,ALL,w_clone
9,-11.642284912965152,-11.516584476799252,-11.594290069440897,-0.0034329063448951813,32264,resid_OU_linear,1,ALL,w_clone
10,-11.516584476799252,-11.387217733138815,-11.45044903322954,-0.0013417636249481446,32292,resid_OU_linear,1,ALL,w_clone
11,-11.387217733138815,-11.258813555880218,-11.325094720585987,-0.05439005356625021,32066,resid_OU_linear,1,ALL,w_clone
12,-11.258813555880218,-11.110992424862156,-11.189085590266348,-0.034239761870900054,32377,resid_OU_linear,1,ALL,w_clone
13,-11.110992424862156,-10.954524827623962,-11.028636069510126,0.07512023916839095,32132,resid_OU_linear,1,ALL,w_clone
14,-10.954524827623962,-10.785304516739837,-10.86927554014958,0.13771157498802555,32375,resid_OU_linear,1,ALL,w_clone
15,-10.785304516739837,-10.595842752855896,-10.696443788613934,0.21256963434260184,31639,resid_OU_linear,1,ALL,w_clone
16,-10.595842752855896,-10.363073172549734,-10.486884595272876,0.3229945746838823,32830,resid_OU_linear,1,ALL,w_clone
17,-10.363073172549734,-10.059158857616866,-10.220654612394164,0.44869318147273685,32243,resid_OU_linear,1,ALL,w_clone
18,-10.059158857616866,-9.568196153530325,-9.853898068977037,0.6718553273414214,32226,resid_OU_linear,1,ALL,w_clone
19,-9.568196153530325,-3.039465617682323,-9.09410743865783,1.2875033581091868,32254,resid_OU_linear,1,ALL,w_clone
0,-13.745778305127477,-12.851467988763098,-13.08684085701425,0.3242013382231148,32118,resid_tanh_saturating,1,ALL,w_clone
1,-12.851467988763098,-12.616466174220095,-12.717512813561536,0.07213863746673777,31924,resid_tanh_saturating,1,ALL,w_clone
2,-12.616466174220095,-12.403731537090604,-12.501481883886775,0.14692651880919327,31311,resid_tanh_saturating,1,ALL,w_clone
3,-12.403731537090604,-12.27907382426767,-12.336658280325969,-0.004338963563088993,33554,resid_tanh_saturating,1,ALL,w_clone
4,-12.27907382426767,-12.12977682455901,-12.18882144650468,0.09935731541774823,32232,resid_tanh_saturating,1,ALL,w_clone
5,-12.12977682455901,-12.017282210422035,-12.056671612243909,0.003130585289103066,31714,resid_tanh_saturating,1,ALL,w_clone
6,-12.017282210422035,-11.894612166086493,-11.955149926079956,0.10106834863712183,32767,resid_tanh_saturating,1,ALL,w_clone
7,-11.894612166086493,-11.757940336233895,-11.822248159564992,0.1350336641064574,32240,resid_tanh_saturating,1,ALL,w_clone
8,-11.757940336233895,-11.642284912965152,-11.688207126531818,0.08359126383724476,32196,resid_tanh_saturating,1,ALL,w_clone
9,-11.642284912965152,-11.516584476799252,-11.594290069440897,0.14626692190979132,32264,resid_tanh_saturating,1,ALL,w_clone
10,-11.516584476799252,-11.387217733138815,-11.45044903322954,0.17845823677994085,32292,resid_tanh_saturating,1,ALL,w_clone
11,-11.387217733138815,-11.258813555880218,-11.325094720585987,0.14204855556122645,32066,resid_tanh_saturating,1,ALL,w_clone
12,-11.258813555880218,-11.110992424862156,-11.189085590266348,0.16863430371593935,32377,resid_tanh_saturating,1,ALL,w_clone
13,-11.110992424862156,-10.954524827623962,-11.028636069510126,0.2609139542207626,32132,resid_tanh_saturating,1,ALL,w_clone
14,-10.954524827623962,-10.785304516739837,-10.86927554014958,0.2915786404927264,32375,resid_tanh_saturating,1,ALL,w_clone
15,-10.785304516739837,-10.595842752855896,-10.696443788613934,0.3165028271558876,31639,resid_tanh_saturating,1,ALL,w_clone
16,-10.595842752855896,-10.363073172549734,-10.486884595272876,0.33312975630961233,32830,resid_tanh_saturating,1,ALL,w_clone
17,-10.363073172549734,-10.059158857616866,-10.220654612394164,0.34494201223204984,32243,resid_tanh_saturating,1,ALL,w_clone
18,-10.059158857616866,-9.568196153530325,-9.853898068977037,0.3723196136276526,32226,resid_tanh_saturating,1,ALL,w_clone
19,-9.568196153530325,-3.039465617682323,-9.09410743865783,0.5005664054483252,32254,resid_tanh_saturating,1,ALL,w_clone
0,-13.745778305127477,-12.851467988763098,-13.08684085701425,0.3346957425815479,32118,resid_rational_saturating,1,ALL,w_clone
1,-12.851467988763098,-12.616466174220095,-12.717512813561536,0.08006691448633796,31924,resid_rational_saturating,1,ALL,w_clone
2,-12.616466174220095,-12.403731537090604,-12.501481883886775,0.14777118709773196,31311,resid_rational_saturating,1,ALL,w_clone
3,-12.403731537090604,-12.27907382426767,-12.336658280325969,-0.010428242796902243,33554,resid_rational_saturating,1,ALL,w_clone
4,-12.27907382426767,-12.12977682455901,-12.18882144650468,0.09192979356794206,32232,resid_rational_saturating,1,ALL,w_clone
5,-12.12977682455901,-12.017282210422035,-12.056671612243909,-0.003684950303730533,31714,resid_rational_saturating,1,ALL,w_clone
6,-12.017282210422035,-11.894612166086493,-11.955149926079956,0.09711567036274965,32767,resid_rational_saturating,1,ALL,w_clone
7,-11.894612166086493,-11.757940336233895,-11.822248159564992,0.1338663276015105,32240,resid_rational_saturating,1,ALL,w_clone
8,-11.757940336233895,-11.642284912965152,-11.688207126531818,0.08827296808733619,32196,resid_rational_saturating,1,ALL,w_clone
9,-11.642284912965152,-11.516584476799252,-11.594290069440897,0.1519824185332504,32264,resid_rational_saturating,1,ALL,w_clone
10,-11.516584476799252,-11.387217733138815,-11.45044903322954,0.18335936073196457,32292,resid_rational_saturating,1,ALL,w_clone
11,-11.387217733138815,-11.258813555880218,-11.325094720585987,0.14465961688162166,32066,resid_rational_saturating,1,ALL,w_clone
12,-11.258813555880218,-11.110992424862156,-11.189085590266348,0.16586443339191864,32377,resid_rational_saturating,1,ALL,w_clone
13,-11.110992424862156,-10.954524827623962,-11.028636069510126,0.2529160718736024,32132,resid_rational_saturating,1,ALL,w_clone
14,-10.954524827623962,-10.785304516739837,-10.86927554014958,0.28101028466485606,32375,resid_rational_saturating,1,ALL,w_clone
15,-10.785304516739837,-10.595842752855896,-10.696443788613934,0.30554050694795376,31639,resid_rational_saturating,1,ALL,w_clone
16,-10.595842752855896,-10.363073172549734,-10.486884595272876,0.3262168120063068,32830,resid_rational_saturating,1,ALL,w_clone
17,-10.363073172549734,-10.059158857616866,-10.220654612394164,0.3450277630379208,32243,resid_rational_saturating,1,ALL,w_clone
18,-10.059158857616866,-9.568196153530325,-9.853898068977037,0.38439897743886237,32226,resid_rational_saturating,1,ALL,w_clone
19,-9.568196153530325,-3.039465617682323,-9.09410743865783,0.5370401330007954,32254,resid_rational_saturating,1,ALL,w_clone
0,-13.745778305127477,-12.851467988763098,-13.08684085701425,0.02677297274050977,32118,resid_hinge_plateau_smooth,1,ALL,w_clone
1,-12.851467988763098,-12.616466174220095,-12.717512813561536,-0.016283056432383036,31924,resid_hinge_plateau_smooth,1,ALL,w_clone
2,-12.616466174220095,-12.403731537090604,-12.501481883886775,0.1444152044106899,31311,resid_hinge_plateau_smooth,1,ALL,w_clone
3,-12.403731537090604,-12.27907382426767,-12.336658280325969,0.02938518018420394,33554,resid_hinge_plateau_smooth,1,ALL,w_clone
4,-12.27907382426767,-12.12977682455901,-12.18882144650468,0.1448891032211106,32232,resid_hinge_plateau_smooth,1,ALL,w_clone
5,-12.12977682455901,-12.017282210422035,-12.056671612243909,0.04976680791313842,31714,resid_hinge_plateau_smooth,1,ALL,w_clone
6,-12.017282210422035,-11.894612166086493,-11.955149926079956,0.14132813442955294,32767,resid_hinge_plateau_smooth,1,ALL,w_clone
7,-11.894612166086493,-11.757940336233895,-11.822248159564992,0.16429985519155185,32240,resid_hinge_plateau_smooth,1,ALL,w_clone
8,-11.757940336233895,-11.642284912965152,-11.688207126531818,0.10060533729644115,32196,resid_hinge_plateau_smooth,1,ALL,w_clone
9,-11.642284912965152,-11.516584476799252,-11.594290069440897,0.15288833733100426,32264,resid_hinge_plateau_smooth,1,ALL,w_clone
10,-11.516584476799252,-11.387217733138815,-11.45044903322954,0.17209188822881638,32292,resid_hinge_plateau_smooth,1,ALL,w_clone
11,-11.387217733138815,-11.258813555880218,-11.325094720585987,0.12535638265589125,32066,resid_hinge_plateau_smooth,1,ALL,w_clone
12,-11.258813555880218,-11.110992424862156,-11.189085590266348,0.13599507261194388,32377,resid_hinge_plateau_smooth,1,ALL,w_clone
13,-11.110992424862156,-10.954524827623962,-11.028636069510126,0.21169424311379426,32132,resid_hinge_plateau_smooth,1,ALL,w_clone
14,-10.954524827623962,-10.785304516739837,-10.86927554014958,0.22469962349503808,32375,resid_hinge_plateau_smooth,1,ALL,w_clone
15,-10.785304516739837,-10.595842752855896,-10.696443788613934,0.23347287773822412,31639,resid_hinge_plateau_smooth,1,ALL,w_clone
16,-10.595842752855896,-10.363073172549734,-10.486884595272876,0.21906897798943864,32830,resid_hinge_plateau_smooth,1,ALL,w_clone
17,-10.363073172549734,-10.059158857616866,-10.220654612394164,0.20362370157075588,32243,resid_hinge_plateau_smooth,1,ALL,w_clone
18,-10.059158857616866,-9.568196153530325,-9.853898068977037,0.20217365650609087,32226,resid_hinge_plateau_smooth,1,ALL,w_clone
19,-9.568196153530325,-3.039465617682323,-9.09410743865783,0.30179490231017436,32254,resid_hinge_plateau_smooth,1,ALL,w_clone
