rep,n,ou_a,ou_b,ou_x_star,ou_tau,ou_sse,ou_aic,ou_bic,tanh_A,tanh_Delta,tanh_x_star,tanh_tau_local,tanh_sse,tanh_aic,tanh_bic,rat_A,rat_Delta,rat_x_star,rat_tau_local,rat_sse,rat_aic,rat_bic,hinge_a,hinge_b,hinge_A,hinge_x_c,hinge_Delta,hinge_tau_from_b,hinge_sse,hinge_aic,hinge_bic,delta_aic_tanh,delta_bic_tanh,delta_aic_rat,delta_bic_rat,delta_aic_hinge,delta_bic_hinge
0,644325,-6.700451643568547,-0.5684801878138142,-11.786605386084354,1.759076255314486,369603.2276704213,-358094.5571598665,-358071.80524279416,0.8219469461999599,0.862686412656964,-11.87283973367246,1.0495645937312033,351941.0636030662,-389642.7967384091,-389608.6688628006,0.8976662651063579,0.9082120572537671,-11.871888512431076,1.0117480098755407,352117.0789696708,-389320.63271077396,-389286.50483516546,-8.26183414309482,-0.7081441761837086,0.622154695948929,-11.380264015197021,0.41724542288642663,1.4121418118399909,346663.30458090664,-399374.3693569214,-399317.48956424056,-31548.23957854259,-31536.86362000642,-31226.075550907466,-31214.699592371297,-41279.81219705491,-41245.6843214464
1,644954,-6.685948814491293,-0.5672569889425371,-11.786454719500295,1.7628694216076017,370265.7366603936,-357918.40862143243,-357895.6547528816,0.8230386609113575,0.8679682618237675,-11.871733305206392,1.0545899033013335,352007.3333357707,-390531.0528261842,-390496.922023358,0.899598270264799,0.9155331160779785,-11.870627879606387,1.0177132908542488,352235.11274461786,-390113.8463746445,-390079.7155718183,-8.472697427397252,-0.7241055626616245,0.6149945337400684,-11.318724948862059,0.42239890953685244,1.3810141111528809,346655.33021606,-400408.39763198013,-400351.5129606031,-32612.644204751763,-32601.267270476383,-32195.437753212056,-32184.060818936676,-42489.989010547695,-42455.858207721496
2,644396,-6.706918238123554,-0.5689950332409779,-11.787305417977302,1.7574845852415113,366792.04739184724,-363124.99312956585,-363102.24099211994,0.8235337692410156,0.8701657164264948,-11.8714323781483,1.0566242076854433,349338.9897106664,-394538.77450416354,-394504.6462979947,0.9001309851477466,0.9174060007562836,-11.870627244358534,1.0191916686499816,349531.99681062164,-394182.84899360884,-394148.72078744,-8.241798726641191,-0.7069725739288261,0.6230492134559876,-11.374599462115158,0.43214348295240207,1.414482027842673,343993.3218809857,-404471.69845760334,-404414.8181139886,-31413.78137459769,-31402.405305874767,-31057.855864043,-31046.479795320076,-41346.7053280375,-41312.57712186867
3,645301,-6.7318221088296095,-0.5712266030721479,-11.784853983733942,1.7506187467842713,370427.1694305369,-358176.7878575038,-358154.0329131966,0.8222090615508449,0.8564704811230593,-11.872184460324831,1.0416699610529598,352569.7711532008,-390058.0240068048,-390023.891590344,0.8979345670285718,0.9017886654620427,-11.871149364148692,1.004292181830381,352750.12450942275,-389728.0114710019,-389693.8790545411,-8.398041076989797,-0.7187356032716532,0.6200043654185452,-11.367038159685213,0.40456799795903864,1.3913322165314248,347128.00311457436,-400091.64107501943,-400034.7537142515,-31881.236149300996,-31869.858677147422,-31551.223613498092,-31539.84614134452,-41914.85321751563,-41880.72080105491
4,645234,-6.725680385535292,-0.5706440785434833,-11.786121399352771,1.7524058123102026,369533.9183274891,-359630.4038574485,-359607.6491208071,0.8268550205350781,0.8657364903282165,-11.872330207477043,1.0470233218974438,350985.9452850852,-392855.6001643301,-392821.468059368,0.903212425848212,0.9119561878026831,-11.871333002924812,1.0096807370052063,351211.10254581954,-392441.815670646,-392407.68356568395,-8.466884221782028,-0.7244032885514168,0.6191198775442927,-11.345122230999442,0.4232435218735652,1.3804465217153992,345459.68238100235,-403091.6172361518,-403034.7303945484,-33225.19630688161,-33213.8189385609,-32811.41181319754,-32800.03444487683,-43461.21337870334,-43427.08127374126
5,645113,-6.723317592602486,-0.5705025759593534,-11.784903129134166,1.7528404640739905,368308.39662851783,-361584.980599306,-361562.22623775754,0.8241175799095989,0.864162318166725,-11.871386277809759,1.048591049667353,350522.4819996353,-393513.34814913536,-393479.21660681267,0.8996697243206303,0.9088875880216609,-11.870641863070277,1.0102458307219255,350711.28035825834,-393165.971040367,-393131.8394980443,-8.265610681381332,-0.7094417371020011,0.6242930055911352,-11.386481251055725,0.4344067205313027,1.4095590204276682,345070.38926694676,-403622.413057615,-403565.52715374384,-31928.36754982936,-31916.99036905513,-31580.990441060974,-31569.613260286744,-42037.43245830899,-42003.3009159863
6,644778,-6.677005698261489,-0.5665828060961038,-11.784695240343977,1.764967078493342,369920.668100222,-358245.9400246161,-358223.1867019151,0.8234188946148706,0.8696510658962231,-11.870580890395217,1.0561465999671724,351739.11035859754,-390740.00009863137,-390705.8701145799,0.8990868931960971,0.9152093193406945,-11.86981647435218,1.0179319999730894,351970.2808215202,-390316.37740445626,-390282.2474204048,-8.440113076629991,-0.7227410676579704,0.6156159144688712,-11.333480964742597,0.44857216731881494,1.3836213891103244,346098.58621244214,-401159.5272348494,-401102.643928097,-32494.060074015288,-32482.683412664803,-32070.43737984018,-32059.060718489694,-42913.58721023332,-42879.45722618187
7,644619,-6.675937007604162,-0.5665109944643503,-11.784302639909788,1.76519080789513,369541.000009566,-358660.5609329745,-358637.80810352735,0.8157302578425252,0.8520468978966347,-11.873146807904522,1.0445204032889024,351108.1191158513,-391642.0954373806,-391607.96619320987,0.8898816153233747,0.8952225607878659,-11.872124909934332,1.0060018606660959,351332.03531254065,-391231.1262216468,-391196.99697747605,-8.51030151200074,-0.7273629821954138,0.608130621291889,-11.34616556562447,0.4132758906948881,1.3748293829604588,345353.3148272658,-402291.2068229582,-402234.3247493403,-32981.534504406096,-32970.15808968252,-32570.565288672282,-32559.188873948704,-43630.64588998369,-43596.51664581295
8,643993,-6.758436091503072,-0.5734064600755739,-11.786466602787005,1.7439636098069105,368088.7677789143,-360222.32696588564,-360199.5760796147,0.8285565467269556,0.8658504894021843,-11.872679046650681,1.0450107392459222,350427.55838451977,-391885.54104943684,-391851.41472003044,0.9053138789507262,0.9125998464556748,-11.871744686215463,1.0080480015543263,350643.9553693927,-391487.98346744676,-391453.85713804036,-8.49544323992375,-0.7271241738463166,0.6200475784414861,-11.344680515778006,0.4335066006275706,1.3752809162020212,344820.0374221297,-402270.0201400912,-402213.1429244139,-31663.214083551196,-31651.83864041575,-31265.656501561112,-31254.281058425666,-42047.693174205546,-42013.56684479921
9,645358,-6.708028927144038,-0.5691434310538004,-11.786183519194367,1.7570263407036868,370003.87145000196,-359003.31997792557,-358980.56485696445,0.8277883856013377,0.8725472521481568,-11.87189033678906,1.0540704210464422,351505.97461649607,-392099.6410762548,-392065.5083948131,0.9048231825002122,0.9203735795873959,-11.871035228652769,1.0171861170093086,351757.8949921986,-391637.285923936,-391603.1532424943,-8.460861465344928,-0.7245425841076428,0.6171672515017144,-11.338576621014786,0.4490688941754669,1.3801811265953603,345796.0440611802,-402665.04036244936,-402608.1525600466,-33096.32109832921,-33084.94353784865,-32633.96594601043,-32622.588385529874,-43661.7203845238,-43627.58770308213
