bin,x0_lo,x0_hi,x0_mid,n,resid_med,mad,sigma_mad,var_mad,mean_resid2,D_var_mad,D_mean_resid2,D_mad2,model,dt,obs_class,weight_col,weight_cap_q,nbins_diff,min_per_bin_diff
0,-13.745778305127477,-12.851467988763098,-13.08684085701425,32118,0.20887595673691617,0.34795319723580953,0.5158754102218112,0.26612743887152196,0.36803739956077103,0.13306371943576098,0.18401869978038551,0.06053571373331108,OU_linear,1,ALL,w_clone,0.999,20,200
1,-12.851467988763098,-12.616466174220095,-12.717512813561536,31924,0.07457351836857118,0.3854214973336987,0.5714259119469416,0.3265275728443938,0.37393055662567753,0.1632637864221969,0.18696527831283877,0.07427486530347514,OU_linear,1,ALL,w_clone,0.999,20,200
2,-12.616466174220095,-12.403731537090604,-12.501481883886775,31311,0.15090726638897944,0.4054694679546058,0.6011490331894985,0.3613801601046688,0.40561836667073153,0.1806900800523344,0.20280918333536577,0.08220274472169556,OU_linear,1,ALL,w_clone,0.999,20,200
3,-12.403731537090604,-12.27907382426767,-12.336658280325969,33554,-0.02369727138728628,0.4113404133211026,0.6098532967898667,0.3719210436054692,0.3991616412103924,0.1859605218027346,0.1995808206051962,0.08460046781558776,OU_linear,1,ALL,w_clone,0.999,20,200
4,-12.27907382426767,-12.12977682455901,-12.18882144650468,32232,0.04388709297959803,0.4505058630839631,0.6679199926082837,0.4461171165258498,0.47485253917304815,0.2230585582629249,0.23742626958652407,0.10147776633651326,OU_linear,1,ALL,w_clone,0.999,20,200
5,-12.12977682455901,-12.017282210422035,-12.056671612243909,31714,-0.1095508486129129,0.422392961662311,0.6262398049605422,0.392176293317018,0.46578554231554287,0.196088146658509,0.23289277115777143,0.08920790703092926,OU_linear,1,ALL,w_clone,0.999,20,200
6,-12.017282210422035,-11.894612166086493,-11.955149926079956,32767,-0.07753217951847453,0.4495111944887551,0.6664452969490283,0.44414933382547855,0.4816243906982694,0.22207466691273928,0.2408121953491347,0.10103015698535371,OU_linear,1,ALL,w_clone,0.999,20,200
7,-11.894612166086493,-11.757940336233895,-11.822248159564992,32240,-0.11214784967550351,0.46079558576711666,0.6831755354583271,0.46672881224877194,0.49965808722440996,0.23336440612438597,0.24982904361220498,0.10616628593123008,OU_linear,1,ALL,w_clone,0.999,20,200
8,-11.757940336233895,-11.642284912965152,-11.688207126531818,32196,-0.20173678122589495,0.46271066003072653,0.6860148245615552,0.4706163395182213,0.5473159635594408,0.23530816975911065,0.2736579817797204,0.1070505774530353,OU_linear,1,ALL,w_clone,0.999,20,200
9,-11.642284912965152,-11.516584476799252,-11.594290069440897,32264,-0.23083290476341917,0.4919926885354337,0.729428360022634,0.5320657324053094,0.5965920694934799,0.2660328662026547,0.29829603474673994,0.12102840278616214,OU_linear,1,ALL,w_clone,0.999,20,200
10,-11.516584476799252,-11.387217733138815,-11.45044903322954,32292,-0.2074880676595079,0.5237559028337504,0.7765205015413182,0.6029840893139804,0.6157466179758221,0.3014920446569902,0.30787330898791104,0.13716012287659848,OU_linear,1,ALL,w_clone,0.999,20,200
11,-11.387217733138815,-11.258813555880218,-11.325094720585987,32066,-0.3145165933701506,0.5148097085318356,0.7632568738692994,0.5825610555087356,0.6429585691842596,0.2912805277543678,0.3214792845921298,0.13251451799931677,OU_linear,1,ALL,w_clone,0.999,20,200
