x,dt,obs_class,weight_col,weight_cap_q,n,grid_qlo,grid_qhi,grid_n,b_OU_linear,b_tanh_saturating,b_rational_saturating,b_hinge_plateau_smooth
-13.146295375085534,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.7740101219027986,0.7411658690341641,0.7317603202507232,1.0308358638563455
-13.137855089629161,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.7692112981005055,0.7396274088518917,0.7301122006663838,1.0243557361239133
-13.129414804172788,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.7644124742982132,0.7380617706072354,0.7284422403864669,1.0178697980778786
-13.120974518716414,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.7596136504959201,0.7364685332418577,0.7267501030856075,1.0113779790145896
-13.112534233260039,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.754814826693627,0.7348472713986303,0.7250354472372124,1.0048802078006565
-13.104093947803666,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.7500160028913339,0.7331975554661118,0.7232979260580255,0.9983764128860144
-13.095653662347292,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.7452171790890416,0.7315189516274833,0.7215371874537824,0.9918665223176901
-13.087213376890919,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.7404183552867485,0.7298110219141006,0.7197528739660838,0.9853504637543271
-13.078773091434545,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.7356195314844562,0.7280733242638153,0.7179446227206107,0.9788281644814706
-13.070332805978172,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.7308207076821631,0.7263054125842244,0.7161120653768204,0.9722995514276648
-13.061892520521798,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.7260218838798709,0.7245068368210082,0.7142548280792697,0.9657645511813429
-13.053452235065425,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.7212230600775777,0.7226771430315188,0.7123725314107098,0.9592230900085867
-13.04501194960905,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.7164242362752846,0.7208158734637815,0.7104647903471175,0.9526750938717263
-13.036571664152676,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.7116254124729915,0.7189225666410793,0.7085312142148272,0.9461204884488692
-13.028131378696303,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.7068265886706993,0.7169967574522772,0.7065714066499362,0.9395591991543056
-13.01969109323993,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.7020277648684061,0.7150379772480651,0.7045849655601708,0.9329911511599049
-13.011250807783556,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.6972289410661139,0.7130457539432805,0.7025714830894033,0.9264162694174519
-13.002810522327183,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.6924301172638208,0.7110196121254836,0.70053054558502,0.9198344786820138
-12.99437023687081,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.6876312934615285,0.7089590731699529,0.6984617335683541,0.9132457035363113
-12.985929951414436,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.6828324696592354,0.7068636553612726,0.6963646217083997,0.9066498684161738
-12.97748966595806,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.6780336458569423,0.7047328740216809,0.6942387787990416,0.9000468976370656
-12.969049380501687,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.6732348220546491,0.7025662416463508,0.6920837677400408,0.8934367154217422
-12.960609095045314,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.6684359982523569,0.7003632680457675,0.6898991455220206,0.8868192459290435
-12.95216880958894,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.6636371744500638,0.698123460495377,0.6876844632157271,0.880194413283884
-12.943728524132567,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.6588383506477715,0.6958463238926679,0.6854392659658266,0.8735621416084418
-12.935288238676193,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.6540395268454784,0.693531360921853,0.6831630929895316,0.8669223550545851
-12.92684795321982,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.6492407030431862,0.6911780722263136,0.6808554775803465,0.8602749778375959
-12.918407667763447,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.644441879240893,0.6887859565889672,0.6785159471172465,0.8536199342711714
-12.909967382307071,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.6396430554385999,0.6863545111207152,0.6761440230796051,0.8469571488037932
-12.901527096850698,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.6348442316363068,0.6838832314571283,0.6737392210682087,0.8402865460564509
-12.893086811394324,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.6300454078340145,0.6813716119635128,0.6713010508326964,0.8336080508617831
-12.884646525937951,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.6252465840317214,0.6788191459485143,0.6688290163057906,0.8269215883046479
-12.876206240481578,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.6204477602294292,0.6762253258863917,0.6663226156446853,0.8202270837641912
-12.867765955025204,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.615648936427136,0.6735896436481033,0.6637813412799768,0.8135244629573946
-12.85932566956883,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.6108501126248438,0.6709115907413306,0.6612046799725365,0.8068136519841983
-12.850885384112457,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.6060512888225507,0.6681906585595705,0.6585921128787334,0.8000945773741858
-12.842445098656082,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.6012524650202575,0.665426338640406,0.6559431156244325,0.7933671661348815
-12.834004813199709,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.5964536412179644,0.6626181229330727,0.6532571583882084,0.7866313458017195
-12.825564527743335,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.5916548174156722,0.6597655040754121,0.6505337059942173,0.7798870444896792
-12.817124242286962,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.586855993613379,0.6568679756803176,0.6477722180152027,0.773134190946647
-12.808683956830588,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.5820571698110868,0.6539250326317463,0.6449721488861018,0.7663727146085494
-12.800243671374215,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.5772583460087937,0.6509361713903731,0.6421329480287485,0.7596025456562666
-12.791803385917841,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.5724595222065014,0.6479008903089524,0.6392540599881734,0.7528236150743752
-12.783363100461468,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.5676606984042083,0.6448186899574332,0.6363349245810165,0.7460358547117751
-12.774922815005093,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.5628618746019152,0.6416890734578693,0.6333749770565775,0.7392391973441891
-12.76648252954872,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.558063050799622,0.6385115468291539,0.6303736482710486,0.7324335767386387
-12.758042244092346,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.5532642269973298,0.6352856193415801,0.6273303648754668,0.7256189277198436
-12.749601958635973,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.5484654031950367,0.6320108038812383,0.6242445495179596,0.7187951862386766
-12.7411616731796,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.5436665793927444,0.6286866173242237,0.6211156210608433,0.711962289442623
-12.732721387723226,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.5388677555904522,0.6253125809206244,0.6179429948131556,0.7051201757483463
-12.724281102266852,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.5340689317881591,0.6218882206882389,0.6147260827792074,0.6982687849163352
-12.715840816810479,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.5292701079858668,0.6184130678159565,0.611464293923746,0.6914080581277207
-12.707400531354104,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.5244712841835728,0.6148866590767124,0.6081570344543278,0.6845379380632479
-12.69896024589773,1,ALL,w_clone,0.999,644754,0.02,0.98,500,0.5196724603812797,0.6113085372499187,0.6048037081215055,0.6776583689844686
