rep,n,ou_a,ou_b,ou_x_star,ou_tau,ou_sse,ou_aic,ou_bic,tanh_A,tanh_Delta,tanh_x_star,tanh_tau_local,tanh_sse,tanh_aic,tanh_bic,rat_A,rat_Delta,rat_x_star,rat_tau_local,rat_sse,rat_aic,rat_bic,hinge_a,hinge_b,hinge_A,hinge_x_c,hinge_Delta,hinge_tau_from_b,hinge_sse,hinge_aic,hinge_bic,delta_aic_tanh,delta_bic_tanh,delta_aic_rat,delta_bic_rat,delta_aic_hinge,delta_bic_hinge
0,12262,-1.0548760817838294,-0.1274224388057268,-8.278573944045558,7.847911320584901,2613.0225177599773,-18953.02067365774,-18938.19215300109,0.22920234721922922,0.8889102977143458,-8.661003258430995,3.8782774631191455,2576.4871264948147,-19123.678362062707,-19101.435581077738,0.2455647868795685,0.9093034157795545,-8.66448373321012,3.702906378940646,2578.9156984730453,-19112.125762659376,-19089.882981674407,-10.141092050023452,-1.2365626730663022,0.09338579631647768,-11.403140050844641,1.221631923140615,0.8086933414545838,2475.4997829062795,-19609.969332816065,-19572.898031174453,-170.6576884049682,-163.24342807664652,-159.10508900163768,-151.690828673316,-656.9486591583263,-634.7058781733613
1,12177,-1.0761965756320038,-0.12912876383523877,-8.334290081218246,7.744207954131314,2696.6441290122366,-18353.32483004996,-18338.510221638946,0.21841282825545494,0.7186975674312713,-8.7539209550778,3.29054649935985,2650.5559006262883,-18561.24039410218,-18539.01848148566,0.2303604121960347,0.7100395918590929,-8.75656351331242,3.082298668813179,2653.1655131679468,-18549.25739122366,-18527.035478607137,-5.050361502524077,-0.6044832596218224,0.10252570332089578,-9.920337655866213,0.9197377071360223,1.6543055313485793,2552.349997829514,-19016.98168057464,-18979.945159547107,-207.91556405221854,-200.50825984671246,-195.93256117369674,-188.52525696819066,-663.6568505246796,-641.4349379081614
2,12369,-0.9153644292228528,-0.11096694549569697,-8.248982840194952,9.011692585868083,2720.79148508692,-18726.012027855497,-18711.166130612746,0.19870905491320806,0.7716018879734255,-8.680731451658707,3.8830736138846067,2675.7445809660353,-18930.51415888752,-18908.245313023395,0.21069482280024135,0.7774428678186348,-8.6779248418762,3.689900195391722,2678.817046088223,-18916.319411337998,-18894.050565473874,-11.779743270919022,-1.3550924401080908,0.029898997719249896,-11.40815659926373,1.3691717418191298,0.7379570355511935,2586.288870257413,-19347.10604904003,-19309.991305933156,-204.5021310320226,-197.07918241064908,-190.30738348250088,-182.88443486112737,-621.0940211845336,-598.8251753204095
3,12276,-1.0185687888151673,-0.12236229943591422,-8.32420437921429,8.172451846769503,2644.238394059832,-18842.889259064228,-18828.05845623275,0.2129060967272508,0.8284246477538102,-8.67849179263519,3.8910329975899485,2601.888013494781,-19039.09438239065,-19016.84817814343,0.22772762960935183,0.8470240509906979,-8.677916239070562,3.719461061636212,2604.306646977724,-19027.688298404562,-19005.442094157344,-461.3695879703137,-52.37753871246009,0.003893619355241626,-18.860970908322052,1.7992375989612779,0.019092153327206842,2524.111384943583,-19407.6497020236,-19370.5726949449,-196.20512332642102,-188.7897219106817,-184.79903934033428,-177.38363792459495,-564.7604429593703,-542.5142387121523
4,12192,-0.9096587084385306,-0.11072444977461984,-8.215517984421194,9.031428939457408,2528.23742185459,-19177.156783518567,-19162.339712962716,0.2179172192929164,0.8605619994043966,-8.665923405047055,3.9490316653116815,2469.9458430674986,-19459.54937783086,-19437.32377199708,0.23064116097748133,0.8592233101647406,-8.67036302053785,3.7253684750946556,2473.2423517627594,-19443.28819642867,-19421.06259059489,-38.32077303775005,-4.405094436045856,0.026167239447634986,-13.723984743145573,1.5677603953941985,0.227009889235798,2362.2217202728198,-19999.2350541294,-19962.192377739768,-282.3925943122922,-274.9840590343629,-266.1314129101047,-258.72287763217537,-822.078270610833,-799.8526647770523
5,12195,-1.0181528083290716,-0.12275557378429736,-8.294147279358093,8.146269608557017,2652.656701515427,-18599.037931083072,-18584.22036846177,0.21894372449097455,0.7527903907772873,-8.687025582537618,3.438282565656817,2597.095365527353,-18855.18185265675,-18832.9555087248,0.22891107578850783,0.7236203559251603,-8.693224471499734,3.16114173782363,2599.548654824758,-18843.667550315746,-18821.441206383795,-6.021234790359117,-0.7075629487631262,0.06933473426322548,-10.17398219848336,1.23602598320149,1.413301815404659,2518.312137901007,-19226.845935702175,-19189.802029148923,-256.1439215736791,-248.7351402630302,-244.62961923267358,-237.22083792202466,-627.8080046191026,-605.5816606871522
6,12209,-1.017164199154826,-0.12233822981219478,-8.314360937838535,8.174059748413322,2578.811550325205,-18979.09932430682,-18964.279466979482,0.22897903785543816,0.9359228537845169,-8.648958056418012,4.087373510475641,2529.8103557162613,-19211.32058564165,-19189.090799650643,0.24747794253429506,0.9788842765348128,-8.649123573578363,3.9554404991029077,2532.67660152142,-19197.49576038485,-19175.265974393842,-284.8211045458578,-32.29587135032683,1.0000000000000002e-06,-18.14920146311173,1.8391022507708783,0.03096371016445358,2447.3871598663804,-19611.723585299813,-19574.67394198147,-232.22126133483107,-224.81133267116093,-218.3964360780301,-210.98650741435995,-632.6242609929941,-610.3944750019873
7,12335,-0.9686290100754926,-0.11671261641409482,-8.299265664980123,8.568054000709,2553.19782511021,-19424.786061613606,-19409.94566955568,0.20674191022606853,0.779972049598119,-8.68477331430617,3.7726847388864395,2499.853042345062,-19683.235583733658,-19660.974995646768,0.2193807230845788,0.7827337222542844,-8.685539641838169,3.567923887061461,2502.779215603442,-19668.805440002343,-19646.544851915452,-12.577424530532632,-1.4237853254993977,1.1380472490202128e-05,-11.543632400348747,1.52134742285127,0.7023530739433955,2414.9414673154806,-20105.494913286293,-20068.393933141477,-258.4495221200523,-251.02932609108757,-244.0193783887371,-236.59918235977239,-680.7088516726872,-658.4482635857967
8,11953,-1.010964636817012,-0.12135934320283101,-8.330340377068131,8.239991858959504,2646.9087588094853,-18016.221356386366,-18001.44388124261,0.210732712195716,0.7190648715286884,-8.742150327595057,3.412212864516562,2591.1057528694128,-18268.91273410331,-18246.746521387675,0.22217965614359328,0.7118983319521344,-8.741444555211961,3.20415624143391,2594.170861343262,-18254.781474160587,-18232.615261444953,-9.404278306544558,-1.0682450389272937,0.017555020869908813,-10.826920420113593,1.4025249383148688,0.936114808456472,2507.092567300175,-18658.895258515287,-18621.951570655896,-252.69137771694295,-245.3026401450661,-238.560117774221,-231.17138020234415,-642.6739021289213,-620.5076894132872
9,12208,-1.0824561094339213,-0.13044578452774125,-8.298130241255292,7.6660200528544875,2533.8581700434897,-19191.228839792704,-19176.409146285656,0.24306431880912513,1.002150193918685,-8.612938192922163,4.122983574177578,2494.28196363157,-19381.409762621508,-19359.180222360934,0.2636029876135491,1.0527555196827605,-8.613258850739097,3.9937161912069663,2496.8036333105247,-19369.07395091797,-19346.844410657395,-43.517095717467164,-5.102351562536949,0.04673120361157665,-14.54739897921559,1.7109656845734176,0.19598806310061243,2411.3538644905248,-19790.19323127486,-19753.14399750724,-190.1809228288039,-182.77107607527796,-177.84511112526525,-170.43526437173932,-598.9643914821572,-576.7348512215831
