bin,x0_lo,x0_hi,x0_mid,y_med,n,series,dt,obs_class,weight_col
0,-10.457002044311755,-9.873264458841856,-10.011726506457505,0.4422704193271514,611,dx,1,TT,w_clone
1,-9.873264458841856,-9.660890237455417,-9.759472262814054,0.2848194259836214,610,dx,1,TT,w_clone
2,-9.660890237455417,-9.465656001397875,-9.558360189091797,0.22964029470588704,610,dx,1,TT,w_clone
3,-9.465656001397875,-9.332625390568136,-9.391118017718656,0.175803560740583,611,dx,1,TT,w_clone
4,-9.332625390568136,-9.206605875743675,-9.270540125643912,0.10288683892731404,610,dx,1,TT,w_clone
5,-9.206605875743675,-9.089019726045056,-9.145419040338409,0.13133126136880247,610,dx,1,TT,w_clone
6,-9.089019726045056,-8.97628145596755,-9.02809066181897,0.0798164513906432,611,dx,1,TT,w_clone
7,-8.97628145596755,-8.870394386536681,-8.922881985170257,0.0342681029208442,610,dx,1,TT,w_clone
8,-8.870394386536681,-8.764527469784447,-8.81560002504753,0.00596925273457575,610,dx,1,TT,w_clone
9,-8.764527469784447,-8.65816563116343,-8.711595548047262,-0.0025664003486385,610,dx,1,TT,w_clone
10,-8.65816563116343,-8.535871707844931,-8.59468532451638,-0.0436616344925671,611,dx,1,TT,w_clone
11,-8.535871707844931,-8.408651840234981,-8.477776786366062,-0.0665096991647589,610,dx,1,TT,w_clone
12,-8.408651840234981,-8.272172031328498,-8.340903305457894,-0.0722141476348863,609,dx,1,TT,w_clone
13,-8.272172031328498,-8.114151088607294,-8.199048763783404,-0.102461505930913,612,dx,1,TT,w_clone
14,-8.114151088607294,-7.924454362783859,-8.021370412007112,-0.09235716186045415,610,dx,1,TT,w_clone
15,-7.924454362783859,-7.726569114362053,-7.830093609436304,-0.1057348195182741,610,dx,1,TT,w_clone
16,-7.726569114362053,-7.469083163415217,-7.598587826468796,-0.0870330696175827,611,dx,1,TT,w_clone
17,-7.469083163415217,-7.066496901189976,-7.303017705180661,-0.17790990173358384,610,dx,1,TT,w_clone
18,-7.066496901189976,-6.257292344013413,-6.762472319962589,-0.1225135320500272,610,dx,1,TT,w_clone
19,-6.257292344013413,-3.039465617682323,-5.5197710232562684,-0.063360485317105,611,dx,1,TT,w_clone
0,-10.457002044311755,-9.873264458841856,-10.011726506457505,0.2841937784028625,611,resid_OU_linear,1,TT,w_clone
1,-9.873264458841856,-9.660890237455417,-9.759472262814054,0.16068099716433087,610,resid_OU_linear,1,TT,w_clone
2,-9.660890237455417,-9.465656001397875,-9.558360189091797,0.13253116711747276,610,resid_OU_linear,1,TT,w_clone
3,-9.465656001397875,-9.332625390568136,-9.391118017718656,0.10489299080781311,611,resid_OU_linear,1,TT,w_clone
4,-9.332625390568136,-9.206605875743675,-9.270540125643912,0.04514930284894636,610,resid_OU_linear,1,TT,w_clone
5,-9.206605875743675,-9.089019726045056,-9.145419040338409,0.09105378882118184,610,resid_OU_linear,1,TT,w_clone
6,-9.089019726045056,-8.97628145596755,-9.02809066181897,0.05669993103558904,611,resid_OU_linear,1,TT,w_clone
7,-8.97628145596755,-8.870394386536681,-8.922881985170257,0.027079311066251426,610,resid_OU_linear,1,TT,w_clone
8,-8.870394386536681,-8.764527469784447,-8.81560002504753,0.015888092817050375,610,resid_OU_linear,1,TT,w_clone
9,-8.764527469784447,-8.65816563116343,-8.711595548047262,0.019436951504895994,610,resid_OU_linear,1,TT,w_clone
10,-8.65816563116343,-8.535871707844931,-8.59468532451638,-0.003916257441707954,611,resid_OU_linear,1,TT,w_clone
11,-8.535871707844931,-8.408651840234981,-8.477776786366062,-0.009281640188768026,610,resid_OU_linear,1,TT,w_clone
12,-8.408651840234981,-8.272172031328498,-8.340903305457894,0.011789107170805696,609,resid_OU_linear,1,TT,w_clone
13,-8.272172031328498,-8.114151088607294,-8.199048763783404,-0.0037212551497209853,612,resid_OU_linear,1,TT,w_clone
14,-8.114151088607294,-7.924454362783859,-8.021370412007112,0.02983489829767598,610,resid_OU_linear,1,TT,w_clone
15,-7.924454362783859,-7.726569114362053,-7.830093609436304,0.04751112541401605,610,resid_OU_linear,1,TT,w_clone
16,-7.726569114362053,-7.469083163415217,-7.598587826468796,0.09807676087043518,611,resid_OU_linear,1,TT,w_clone
17,-7.469083163415217,-7.066496901189976,-7.303017705180661,0.057519046111594085,610,resid_OU_linear,1,TT,w_clone
18,-7.066496901189976,-6.257292344013413,-6.762472319962589,0.19036197554787282,610,resid_OU_linear,1,TT,w_clone
19,-6.257292344013413,-3.039465617682323,-5.5197710232562684,0.42597570039950444,611,resid_OU_linear,1,TT,w_clone
0,-10.457002044311755,-9.873264458841856,-10.011726506457505,0.24493781450776428,611,resid_tanh_saturating,1,TT,w_clone
1,-9.873264458841856,-9.660890237455417,-9.759472262814054,0.10924757977276008,610,resid_tanh_saturating,1,TT,w_clone
2,-9.660890237455417,-9.465656001397875,-9.558360189091797,0.07554980368088898,610,resid_tanh_saturating,1,TT,w_clone
3,-9.465656001397875,-9.332625390568136,-9.391118017718656,0.054919479276593644,611,resid_tanh_saturating,1,TT,w_clone
4,-9.332625390568136,-9.206605875743675,-9.270540125643912,0.0027089643273441044,610,resid_tanh_saturating,1,TT,w_clone
5,-9.206605875743675,-9.089019726045056,-9.145419040338409,0.06423510306545621,610,resid_tanh_saturating,1,TT,w_clone
