rep,n,ou_a,ou_b,ou_x_star,ou_tau,ou_sse,ou_aic,ou_bic,tanh_A,tanh_Delta,tanh_x_star,tanh_tau_local,tanh_sse,tanh_aic,tanh_bic,rat_A,rat_Delta,rat_x_star,rat_tau_local,rat_sse,rat_aic,rat_bic,hinge_a,hinge_b,hinge_A,hinge_x_c,hinge_Delta,hinge_tau_from_b,hinge_sse,hinge_aic,hinge_bic,delta_aic_tanh,delta_bic_tanh,delta_aic_rat,delta_bic_rat,delta_aic_hinge,delta_bic_hinge
0,12262,-1.275184409486634,-0.14479926934555076,-8.806566602511772,6.906112196005545,3571.041192923873,-15122.98988019406,-15108.161359537415,0.2098344605119974,0.6192313424083473,-8.933341989999422,2.9510469390843572,3499.606872570399,-15368.762766548118,-15346.519985563149,0.22028471041225958,0.6031666636172778,-8.93490375663536,2.738123142947417,3500.9501921500087,-15364.056916789286,-15341.814135804318,-8.102424564180838,-1.0046591353867687,0.14364182918504753,-10.786708096163647,0.9093696040518242,0.9953624714864361,3420.9121473634814,-15643.642518762312,-15606.571217120698,-245.77288635405785,-238.35862602573434,-241.06703659522645,-233.65277626690295,-520.6526385682519,-498.40985758328316
1,12177,-1.3642344997507956,-0.1528675974071251,-8.924288226480684,6.541608666333303,4064.7250932685943,-13356.63866052721,-13341.824052116195,0.215248874854831,0.6004466554229946,-8.979487379126361,2.7895460816134356,4024.8174828258198,-13474.783627945275,-13452.561715328753,0.22555862462304435,0.5860190067209096,-8.982012803042311,2.5980784716180545,4025.928424485194,-13471.422961287102,-13449.20104867058,-0.8852973758929518,-0.1997498800750791,0.16246470951168018,-9.971480594577352,0.5035334555322698,5.006260827912059,3939.585004206241,-13731.422267893044,-13694.385746865508,-118.14496741806579,-110.73766321255789,-114.78430075989309,-107.37699655438519,-374.78360736583454,-352.56169474931266
2,12369,-1.1894404899550348,-0.13273716538326988,-8.960870051131522,7.533685061848092,4080.522717697758,-13712.828223645749,-13697.982326402998,0.197926567716258,0.6715078785110544,-8.957622957590344,3.392712187449789,4043.8520516357667,-13822.487904966198,-13800.219059102074,0.20756786840835317,0.6587186747523287,-8.963631563102613,3.173509849108321,4045.6970754202234,-13816.845785924153,-13794.57694006003,-39.571713412481934,-4.5832028552217094,0.08733383662861295,-13.090709948997539,1.291317591829374,0.21818802954808894,3985.5541886340643,-13998.102416201738,-13960.987673094864,-109.65968132044873,-102.23673269907522,-104.01756227840451,-96.594613657031,-285.27419255598943,-263.00534669186527
3,12276,-1.3109793881759608,-0.1476002610483122,-8.881958465824487,6.775055768178365,3802.147453894688,-14384.455432803414,-14369.624629971935,0.2104964146793978,0.6551449150282249,-8.968323773652104,3.11238039862133,3738.6355721101672,-14589.248359989939,-14567.00215574272,0.22104630510200055,0.6420714443977614,-8.97517942603582,2.904692046770387,3740.157899317569,-14584.250738614895,-14562.004534367677,-225.14395492853484,-25.974140462705854,0.0859348135492211,-15.825682813019654,1.409626247032643,0.038499830299902255,3665.701840145162,-14827.096725914125,-14790.019718835427,-204.79292718652505,-197.37752577078572,-199.79530581148174,-192.37990439574241,-442.64129311071156,-420.39508886349176
4,12192,-1.0087715883310253,-0.11397850277785605,-8.850542547458442,8.773584277984408,3206.239505260385,-16280.625705217444,-16265.808634661591,0.20582305808390203,0.6684710417693578,-8.95382589740909,3.2477947222845227,3113.743912036859,-16635.521198441376,-16613.295592607596,0.21724946242197438,0.6669141420189303,-8.955596432212223,3.069808019702023,3116.049694244082,-16626.496148903356,-16604.270543069575,9.860363990566285,0.7744750000186406,0.15376872131164257,-10.43390078358716,0.46096138283515015,,3027.5288224960796,-16973.86177797934,-16936.819101589706,-354.89549322393214,-347.4869579460046,-345.8704436859116,-338.4619084079841,-693.2360727618943,-671.0104669281154
5,12195,-1.2820105370263473,-0.1439692722916296,-8.904751108482776,6.945926613939968,3835.4455274286793,-14102.449538486435,-14087.631975865135,0.22310782230076942,0.7208708578230418,-8.905384396410188,3.231042508456934,3801.483588335903,-14208.914229261582,-14186.687885329631,0.23523186379336763,0.7120027204858833,-8.90786254533383,3.0268123926923467,3802.165307688968,-14206.727498220582,-14184.501154288631,-98.64515582196846,-11.962576329923898,0.12844045606878396,-15.074742511530259,1.4189059586760278,0.0835940329591495,3752.356885021419,-14363.537805114742,-14326.493898561492,-106.46469077514666,-99.05590946449593,-104.27795973414686,-96.86917842349612,-261.0882666283069,-238.8619226963565
6,12209,-1.106197893776966,-0.1245757647246112,-8.87971987346288,8.027243518918892,3241.921634306069,-16185.221095184,-16170.401237856662,0.20676283493316816,0.6712189487565315,-8.95949857242747,3.2463230104844,3163.085939193175,-16483.783928505727,-16461.55414251472,0.2169434113636261,0.6550225229803398,-8.968709424443858,3.0193243429846994,3164.4479220686576,-16478.528026428183,-16456.298240437176,2.0139989631394224,0.054567899500155816,0.1573368908068929,-10.232216323381015,0.5049581500222411,,3078.2601383798597,-16811.668096404937,-16774.618453086594,-298.56283332172643,-291.1529046580581,-293.3069312441821,-285.8970025805138,-626.4470012209367,-604.2172152299318
7,12335,-1.3054472040530298,-0.14616625712570108,-8.931248769203703,6.841524300235813,3593.40550577181,-15209.25368938552,-15194.413297327592,0.20106991503785415,0.6053020148912533,-8.963390230889669,3.0104056829053567,3538.4921475659576,-15397.20864740357,-15374.948059316679,0.21106509630661918,0.5920696476332958,-8.964292499022964,2.8051518606998025,3539.6302355123717,-15393.241969750876,-15370.981381663985,-51.173963847976005,-5.753741826758145,0.042362682711144184,-13.764899050740631,1.5057281429093212,0.17379994273455857,3498.703806428007,-15532.694437214714,-15495.593457069896,-187.9549580180501,-180.5347619890872,-183.98828036535633,-176.56808433639344,-323.44074782919415,-301.18015974230366
8,11953,-1.3650556210979947,-0.1510362255589879,-9.037935210880027,6.6209281667294135,4033.640448689203,-12980.699140268585,-12965.92166512483,0.2170430635894291,0.607195238204714,-9.011994712576087,2.7975795593878954,3967.8501308713994,-13175.264863429491,-13153.098650713857,0.2276338912879402,0.597414891569153,-9.014914097155968,2.62445494468777,3970.2454264781964,-13168.051302179147,-13145.885089463512,-10.681814870586734,-1.2289492052369437,0.11123300518538737,-10.784755516955844,1.1026200253756413,0.8137032806064577,3907.6169367463162,-13354.106440155028,-13317.162752295639,-194.5657231609057,-187.17698558902703,-187.35216191056134,-179.96342433868267,-373.40729988644307,-351.2410871708089
9,12208,-1.253662762440729,-0.1414049445453197,-8.86576326218165,7.071888491703373,3502.9791587548443,-15237.415516052142,-15222.595822545094,0.22206036867395687,0.8116108808461407,-8.893369427329873,3.654910985209609,3459.7725941740455,-15386.92817358144,-15364.698633320868,0.23622474790382453,0.8191357163368502,-8.900542454713772,3.4676117705937797,3461.207616183695,-15381.865668441307,-15359.636128180735,30.583696021112726,2.5656121999128927,0.1670160692947505,-11.036286073328506,0.5244113039672127,,3398.6503865516706,-15600.529120170972,-15563.479886403351,-149.51265752929794,-142.10281077577383,-144.45015238916494,-137.04030563564083,-363.11360411882924,-340.8840638582569
