bin,x0_lo,x0_hi,x0_mid,n,resid_med,mad,sigma_mad,var_mad,mean_resid2,D_var_mad,D_mean_resid2,D_mad2,model,dt,obs_class,weight_col,weight_cap_q,nbins_diff,min_per_bin_diff
0,-11.58772311199863,-10.31672409080351,-10.476217830474514,1126,0.24776304450670006,0.23351479581479465,0.34620903627501454,0.11986069679847433,0.20712099593485028,0.059930348399237166,0.10356049796742514,0.027264579932212617,OU_linear,1,TT,unweighted,,20,200
1,-10.31672409080351,-10.106613415412077,-10.2034213248372,1128,0.11251248932434718,0.2565151288050018,0.3803093299662957,0.14463518645941276,0.16838693412281852,0.07231759322970638,0.08419346706140926,0.032900005652923336,OU_linear,1,TT,unweighted,,20,200
2,-10.106613415412077,-9.923598126784777,-10.01172309807858,1125,0.11069031162883336,0.2840496663898408,0.42113203538957794,0.17735219123136872,0.17385707460181796,0.08867609561568436,0.08692853730090898,0.040342106488089925,OU_linear,1,TT,unweighted,,20,200
3,-9.923598126784777,-9.76136389416373,-9.833903241897689,1129,0.08251166931079493,0.2719871026931512,0.4032480784528659,0.1626090127759287,0.16972291875064668,0.08130450638796435,0.08486145937532334,0.036988492015707385,OU_linear,1,TT,unweighted,,20,200
4,-9.76136389416373,-9.637571961330098,-9.699772097616384,1127,0.02013068840723875,0.27062418774724634,0.4012274207540674,0.16098344316496146,0.16678728650905658,0.08049172158248073,0.08339364325452829,0.03661872549692842,OU_linear,1,TT,unweighted,,20,200
5,-9.637571961330098,-9.522506060380522,-9.57754903160922,1123,0.016585519520758457,0.2676930901905219,0.39688177551646775,0.1575151437371039,0.17692952504063628,0.07875757186855195,0.08846476252031814,0.03582979526787545,OU_linear,1,TT,unweighted,,20,200
6,-9.522506060380522,-9.416468954511826,-9.472293613794292,1126,-0.02729722326884027,0.29917187368729314,0.4435522199287808,0.19673857180374954,0.22136077935883317,0.09836928590187477,0.11068038967941658,0.044751905002782845,OU_linear,1,TT,unweighted,,20,200
7,-9.416468954511826,-9.317607578541894,-9.367159742312566,1131,-0.03754709774140192,0.29292576195913766,0.4342917346806175,0.18860931081189986,0.22547435601072582,0.09430465540594993,0.11273717800536291,0.04290275100967069,OU_linear,1,TT,unweighted,,20,200
8,-9.317607578541894,-9.214392806980074,-9.26641665828837,1127,-0.09627351359789378,0.32169664504926526,0.4769474459500406,0.22747886619826693,0.23548069735558932,0.11373943309913347,0.11774034867779466,0.051744365717976484,OU_linear,1,TT,unweighted,,20,200
9,-9.214392806980074,-9.11708996804717,-9.166330109398462,1124,-0.08622598315210311,0.31291389217098625,0.4639261365327042,0.2152274601581613,0.2467423516757361,0.10761373007908065,0.12337117583786805,0.0489575519567978,OU_linear,1,TT,unweighted,,20,200
10,-9.11708996804717,-9.00651672903175,-9.064210368554383,1130,-0.10450947400647898,0.33541679224611354,0.4972889361840879,0.24729628605110188,0.25984067612956174,0.12364814302555094,0.12992033806478087,0.05625221226033625,OU_linear,1,TT,unweighted,,20,200
11,-9.00651672903175,-8.889661655311748,-8.94981459526902,1127,-0.09670891076813952,0.30169647833387236,0.44729519877779916,0.20007299484967087,0.2646541128664797,0.10003649742483543,0.13232705643323986,0.04551038251953036,OU_linear,1,TT,unweighted,,20,200
12,-8.889661655311748,-8.754318998490497,-8.823522401252866,1127,-0.10681199485058918,0.3049320298656272,0.4520922274787788,0.2043873821467239,0.23787599217172445,0.10219369107336194,0.11893799608586222,0.046491771418985875,OU_linear,1,TT,unweighted,,20,200
