x,dt,obs_class,weight_col,weight_cap_q,n,grid_qlo,grid_qhi,grid_n,b_OU_linear,b_tanh_saturating,b_rational_saturating,b_hinge_plateau_smooth
-10.51841563441224,1,TT,w_clone,0.999,22538,0.02,0.98,500,0.23129932615794657,0.2398868407400303,0.23535263719990968,0.5344366520562374
-10.509192766303213,1,TT,w_clone,0.999,22538,0.02,0.98,500,0.22949026537980655,0.2395877977272338,0.23496540754045817,0.5292802242365584
-10.49996989819419,1,TT,w_clone,0.999,22538,0.02,0.98,500,0.22768120460166696,0.23927896143045774,0.23457022131682762,0.5241123295393065
-10.490747030085164,1,TT,w_clone,0.999,22538,0.02,0.98,500,0.22587214382352694,0.2389600243823899,0.23416687298570815,0.5189332762457894
-10.48152416197614,1,TT,w_clone,0.999,22538,0.02,0.98,500,0.2240630830453878,0.2386306703602195,0.2337551508427833,0.5137433825007197
-10.472301293867114,1,TT,w_clone,0.999,22538,0.02,0.98,500,0.22225402226724777,0.2382905741978071,0.23333483682339365,0.508542976331061
-10.46307842575809,1,TT,w_clone,0.999,22538,0.02,0.98,500,0.2204449614891082,0.23793940159826948,0.23290570629693108,0.5033323956567033
-10.453855557649064,1,TT,w_clone,0.999,22538,0.02,0.98,500,0.21863590071096817,0.23757680894738437,0.23246752785482094,0.49811198829268666
-10.44463268954004,1,TT,w_clone,0.999,22538,0.02,0.98,500,0.21682683993282903,0.23720244312825303,0.232020063091959,0.492882111942785
-10.435409821431014,1,TT,w_clone,0.999,22538,0.02,0.98,500,0.215017779154689,0.23681594133769257,0.23156306638147048,0.48764313418418337
-10.42618695332199,1,TT,w_clone,0.999,22538,0.02,0.98,500,0.21320871837654942,0.23641693090486932,0.2310962846426699,0.4823954324430716
-10.416964085212964,1,TT,w_clone,0.999,22538,0.02,0.98,500,0.2113996575984094,0.2360050291127185,0.23061945710210255,0.4771393939609072
