bin,x0_lo,x0_hi,x0_mid,n,resid_med,mad,sigma_mad,var_mad,mean_resid2,D_var_mad,D_mean_resid2,D_mad2,model,dt,obs_class,weight_col,weight_cap_q,nbins_diff,min_per_bin_diff
0,-12.181254346275065,-11.207828667631707,-11.37606478592881,3710,0.2198093350275534,0.28078359256391977,0.41628975433526744,0.1732971595645173,0.29219379140589,0.08664857978225865,0.146096895702945,0.03941971292655065,OU_linear,1,TT,w_clone,0.999,20,200
1,-11.207828667631707,-10.980548609474782,-11.090484107925846,3706,0.1127860089924666,0.30594735266891565,0.45359754506693434,0.20575073289074952,0.22761463725852843,0.10287536644537476,0.11380731862926421,0.04680189130255893,OU_linear,1,TT,w_clone,0.999,20,200
2,-10.980548609474782,-10.788405207690138,-10.885768709289078,3718,0.08087943878594617,0.3471239615139208,0.514645985340539,0.26486049022713426,0.27268184801559686,0.13243024511356713,0.13634092400779843,0.060247522328558976,OU_linear,1,TT,w_clone,0.999,20,200
3,-10.788405207690138,-10.626385769832822,-10.702646511820571,3709,0.040110888175382,0.34381799546280956,0.5097445600731614,0.2598395165241808,0.2522577177271032,0.1299197582620904,0.1261288588635516,0.05910540700203227,OU_linear,1,TT,w_clone,0.999,20,200
4,-10.626385769832822,-10.491988829193804,-10.557747008373676,3701,-0.012870887524131916,0.34789892490298063,0.515794946061159,0.26604442638223397,0.2579148486246131,0.13302221319111698,0.12895742431230656,0.06051683097432488,OU_linear,1,TT,w_clone,0.999,20,200
5,-10.491988829193804,-10.37461125256336,-10.430795769446371,3719,-0.08577304058425246,0.3868275168389302,0.5735104764653979,0.3289142666155677,0.3204542444372348,0.16445713330778386,0.1602271222186174,0.07481776389188641,OU_linear,1,TT,w_clone,0.999,20,200
6,-10.37461125256336,-10.265879845210724,-10.319402067702468,3708,-0.10338736607823931,0.4081014732555318,0.6050512442486514,0.36608700816684125,0.37393390185165865,0.18304350408342063,0.18696695092582932,0.08327340623666778,OU_linear,1,TT,w_clone,0.999,20,200
7,-10.265879845210724,-10.162060162824435,-10.213199587383286,3716,-0.11373977761112189,0.4191301342955239,0.6214023371065437,0.38614086456147456,0.37706569135225126,0.19307043228073728,0.18853284567612563,0.08783503473729196,OU_linear,1,TT,w_clone,0.999,20,200
8,-10.162060162824435,-10.059801214586257,-10.112548291637587,3709,-0.07204290271423369,0.41314575067516657,0.6125298899510019,0.3751928660833865,0.37412048463668807,0.18759643304169324,0.18706024231834403,0.08534470565047345,OU_linear,1,TT,w_clone,0.999,20,200
9,-10.059801214586257,-9.957319323621874,-10.008931052930862,3712,-0.17848199560100791,0.4459182070417532,0.6611183337601033,0.43707745123373537,0.39790605357573017,0.21853872561686769,0.19895302678786508,0.09942152368566595,OU_linear,1,TT,w_clone,0.999,20,200
10,-9.957319323621874,-9.843252484957032,-9.901055335150536,3711,-0.14446700206954066,0.4348437461824472,0.6446993380900962,0.41563723653380813,0.4521623962985057,0.20781861826690406,0.22608119814925284,0.09454454179699229,OU_linear,1,TT,w_clone,0.999,20,200
11,-9.843252484957032,-9.72114106863108,-9.780449286333084,3713,-0.1100943916369248,0.4019046283960295,0.5958638020599533,0.35505367060534315,0.367656563720258,0.17752683530267158,0.183828281860129,0.08076366516307527,OU_linear,1,TT,w_clone,0.999,20,200
12,-9.72114106863108,-9.59732047300703,-9.661090811410036,3711,-0.06391124509182908,0.4186054526398397,0.6206244440838263,0.3851747005943585,0.385181153214162,0.19258735029717924,0.192590576607081,0.08761526248990255,OU_linear,1,TT,w_clone,0.999,20,200
