rep,model,intercept,slope,xstar,sse,tau
0,hinge_plateau_smooth,-2.9543265026099155,-0.33566507129714834,-8.515256395959513,25.21830421276368,2.979160137620478
1,hinge_plateau_smooth,-3.082398201232776,-0.3490407059270401,-8.556366690324907,29.653145249291754,2.864995351599563
2,hinge_plateau_smooth,-2.6310007242880875,-0.29981937478244747,-8.476649254356863,21.401726573681128,3.335341489273707
3,hinge_plateau_smooth,-3.0115487616646113,-0.34064730316589686,-8.526970666564713,25.766342595074647,2.9355876025033294
4,hinge_plateau_smooth,-2.884294588277767,-0.3273813748607998,-8.547670119422925,26.18583526243297,3.0545415127088176
5,hinge_plateau_smooth,-2.7012501931160093,-0.3098918915755115,-8.338695165440306,37.24077237254129,3.226931801654867
6,hinge_plateau_smooth,-3.2856504524329146,-0.37021311701400034,-8.625233709257616,20.888455433643713,2.7011468639080745
7,hinge_plateau_smooth,-2.6303599585577855,-0.30161809026957315,-8.347023094050593,21.130631659630474,3.315451003307671
8,hinge_plateau_smooth,-3.2196480553442886,-0.3633400738007725,-8.62712925284725,30.412023530121616,2.752242519079584
9,hinge_plateau_smooth,-2.9826879496141734,-0.33690449922132193,-8.622979507219656,40.614567760654914,2.968200194153751
10,hinge_plateau_smooth,-2.6165250647648084,-0.29892041426582516,-8.395589595610115,24.09165863757852,3.345372053146949
11,hinge_plateau_smooth,-2.9153080407015115,-0.331635234940641,-8.523596899114784,24.150278333499323,3.015361139714207
12,hinge_plateau_smooth,-3.1071787133069493,-0.35165028887358407,-8.58128613148311,25.998307988955254,2.8437343339123298
13,hinge_plateau_smooth,-2.6902251562682284,-0.3067049628343798,-8.457559333314384,25.4612025355636,3.2604624025598126
14,hinge_plateau_smooth,-2.7866696887930797,-0.31754184388742357,-8.470004491746252,19.605141246190122,3.1491912617176987
15,hinge_plateau_smooth,-3.0351298474887605,-0.34303201495084235,-8.608048862405735,43.03280466314425,2.915179797848616
16,hinge_plateau_smooth,-2.6792381423829097,-0.3063631148742661,-8.40581998520739,33.62817727891114,3.26410051161155
17,hinge_plateau_smooth,-2.8629196993381103,-0.32535369865430985,-8.514279323532744,23.024187050276225,3.073578090970177
18,hinge_plateau_smooth,-3.0401928202491413,-0.3446545452661254,-8.547547469093379,27.766304820434826,2.9014560049624443
19,hinge_plateau_smooth,-2.6896509430407654,-0.30657450297129163,-8.40358780857027,30.095462433804336,3.261849861316231
20,hinge_plateau_smooth,-2.5651580235583173,-0.2930262315715909,-8.421619732189233,29.34217529752155,3.4126637558579267
21,hinge_plateau_smooth,-2.669228056311328,-0.3047000762652606,-8.42826308665618,24.087050382409586,3.2819158178662127
22,hinge_plateau_smooth,-2.7138798016360686,-0.30834954321760766,-8.477599055896427,23.597910916692413,3.243072746484604
23,hinge_plateau_smooth,-2.8016400159918193,-0.31878531202029986,-8.466392805005542,19.425605900555148,3.1369073865496073
24,hinge_plateau_smooth,-2.4649767367387483,-0.28321413471179246,-8.300635203560633,29.039792292819186,3.5308972167566113
25,hinge_plateau_smooth,-2.5628474037795743,-0.29377134812522343,-8.345825466551956,22.33395140905409,3.4040079346803367
26,hinge_plateau_smooth,-3.1030102326327618,-0.3519858904557212,-8.583528025418216,20.351071390262064,2.841022970282376
27,hinge_plateau_smooth,-2.7256078478937873,-0.3117315112838898,-8.41161954953272,29.032425648063107,3.207888724118471
28,hinge_plateau_smooth,-2.7910423197361975,-0.31829846279075213,-8.421745984815386,24.430499349422348,3.141705402006277
29,hinge_plateau_smooth,-2.660353762058792,-0.3044462412987486,-8.411131951337463,21.603326624479642,3.2846521465795164
30,hinge_plateau_smooth,-2.957436683094402,-0.33505798569769946,-8.536557096847448,24.860871723770035,2.9845580248376278
31,hinge_plateau_smooth,-2.7709331011215053,-0.31610086641043056,-8.46629860023688,27.018681026496647,3.163547165674591
32,hinge_plateau_smooth,-2.9258592439390885,-0.3320840645429571,-8.545403052987895,23.867106404167473,3.01128571579093
33,hinge_plateau_smooth,-2.710829913225837,-0.3094571254350479,-8.413003120206998,26.110720383859974,3.23146542059472
34,hinge_plateau_smooth,-2.8929673048832005,-0.3295797452042107,-8.493208646714105,22.803953143520204,3.0341670401510585
