rep,model,intercept,slope,xstar,sse,tau
0,hinge_plateau_smooth,-4.982177859088995,-0.4897681832165811,-9.826501824230574,99.81131762530416,2.041782284493128
1,hinge_plateau_smooth,-4.89977447019303,-0.481831339763772,-9.818086160347118,79.60053980177784,2.0754150207212985
2,hinge_plateau_smooth,-5.068140410547375,-0.4970782769124355,-9.869519404023388,97.4473973855861,2.011755585481275
3,hinge_plateau_smooth,-5.2764073452943485,-0.517435401191172,-9.872569373681621,73.44230481681879,1.9326083945897998
4,hinge_plateau_smooth,-4.944011908717423,-0.48575464286791764,-9.824198810948607,69.9018187110241,2.058652479564486
5,hinge_plateau_smooth,-5.000180936574568,-0.4912475067616237,-9.830061205058136,94.568158849955,2.0356337411097476
6,hinge_plateau_smooth,-4.981235404418409,-0.4897521183813341,-9.820754880036379,95.95461315958019,2.0418492589783415
7,hinge_plateau_smooth,-5.164218872874572,-0.5066879417941976,-9.868491751066367,60.40719569843744,1.9736013382496713
8,hinge_plateau_smooth,-4.868266913423226,-0.47837164479170996,-9.829237185721817,84.79653790588088,2.0904249047524854
9,hinge_plateau_smooth,-5.109655173057642,-0.5015145344576118,-9.86675488795919,78.31087785643518,1.9939601572694206
10,hinge_plateau_smooth,-5.114525361210338,-0.5017765775060474,-9.86777131157357,75.10128940709039,1.99291885039801
11,hinge_plateau_smooth,-5.1327571986590605,-0.5040616327383106,-9.868319862487676,86.4425882379333,1.983884380502258
12,hinge_plateau_smooth,-5.166615309024819,-0.5069667244003565,-9.868246225619869,75.11610820382099,1.972516048627859
13,hinge_plateau_smooth,-5.14153285306865,-0.5041595436209128,-9.868169110706601,77.07970431086356,1.9834990979599887
14,hinge_plateau_smooth,-5.220386948532131,-0.5119407015182929,-9.86577008811142,64.00525436479953,1.9533512319576092
15,hinge_plateau_smooth,-5.049042565852755,-0.49543415342505154,-9.865533706088675,65.97685925467397,2.0184316989185493
16,hinge_plateau_smooth,-5.190663065675173,-0.5092004019698821,-9.87537258969525,78.91766959218539,1.963863335793571
17,hinge_plateau_smooth,-4.981945491239998,-0.4896226624235995,-9.832554803419974,86.83507660104199,2.04238912277889
18,hinge_plateau_smooth,-5.210215181547041,-0.5102120575822031,-9.873487675432342,81.82156891331778,1.9599693600711983
19,hinge_plateau_smooth,-4.9536278267617435,-0.48731908621900655,-9.817423239875582,85.89938249918255,2.0520435753066093
20,hinge_plateau_smooth,-5.063666155283288,-0.49643712995994976,-9.867389549616163,95.45641165726269,2.0143537613326292
21,hinge_plateau_smooth,-4.905786001294139,-0.482031753145328,-9.827283775645428,82.57987340030934,2.074552129553402
22,hinge_plateau_smooth,-5.133979931952496,-0.5038710366456005,-9.860645616218154,88.7645346580847,1.984634811830539
23,hinge_plateau_smooth,-4.9946733956580776,-0.49115434681995296,-9.825512618482952,79.21033073739812,2.0360198509381804
24,hinge_plateau_smooth,-5.150762773070261,-0.5053498980121395,-9.868766419588935,67.9435986762474,1.9788269552118878
