subject,time,replica,pair_id,n_thresholds,mean_delta_loglik,median_delta_loglik,frac_thresholds_pl_better,median_tail_fraction
1,1,1,1_1,6,0.5172266015396093,0.5312666833483052,1.0,0.2061449124631652
1,1,2,1_1,6,0.5474408822811626,0.5687565672735575,1.0,0.23477283189914655
1,2,1,1_2,6,0.5382692930836944,0.5545870586600858,1.0,0.2575914159585598
1,2,2,1_2,6,0.5574648577394085,0.5775470524299342,1.0,0.21438829303762952
1,3,1,1_3,6,0.5417209949005001,0.5612730897268599,1.0,0.24176580217024018
1,3,2,1_3,6,0.5435846728582283,0.5644008638862023,1.0,0.21780819611408558
1,4,1,1_4,6,0.5473832322393822,0.5658050391999174,1.0,0.2449291308942972
1,4,2,1_4,6,0.5222559489145541,0.5362305328046518,1.0,0.20004708156261228
1,5,1,1_5,6,0.543939389392616,0.5619308597840058,1.0,0.23074876068246097
1,5,2,1_5,6,0.4870751225407311,0.4813045352985029,1.0,0.17857281817828102
