alpha_label,alpha_float,design,subject,n_unique_clonotypes,n_transitions_total,n_transitions_TT
p_005,0.005,all_transitions,1,35437,108838,1492
p_005,0.005,all_transitions,10,92731,304667,5736
p_005,0.005,all_transitions,2,24474,75721,1036
p_005,0.005,all_transitions,3,84909,314302,6857
p_005,0.005,all_transitions,4,121531,386553,8152
p_005,0.005,all_transitions,5,35437,108838,1492
p_005,0.005,all_transitions,6,37098,118029,2220
p_005,0.005,all_transitions,7,41977,68367,1349
p_005,0.005,all_transitions,8,70966,232797,4612
p_005,0.005,all_transitions,9,83209,208815,3848
p_005,0.005,all_transitions,TOTAL,452213,1926927,36794
p_01,0.01,all_transitions,1,35437,108838,2679
p_01,0.01,all_transitions,10,92731,304667,10473
p_01,0.01,all_transitions,2,24474,75721,2122
p_01,0.01,all_transitions,3,84909,314302,13040
p_01,0.01,all_transitions,4,121531,386553,14402
p_01,0.01,all_transitions,5,35437,108838,2679
p_01,0.01,all_transitions,6,37098,118029,4382
p_01,0.01,all_transitions,7,41977,68367,2462
p_01,0.01,all_transitions,8,70966,232797,8233
p_01,0.01,all_transitions,9,83209,208815,7286
p_01,0.01,all_transitions,TOTAL,452213,1926927,67758
p_02,0.02,all_transitions,1,35437,108838,4454
p_02,0.02,all_transitions,10,92731,304667,18715
p_02,0.02,all_transitions,2,24474,75721,4278
p_02,0.02,all_transitions,3,84909,314302,23170
p_02,0.02,all_transitions,4,121531,386553,23958
p_02,0.02,all_transitions,5,35437,108838,4454
p_02,0.02,all_transitions,6,37098,118029,8390
p_02,0.02,all_transitions,7,41977,68367,4227
p_02,0.02,all_transitions,8,70966,232797,13617
p_02,0.02,all_transitions,9,83209,208815,12787
p_02,0.02,all_transitions,TOTAL,452213,1926927,118050
p_05,0.05,all_transitions,1,35437,108838,8647
p_05,0.05,all_transitions,10,92731,304667,35793
p_05,0.05,all_transitions,2,24474,75721,10550
p_05,0.05,all_transitions,3,84909,314302,43267
p_05,0.05,all_transitions,4,121531,386553,42530
p_05,0.05,all_transitions,5,35437,108838,8647
p_05,0.05,all_transitions,6,37098,118029,17504
p_05,0.05,all_transitions,7,41977,68367,7991
p_05,0.05,all_transitions,8,70966,232797,24250
p_05,0.05,all_transitions,9,83209,208815,23734
p_05,0.05,all_transitions,TOTAL,452213,1926927,222913
